,artist,song
0,Lojay,Monalisa ft. Sarz
1,PlaTBoss,Matriculation (Intro)
2,PlaTBoss,Hustler's Tale
3,PlaTBoss,Politics and Lies
4,PlaTBoss,Trust Issues
5,PlaTBoss,Tomorrow Never Comes
6,PlaTBoss,Balling
7,PlaTBoss,Living It Up
8,PlaTBoss,Indifferent
9,PlaTBoss,Graduation
10,Kaptain,Check Yourself
11,Jae5,Dimension ft. Skepta & Rema
12,Naira Marley,Koleyewon
13,Vector,Early Momo ft. Good Girl LA
14,Sarkodie,Non Living Thing feat. Oxlade
15,Phyno,For the Money ft. Peruzzi
16,Dave,System ft. WizKid
17,Erigga,Many Nites
18,Roddy Ricch,Late At Night
19,M.I Abaga,All My Life (feat. Oxlade)
20,Black Sherif,Second Sermon
21,Nasty C,Jack
22,Erigga,Dick Appointment
23,Dave,Lazarus ft. Boj
24,Roddy Ricch,The Box
25,Pop Smoke,Dior
26,Juice WRLD,Stay High
27,Roddy Ricch,Die Young
28,Lojay,Tonongo ft. Sarz
29,Erigga,Wahala Dey
30,Pop Smoke,Mood Swings ft. Lil Tjay
31,Cardi B,Up
32,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
33,Balloranking,Sorry ft. Mohbad
34,Roddy Ricch,Down Below
35,Erigga,I No Wear Pant
36,Juice WRLD,Wishing Well
37,Dremo,East To West ft. Jeriq
38,Dremo,Ego ft. Jeriq
39,Show Dem Camp,Align ft. LadiPoe
40,Mohbad,Ponmo ft. Naira Marley & Lil Kesh
41,LiL Baby,Voice of the Heroes ft. Lil Durk
42,Roddy Ricch,High Fashion (feat. Mustard)
43,Dave,Clash ft. Stormzy
44,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
45,Roddy Ricch,God's Eyes
46,Erigga,Jollof Rice ft. Duncan Mighty
47,Sarkodie,Coachella feat. Kwesi Arthur
48,Juice WRLD,Robbery
49,Show Dem Camp,Tycoon ft. Reminisce & Mojo
