,artist,song
0,Mrolaide ,Feel
1,Kaptain,Check Yourself
2,Jae5,Dimension ft. Skepta & Rema
3,Naira Marley,Koleyewon
4,Erigga,Many Nites
5,Vector,Early Momo ft. Good Girl LA
6,Sarkodie,Coachella ft. Kwesi Arthur
7,Show Dem Camp,Align ft. LadiPoe
8,Pop Smoke,Good News
9,Nasty C,Jack
10,Dollah Boi,Pablo
11,Phyno,For the Money ft. Peruzzi
12,Erigga,Dick Appointment
13,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
14,Pop Smoke,More Time
15,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
16,Ganzlot,Enjoy
17,Lojay,Monalisa ft. Sarz
18,Sarkodie,Vibration ft. Vic Mensa
19,Show Dem Camp,Vipers ft. Jesse Jagz & Tomi Thomas
20,Pop Smoke,Manslaughter ft. Rick Ross & The-Dream
21,Show Dem Camp,Tycoon ft. Reminisce & Mojo
22,M.I Abaga,All My Life (feat. Oxlade)
23,Post Malone,Motley Crew
24,Erigga,Wahala Dey
25,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
26,Pop Smoke,Brush Em ft. Rah Swish
27,Lojay,Tonongo ft. Sarz
28,Roddy Ricch,Late At Night
29,Dremo,Ego ft. Jeriq
30,LiL Baby,Voice of the Heroes ft. Lil Durk
31,Pop Smoke,Dior
32,Erigga,I No Wear Pant
33,Pop Smoke,Mr. Jones ft. Future
34,Pop Smoke,"Top Shotta ft. The Neptunes, Pusha T, TRAVI & Beam"
35,Pop Smoke,Coupe
36,Pop Smoke,Genius ft. Lil Tjay & Swae Lee
37,Dremo,East To West ft. Jeriq
38,Pop Smoke,Woo Baby ft. Chris Brown
39,Pop Smoke,What\xe2\x80\x99s Crackin ft. Takeoff
40,Juice WRLD,Stay High
41,Pop Smoke,30 ft. Bizzy Banks
42,Pop Smoke,Beat The Speaker
43,Pop Smoke,Back Door ft. Quavo & Kodak Black
44,LiL Baby,Rich Off Pain ft. Lil Durk & Rod Wave
45,Juice WRLD,Wishing Well
46,Kaptain,Problem
47,Pop Smoke,Mood Swings ft. Lil Tjay
48,Pop Smoke,Demeanor ft. Dua Lipa
49,Erigga,The End
