,artist,song
0,Drake,Fountains ft. Tems
1,Drake,Girls Want Girls ft. Lil Baby
2,Lojay,Monalisa ft. Sarz
3,Dremo,Wonder ft. Patoranking
4,Kanye West,Off The Grid
5,Drake,TSU
6,Kanye West,Praise God
7,Drake,Champagne Poetry
8,Drake,Way 2 Sexy ft. Future & Young Thug
9,Drake,Fair Trade ft. Travis Scott
10,Drake,Love All ft. JAY-Z
11,Kaptain,Check Yourself
12,Vector,Early Momo ft. Good Girl LA
13,Kanye West,Jail
14,Drake,In The Bible ft. Lil Durk & Giveon
15,Ruger,Bounce (UK Remix) ft. Midas The Jagaban
16,Naira Marley,Koleyewon
17,Mrolaide ,Ride
18,Sarkodie,Non Living Thing feat. Oxlade
19,Drake,Papixe2x80x99s Home
20,Jae5,Dimension ft. Skepta & Rema
21,Phyno,For the Money ft. Peruzzi
22,Drake,No Friends In The Industry
23,Erigga,Many Nites
24,Roddy Ricch,Late At Night
25,Dave,System ft. WizKid
26,Drake,N 2 Deep ft. Future
27,Kanye West,Hurricane
28,Drake,Pipe Down
29,Juice WRLD,Stay High
30,M.I Abaga,All My Life (feat. Oxlade)
31,Drake,You Only Live Twice ft. Lil Wayne & Rick Ross
32,Drake,7am On Bridle Path
33,Drake,Knife Talk ft. 21 Savage & Project Pat
34,Juice WRLD,Robbery
35,Drake,Get Along Better ft. Ty Dolla $ign
36,Nasty C,Jack
37,Roddy Ricch,The Box
38,Erigga,Dick Appointment
39,Drake,Race My Mind
40,Juice WRLD,Wishing Well
41,Drake,Yebbaxe2x80x99s Heartbreak ft. Yebba
42,Roddy Ricch,Die Young
43,Pop Smoke,Dior
44,Drake,IMY2 ft. Kid Cudi
45,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk)
46,Juice WRLD,Smile ft. The Weeknd
47,Drake,The Remorse
48,Pop Smoke,Mood Swings ft. Lil Tjay
49,Lojay,Tonongo ft. Sarz
