,artist,song
0,Mrolaide ,Feel
1,Reminisce,Omo X 100 ft. Olamide
2,Kaptain,Check Yourself
3,Jae5,Dimension ft. Skepta & Rema
4,Naira Marley,Koleyewon
5,Erigga,Many Nites
6,Sarkodie,Coachella ft. Kwesi Arthur
7,Erigga,Dick Appointment
8,Vector,Early Momo ft. Good Girl LA
9,Erigga,Wahala Dey
10,Phyno,For the Money ft. Peruzzi
11,Dremo,Ego ft. Jeriq
12,Erigga,I No Wear Pant
13,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
14,Nasty C,Jack
15,Roddy Ricch,Late At Night
16,M.I Abaga,All My Life (feat. Oxlade)
17,Erigga,The End
18,LiL Baby,Voice of the Heroes ft. Lil Durk
19,Dremo,East To West ft. Jeriq
20,Pop Smoke,Dior
21,Erigga,Dont Die Alive
22,Pop Smoke,Mood Swings ft. Lil Tjay
23,Juice WRLD,Stay High
24,Lojay,Tonongo ft. Sarz
25,DJ Khaled,LET IT GO ft. Justin Bieber & 21 Savage
26,Kaptain,Problem
27,Juice WRLD,Wishing Well
28,LiL Baby,Rich Off Pain ft. Lil Durk & Rod Wave
29,DaBaby,Red Light Green Light
30,POLO G,RAPSTAR
31,Dremo,Secure The Bag ft. Jeriq
32,LiL Baby,Hats Off ft. Lil Durk & Travis Scott
33,Dremo,Imakwa ft. Jeriq
34,Erigga,Jollof Rice ft. Duncan Mighty
35,ArrDee,Oliver Twist
36,Pop Smoke,The Woo ft. 50 Cent & Roddy Ricch
37,Juice WRLD,Robbery
38,Pop Smoke,For The Night ft. Lil Baby & DaBaby
39,Juice WRLD,All Girls Are The Same
40,Dj Basplit,Shedi Bala Bala
41,A-Q,Breathe ft. Chike
42,2jaja,Fans
43,Kaptain,Gbese Gbese
44,Lojay,Monalisa ft. Sarz
45,Tion Wayne,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone"
46,Cardi B,Up
47,Kaptain,In Love ft. Satyango
48,Juice WRLD,734
49,Nasty C,All In ft. T.I.
