,artist,song
0,Mrolaide ,Feel
1,Jae5,Dimension ft. Skepta & Rema
2,Naira Marley,Koleyewon
3,Kaptain,Check Yourself
4,Erigga,Wahala Dey
5,Erigga,Many Nites
6,Erigga,Dick Appointment
7,Sarkodie,Coachella ft. Kwesi Arthur
8,DaBaby,Ball If I Want To
9,Erigga,I No Wear Pant
10,Roddy Ricch,Late At Night
11,Vector,Early Momo ft. Good Girl LA
12,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
13,M.I Abaga,All My Life (feat. Oxlade)
14,DJ Khaled,LET IT GO ft. Justin Bieber & 21 Savage
15,LiL Baby,Rich Off Pain ft. Lil Durk & Rod Wave
16,Erigga,The End
17,LiL Baby,Voice of the Heroes ft. Lil Durk
18,Dremo,Ego ft. Jeriq
19,POLO G,Fame & Riches ft. Roddy Ricch
20,Lojay,Tonongo ft. Sarz
21,Migos,Having Our Way ft. Drake
22,Dremo,East To West ft. Jeriq
23,POLO G,RAPSTAR
24,Erigga,Dont Die Alive
25,Pop Smoke,Dior
26,Phyno,For the Money ft. Peruzzi
27,Pop Smoke,Mood Swings ft. Lil Tjay
28,Migos,Avalanche
29,Juice WRLD,Stay High
30,Nasty C,Best I Ever Had
31,LiL Baby,Hats Off ft. Lil Durk & Travis Scott
32,Dremo,Secure The Bag ft. Jeriq
33,Megan Thee Stallion,Thot Shit
34,LiL Baby,Still Hood ft. Lil Durk
35,Nicki Minaj,Seeing Green ft. Drake & Lil Wayne
36,Juice WRLD,Wishing Well
37,Migos,Type Shit ft. Cardi B
38,Tion Wayne,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone"
39,Kaptain,Problem
40,PsychoYP,Euphoria
41,POLO G,For the Love of New York ft. Nicki Minaj
42,POLO G,No Return ft. The Kid LAROI & Lil Durk
43,Wale,Angles ft. Chris Brown
44,LiL Baby,2040 ft. Lil Durk
45,Pop Smoke,For The Night ft. Lil Baby & DaBaby
46,A-Q,Breathe ft. Chike
47,Pop Smoke,The Woo ft. 50 Cent & Roddy Ricch
48,Migos,Straightenin
49,POLO G,GANG GANG ft. Lil Wayne
