position,album
1,Somewhere Between Beauty & Magic
2,Carpe Diem
3,Twice As Tall
4,What Have We Done
5,A Better Time
6,APOLLO
7,Man Of Galilee
8,Boo of the Booless
9,Made In Lagos
10,WONDALAND
11,PANDEMIC
12,Get Layd
13,Twelve A.M
14,Before the Chaos EP
15,Alagbe
16,SATISFIED
17,Justice
18,Hallelujah Again (Revelation 19:3)
19,"Laughter, Tears & Goosebumps"
20,The Gospel of the Kingdom
21,Three
22,Yes And Amen
23,KAIROS
24,African Giant
25,King Of Love
26,Sex Over Love
27,The Off-Season
28,Ecstasy
29,Too Faithful
30,The King Is Coming
31,Ea$t N We$t
32,Next Level
33,Cultural Praise
34,Gratitude
35,Mafia Culture (Vol. 2.0)
36,The Prodigal
37,...Shall We Begin...
38,Legends Never Die
39,Fuji The Sound
40,Born Of God
41,High Tension
42,Something Else EP
43,Goodbye & Good Riddance (Anniversary Edition)
44,Flavour of Africa
45,Simisola
46,Shoot For The Stars Aim For The Moon
47,KHALED KHALED
48,Barry Back The EP
49,Boyfriend
50,The Erigma II
51,Omo Charlie Champagne Vol. I
52,Superstar
53,TOO LATE TOO LIT (EP)
54,Love & Light EP
55,LOL (Lord Of Lamba) EP
56,The Life And Times Of 50th Birthday Edition
57,You Have Done Me Well
58,GOLDEN
59,Please Excuse Me for Being Antisocial
60,A Good Time
61,Rum & Boogie
62,Beam Me Up Scotty
63,Ayo (Joy)
64,Kingdom Now
65,Hymnal (Volume 1)
66,Deal With It
67,The Spirit Of Light
68,No Bad Songz
69,You Are Great
70,Outside
71,Hakuna Matata
72,Grass 2 Grace
73,The Cross: My Gaze
74,INDOMITABLE (The Undefeated God)
75,Chiomalized
76,Meet The Woo
77,ÌRÌ (The Album Live) (Live)
78,Meet The Woo 2 (Deluxe)
79,Death Race For Love
80,Coast To Coast (Expanded Edition)
81,This God Is Too Good
82,Ìmúṣẹ!
83,Feed tha Streets
84,Afrobeats Vibe 21
85,Warriors
86,The Playmaker
87,Country Moods
88,I Am Guchi - EP
89,Exodus
90,Best Of The Best
91,Faith Is Rising
92,"Afro Pop, Vol. 1"
93,Kapacity
94,Once in a Lifetime (Live)
95,About 30
96,999
97,SoundGod Fest Reloaded
98,The Light
99,ÌRÌ
100,Street OT
