,artist,song
0,Mbosso,Baikoko ft. Diamond Platnumz
1,GUCHI,Jennifer
2,Zuchu,Sukari
3,Otile Brown,Such Kinda Love ft. Jovial
4,Black Sherif,First Sermon
5,Omah Lay,Godly
6,Nandy,Nimekuzoea
7,Chike,Running (To You) ft. Simi
8,Olamide,Infinity ft. Omah Lay
9,KiDi,Touch It
10,Sarkodie,Coachella ft. Kwesi Arthur
11,Rayvanny,Number One ft. Zuchu
12,LADIPOE,Feeling ft. Buju
13,Burna Boy,Kilometre
14,Olamide,Rock
15,Mbosso,Yalaah
16,Joeboy,Focus
17,Marioo (TZ),For You
18,Cheque,History ft. Fireboy DML
19,Anjella,Nobody
20,Patoranking,Abule
21,Joeboy,Door ft. Kwesi Arthur
22,Joeboy,Show Me
23,Barnaba Classic  (TZ),Cheketua 
24,Gyakie,Forever (Remix) ft. Omah Lay
25,Kwame Yogot,Biibi Besi ft. Kuami Eugene
26,Dadju,Mon soleil ft. Anitta
27,Harmonize,Attitude ft. Awilo Longomba & H Baba
28,Rayvanny,Lala ft. Jux
29,Mbosso,Mtaalam
30,KiDi,Spiritual ft. Kuami Eugene & Patoranking
31,Harmonize,Vibaya
32,Judikay,Capable God
33,Mbosso,Kiss Me
34,Zuchu,Cheche ft. Diamond Platnumz
35,Mejja,Tabia Za Wakenya (Kanairo)
36,Diana Hamilton,Adom Grace
37,O\'Kenneth,AGYEIWAA ft. Reggie & City Boy
38,Otile Brown,Regina ft. Jux
39,Mbosso,Fall
40,Zuchu, Litawachoma ft. Diamond Platnumz
41,Jay Melody,Najieka
42,Kuami Eugene,Dollar On You
43,Killy (TZ),Roho
44,Omah Lay,Bad Influence 
45,Naira Marley,Coming ft. Busiswa
46,Omah Lay,You
47,Otile Brown,In Love ft. AliKiba
48,King Promise,Slow Down
49,Steve Crown,You Are Yahweh
50,Yaw Tog,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur
51,Rayvanny,Kiuno
52,Sarkodie,Happy Day ft. Kuami Eugene
53,Otile Brown,Dusuma ft. Meddy
54,Diamond Platnumz,Waah! ft. Koffi Olomide
55,LiL Baby,Voice of the Heroes ft. Lil Durk
56,Omah Lay,Bad Influence
57,Mejja,Siskii (Kamote)
58,Ruger,Bounce
59,Diamond Platnumz,Haunisumbui
60,Wendy Shay,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp"
61,Ada Ehi,"Congratulations ft, Buchi"
62,Joeboy,Call
63,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
64,Nandy,Leo Leo
65,Omah Lay,Lo Lo
66,Victor AD,OLOFOFO
67,Yaw Tog,Fake Ex
68,Whitney Houston,I Wanna Dance with Somebody
69,Omah Lay,Can\'t Relate
70,Mr Eazi,Rotate (Freestyle)
71,Zuchu, Nobody ft. Joeboy
72,Jay Melody,Huba hulu
73,Mbosso, Yes ft. Spice Diana
74,Gyakie,Sor Mi Mu (ft. Bisa Kdei)
75,Sefa,E Choke ft. Mr Drew
76,Rostam (TZ),Hujambo Mwanangu ft. Ferooz
77,Jo\xc3\xa9 Dwet Fil\xc3\xa9,Jolie madame ft. Ronisia
78,Otile Brown,Baby Go ft. Kizz Daniel
79,Omah Lay,Damn
80,Willy Paul,Fall in Love ft. Miss P
81,NDOVU KUU,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE)
82,Fireboy DML,Like I Do
83,Kofi Jamar,Ekorso ft. Yaw Tog & Ypee
84,Mr Drew,Mood
85,Chike,If You No Love
86,Joeboy,Baby
87,Stonebwoy,Critical ft. Zlatan
88,Willy Paul,Odi Love ft. Klons Melody
89,Fireboy DML,Vibration
90,Skales,This Your Body ft. Davido
91,Timi Dakolo,Everything (Amen)
92,Sarkodie,No Fugazy
93,Kweku Darlington,"Sika Aba Fie (Remix) ft. Kuami Eugene, Yaw Tog, Fameye & Kweku Flick"
94,Kofi Kinaata,Thy Grace
95,Fally Ipupa,Amore
96,Crayon,Too Correct ft. Rema
97,Fameye,Praise
98,Omah Lay,My Bebe
99,Niska,Gnonmi avec lait ft. Fior De Bior
