,artist,song
0,Ada Ehi,Everything
1,Ada Ehi,Never Go Down ft. Limoblaze
2,Ada Ehi,Congratulations ft. Buchi
3,Steve Crown,You Are Yahweh
4,Mercy Chinwo,Obinasom
5,Nathaniel Bassey,Hallelujah Challenge Praise Medley
6,Ada Ehi,Thank You For My Life
7,Diana Hamilton,Adom Grace
8,Ada Ehi,More Than Enough
9,Ada Ehi,"Congratulations ft, Buchi"
10,Chidinma,Jehovah Overdo
11,Moses Bliss,You I Live For
12,Moses Bliss,Too Faithful
13,Steve Crown,You Are Great
14,Ada Ehi,Now
15,Steve Crown,Hosanna
16,Moses Bliss,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple"
17,Dunsin Oyekan,Fragrance to Fire
18,Ada Ehi,Fix My Eyes On You ft. Sinach
19,Nathaniel Bassey,Yeshua Hamashiach
20,Samsong,Jesus ft. Mercy Chinwo
21,JayMikee,Heaven
22,Steve Crown,What A Mighty God ft. Nathaniel Bassey
23,Sinach,Way Maker
24,Nathaniel Bassey,Emmanuel
25,Onos,Faithful God (Live)
26,Benedict Ukpong,Able
27,Testimony Jaga,My Evidence ft. Frank Edwards
28,Sinach,Omemma
29,Steve Crown,Your Love ft. Tope Alabi
30,Victoria Orenze,Spirit Chant
31,Tope Alabi,Yes And Amen
32,Tasha Cobbs Leonard,Gotta Believe
33,Moses Bliss,Taking Care
34,Steve Crown,Powerful Glorious God
35,Prospa Ochimana,Ekwueme ft. Osinachi Nwachukwu (ETTWP)
36,Steve Crown,All The Glory
37,Frank Edwards,CHIOMA (AFRO VIBE)
38,Frank Edwards,NO OTHER NAME
39,DJ Ernesty,Fire (Amapiano Remix) ft. Okey Sokay
40,Ada Ehi,New Level
41,Nathaniel Bassey,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba
42,Ada Ehi,Finally
43,Tope Alabi,Lae La O Ma Bo Oluwa
44,Samuel Folabi,Jehovah Overdo
45,Diana Hamilton,Nyansabuakwa Nyame
46,Chris Morgan,Amanamo ft. Mercy Chinwo
47,Joe Mettle,Ye Obua Mi (My Help)
48,Steve Crown,AMEN ft. Joe Mettle
49,Moses Bliss,You I Live For ft. Loveworld Indomitable Choir
50,Moses Bliss,God Is Real
51,Dunsin Oyekan,At All Cost
52,Dunsin Oyekan,Yah
53,Nathaniel Bassey,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba"
54,Nathaniel Bassey,Hallelujah Challenge Worship Medley
55,Steve Crown,Mighty God ft. Nathaniel Bassey
56,Joyce Blessing,Adam Nana
57,Chris Shalom,My Beautifier
58,Tope Alabi,You Are Worthy
59,Moses Bliss,Bigger Everyday
60,Tope Alabi,Jesu Ore Otito
61,Chioma Jesus,Too Much
62,Chris Shalom,JESUS
63,Sinach,All Things Are Ready
64,Nathaniel Bassey,Yahweh Yahweh ft. Sinach
65,Mercy Chinwo,Chinedum
66,Password,The Call
67,Mercy Chinwo,Akamdinelu
68,Tee Worship,All Things New
69,Mercy Chinwo,Onememma ft. Chioma Jesus
70,Celestine Donkor,Agbebolo ft. NHYIRABA GIDEON
71,Chioma Jesus,Okemmuo Ft. Mercy Chinwo
72,Chioma Jesus,Bulldozer
73,Ada Ehi,iTestify
74,Mercy Chinwo,Na You Dey Reign
75,Ada Ehi,Settled
76,David G,Covenant Keeper
77,Moses Bliss,In Your Hands
78,Tope Alabi,Halleluyah
79,Ada Ehi,Notice
80,Joe Mettle,Yesu Mo
81,Moses Bliss,Count On Me
82,Michael W. Smith,Dusty Road
83,ROSNY KAYIBA,Nazo bondela yo (Je te prie)
84,Tim Godfrey,Nara
85,Chioma Jesus,Chineke Idi Nma
86,Joe Praize,Unchangeable God
87,Frank Edwards,Under The Canopy
88,Deborah Lukalu,Pamoja
89,Mercy Chinwo,Excess Love
90,Minister GUC,God of Vengeance
91,Ada Ehi,Cheta 
92,Chioma Jesus,Oka Ome
93,Yemi Adeyemo,Jesus I Am Calling
94,Ada Ehi,Shine ft. Chize & Nosa
95,Solomon Lange,Mai Taimako Na (My Helper)
96,Joe Mettle,Sunsum Nwom
97,Steve Crown,Imela
98,Joe Mettle,My Everything
99,Ada Ehi,I Overcame
