,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Olamide,Rock
3,Fireboy DML,Peru
4,Ruger,Bounce
5,Mohbad,Feel Good
6,Adekunle Gold,Sinner ft. Lucky Daye
7,Jaywillz,Medicine
8,AV,Big Thug Boys
9,Buju,Outside
10,Joeboy,Show Me
11,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
12,Zinoleesky,Naira Marley
13,Cheque,History ft. Fireboy DML
14,Teni,HUSTLE
15,Naira Marley,Coming ft. Busiswa
16,Joeboy,Focus
17,Olamide,Infinity ft. Omah Lay
18,Burna Boy,Kilometre
19,PlaTBoss,Matriculation (Intro)
20,Buju,Testimony
21,Omah Lay,Godly
22,PlaTBoss,Hustler's Tale
23,Patoranking,Celebrate Me
24,PlaTBoss,Politics and Lies
25,PlaTBoss,Trust Issues
26,PlaTBoss,Tomorrow Never Comes
27,Chike,Running (To You) ft. Simi
28,PlaTBoss,Balling
29,Olamide,Triumphant ft. Bella Shmurda
30,PlaTBoss,Living It Up
31,PlaTBoss,Indifferent
32,2Baba,Rise Up ft. Falz
33,Lojay,Monalisa ft. Sarz
34,PlaTBoss,Graduation
35,Teni,INJURE ME
36,Wizkid,Essence ft. Tems
37,Cheque,Call Me Baby
38,Judikay,Capable God
39,Teni,Dorime 
40,Dj Xclusive,Ameno (Dorime)
41,Ruger,Abu Dhabi
42,Fireboy DML,Champion ft. D Smoke
43,Crayon,Too Correct ft. Rema
44,Joeboy,Door ft. Kwesi Arthur
45,Omah Lay,Can't Relate
46,Judikay,Omemma ((Live))
47,Olamide,Julie
48,Burna Boy,Way Too Big
49,Patoranking,Abule
50,Moses Bliss,Too Faithful
51,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
52,Teni,FOR YOU ft. Davido
53,Mercy Chinwo,Obinasom
54,Lil Kesh,Love Like This ft. Fireboy DML
55,Joeboy,Lonely
56,Seyi Vibez,Professor Peller ft. Zlatan
57,Olamide,Need For Speed
58,Kolaboy,Omalicha ft. Ejyk Nwamba
59,Omah Lay,My Bebe
60,Burna Boy,23
61,Olamide,Loading ft. BadboyTimz
62,Naira Marley,Koleyewon
63,Nathaniel Bassey,Hallelujah Challenge Praise Medley
64,Falz,Mercy
65,Bella Shmurda,Adura ft. Mohbad
66,Wizkid,Ginger ft. Burna Boy
67,Omah Lay,Bad Influence 
68,Olamide,Jailer ft. Jaywillz
69,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
70,Chike,If You No Love
71,Phyno,Bia
72,Joeboy,Door
73,Omah Lay,Confession
74,Omah Lay,Lo Lo
75,CKay,Felony
76,Naira Marley,Aye
77,Victor AD,Any More ft. Phyno
78,Lil Kesh,Korope ft. Naira Marley
79,Ajebo Hustlers,Pronto ft. Omah Lay
80,Omah Lay,You
81,Wizkid,Blessed ft. Damian Marley
82,Victor AD,Black ft. Mr Eazi
83,Kaptain,Check Yourself
84,Olamide,Somebody ft. Phyno
85,Gyakie,Forever (Remix) ft. Omah Lay
86,L.A.X,PEPE ft. Davido
87,Olamide,Green Light
88,Runtown,If E Happen For Lagos
89,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
90,Mayorkun,Betty Butter ft. Davido
91,Chike,Roju
92,Zlatan,Lagos Anthem
93,Burna Boy,Bank On It
94,Ada Ehi,"Congratulations ft, Buchi"
95,Omah Lay,Bad Influence
96,RudeBoy,Focus
97,Davido,The Best ft. Mayorkun
98,Fireboy DML,Airplane Mode
99,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
