,Position,song,artist
0,1,Essence (feat. Justin Bieber & Tems),Wizkid
1,2,Lie,Kizz Daniel
2,3,Understand,Omah lay
3,4,Peru,Fireboy Dml
4,5,Bounce,Ruger
5,6,Sinner,Adekunle Gold
6,7,Monalisa,Lojay
7,8,Feeling,LADIPOE
8,9,Feel Good,MohBad
9,10,Bloody Samaritan,Ayra Starr
10,11,Outside,Buju
11,12,Big Thug Boys,AV
12,13,Ojuju,Oxlade
13,14,Naira Marley,Zinoleesky
14,15,Soundgasm,Rema
15,16,Rock,Olamide
16,17,INDUSTRY BABY,Lil Nas X
17,18,Essence (feat. Tems),Wizkid
18,19,Fashion Killer,Ayra Starr
19,20,Medicine,Jaywillz
20,21,Yaba Buluku (Remix),DJ Tárico
21,22,Clash,Dave
22,23,Confident,Savage
23,24,Party Next Door,Dangbana Republik
24,25,Dimension (feat. Skepta & Rema),Jae5
25,31,Drug Test,Naira Marley
26,32,Cast (Gen Z Anthem),Ayra Starr
27,33,Testimony,Buju
28,34,System,Dave
29,35,Cocaine,Dai Verse
30,36,Ile Aye (This Life),Josseyan-tizzy
31,37,Forever (Remix),Gyakie
32,38,It Is What It Is,Adekunle Gold
33,39,LV N ATTN feat. Wizkid,Lojay
34,40,HUSTLE,Teni
35,41,Oliver Twist,ArrDee
36,42,Beggie Beggie,Ayra Starr
37,43,Abu Dhabi,Ruger
38,44,Alubarika,Zlatan
39,45,Kilometre,Burna Boy
40,46,Bounce,Rema
41,47,Ke Star (Remix),Focalistic
42,48,Hallelu,Masterkraft
43,49,Show Me,Joeboy
44,50,Far Away,Dangbana Republik
45,51,Lazarus,Dave
46,52,Kilofeshe,Zinoleesky
47,53,RAPSTAR,POLO G
48,54,Loved By You,Justin Bieber
49,55,Ginger (feat. Burna Boy),Wizkid
50,56,All,Rexxie
51,57,Somebody Baby,Peruzzi
52,58,Tonongo,Lojay
53,59,FOR YOU,Teni
54,60,Pronto,Ajebo Hustlers
55,61,Lonely,Ayra Starr
56,62,History,Cheque
57,63,Infinity,Olamide
58,64,MONTERO (Call Me By Your Name),Lil Nas X
59,65,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
60,66,Bad Habits,Ed Sheeran
61,67,Snitch,Ayra Starr
62,68,La La (feat. Ckay),DaVido
63,69,Petite,NSG
64,70,Call Me Baby,Cheque
65,71,KPK (Ko Por Ke),Rexxie
66,72,Karma,Ayra Starr
67,73,Running (To You),Chike
68,74,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
69,75,Toxic,Ayra Starr
70,76,KOLO (feat. Oxlade),Ice Prince
71,77,Shameful,King Ot
72,78,Celebrate Me,Patoranking
73,79,Bridgertn,Ayra Starr
74,80,Blessed (feat. Damian Marley),Wizkid
75,81,Focus,Joeboy
76,82,Peaches,Justin Bieber
77,83,PonPon,Olamide
78,84,Motley Crew,Post Malone
79,85,23,Burna Boy
80,86,Godly,Omah lay
81,87,Early Momo,Vector
82,88,Dior,Pop Smoke
83,89,Late At Night,Roddy Ricch
84,90,Heartbreak Anniversary,Giveon
85,91,Verdansk,Dave
86,92,Music Messiah,DJ Neptune
87,93,The Best (feat. Mayorkun),DaVido
