Position,song,artist,album
1,Understand,Omah lay,Understand
2,Bounce,Ruger,PANDEMIC
3,Feeling,"LADIPOE, Buju",Feeling
4,Soundgasm,Rema,Soundgasm
5,Outside,Buju,Outside
6,Rock,Olamide,Rock
7,Big Thug Boys,AV,Big Thug Boys
8,Sinner,"Adekunle Gold, Lucky Daye",Sinner
9,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
10,Yaba Buluku (Remix),"DJ TÃ¡rico, Burna Boy, Preck, Nelson Tivane",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix]
11,Confident,"Savage, Buju",Confident
12,Naira Marley,Zinoleesky,Naira Marley
13,Monalisa,"Lojay, Sarz",LV N ATTN
14,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
15,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
16,Party Next Door,"Dangbana Republik, Bella Shmurda",High Tension 2.0
17,Feel Good,MohBad,Feel Good
18,Felony,CKay,Boyfriend
19,Coming,"Naira Marley, Busiswa",Coming
20,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
21,Oliver Twist,ArrDee,Oliver Twist
22,It Is What It Is,Adekunle Gold,It Is What It Is
23,Testimony,Buju,Testimony
24,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
25,Kilometre,Burna Boy,Kilometre
26,Bounce,Rema,Bounce
27,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
28,Far Away,"Dangbana Republik, Bella Shmurda",High Tension 2.0
29,Clash,"Dave, Stormzy",Clash
30,Loved By You,"Justin Bieber, Burna Boy",Justice
31,Infinity,"Olamide, Omah lay",Carpe Diem
32,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
33,Abu Dhabi,Ruger,PANDEMIC
34,FOR YOU,"Teni, DaVido",FOR YOU
35,Show Me,Joeboy,Somewhere Between Beauty & Magic
36,RAPSTAR,POLO G,Hall of Fame
37,History,"Cheque, Fireboy Dml",History
38,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
39,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
40,PonPon,"Olamide, FAVE",UY Scuti
41,Pronto,"Ajebo Hustlers, Omah lay",Pronto
42,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
43,Kilofeshe,Zinoleesky,Chrome
44,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
45,Running (To You),"Chike, Simi",Running (To You)
46,Tonongo,"Lojay, Sarz",LV N ATTN
47,HUSTLE,Teni,WONDALAND
48,Tell The Vision,"Pop Smoke, Kanye West, Pusha T",Faith
49,All,"Rexxie, DaVido",A True Champion
50,Medicine,Jaywillz,Love or the Word (EP)
51,Stay,"The Kid Laroi, Justin Bieber",Stay
52,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
53,Godly,Omah lay,What Have We Done
54,Out There,"Dangbana Republik, Bella Shmurda",High Tension 2.0
55,Celebrate Me,Patoranking,Celebrate Me
56,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
57,World,"Dangbana Republik, Bella Shmurda",High Tension 2.0
58,23,Burna Boy,Twice As Tall
59,Bout A Million,"Pop Smoke, 21 Savage, 42 Dugg",Faith
60,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
61,Focus,Joeboy,Somewhere Between Beauty & Magic
62,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
63,Woo Baby,"Pop Smoke, Chris Brown",Faith
64,Blessed (feat. Damian Marley),"Wizkid, Damian Marley",Made In Lagos
65,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",KHALED KHALED
66,La La (feat. Ckay),"DaVido, CKay",A Better Time
67,Late At Night,Roddy Ricch,Late At Night
68,ROCKSTAR,"DaBaby, Roddy Ricch",BLAME IT ON BABY
69,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe)
70,Commitment Issues,Central Cee,Commitment Issues
71,Bad Influence,Omah lay,Bad Influence
72,Damages,Tems,Damages
73,Body,Dan Tizzy,Body
74,Ruger,Ruger,PANDEMIC
75,Rush,"Dangbana Republik, Bella Shmurda",High Tension 2.0
76,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean
77,Heartbreak Anniversary,Giveon,TAKE TIME
78,Southy Love,"Peruzzi, Fireboy Dml",Southy Love
79,Motley Crew,Post Malone,Motley Crew
80,Omo X 100,"Reminisce, Olamide",Omo X 100
81,Soldier Go,"Dangbana Republik, Bella Shmurda",High Tension 2.0
82,Bad Habits,Ed Sheeran,Bad Habits
83,Dior,Pop Smoke,Meet The Woo
84,Manslaughter,"Pop Smoke, Rick Ross, The-Dream",Faith
85,Lemonade,"Internet money, Gunna, Don Toliver, NAV",Lemonade
86,Early Momo,"Vector, Good girl LA",Early Momo
87,a m a r i,J. Cole,The Off-Season
88,Lako,"Dangbana Republik, Bella Shmurda",High Tension 2.0
89,Jailer,"Olamide, Jaywillz",UY Scuti
90,PEPE,"L.A.X, DaVido",PEPE
91,More Time,Pop Smoke,Faith
92,Reckless,Wizkid,Made In Lagos
93,Calling My Phone,"Lil Tjay, 6lack",Calling My Phone
94,Korope,"Lil Kesh, Naira Marley",Korope
95,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open
96,Red Light Green Light,DaBaby,Red Light Green Light
97,Peaches (Masterkraft Remix),"Justin Bieber, Alpha P, Omah lay",Peaches (Masterkraft Remix)
98,Good News,Pop Smoke,Faith
99,Away,Ayra Starr,Ayra Starr
100,Julie,Olamide,UY Scuti
