,Position,song,artist
0,15,INDUSTRY BABY,Lil Nas X
1,16,Law Of Attraction,Dave
2,17,Feel Good,MohBad
3,18,In The Fire,Dave
4,19,Monalisa,Lojay
5,20,Naira Marley,Zinoleesky
6,21,Both Sides Of A Smile,Dave
7,22,Essence (feat. Tems),Wizkid
8,23,Confident,Savage
9,24,Three Rivers,Dave
10,25,Twenty To One,Dave
11,26,Testimony,Buju
12,27,Dimension (feat. Skepta & Rema),Jae5
13,28,Bling (feat. Amaarae & Buju),Blaqbonez
14,29,Party Next Door,Dangbana Republik
15,30,Yaba Buluku (Remix),DJ Tárico
16,31,Coming,Naira Marley
17,32,Heart Attack,Dave
18,33,It Is What It Is,Adekunle Gold
19,34,Forever (Remix),Gyakie
20,35,Felony,CKay
21,36,Pronto,Ajebo Hustlers
22,37,LV N ATTN feat. Wizkid,Lojay
23,38,STAY,The Kid Laroi
24,39,Ke Star (Remix),Focalistic
25,40,Far Away,Dangbana Republik
