,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Mood (feat. Buju),Wizkid
2,3,Bloody Samaritan,Ayra Starr
3,4,Fountains,Drake
4,5,Understand,Omah lay
5,6,Lie,Kizz Daniel
6,7,High,Adekunle Gold
7,8,Girls Want Girls,Drake
8,9,Anoti,Wizkid
9,10,Feel Good,MohBad
10,11,Essence (feat. Justin Bieber & Tems),Wizkid
11,12,Question,Burna Boy
12,13,Monalisa,Lojay
13,14,Fair Trade,Drake
14,15,Bounce,Ruger
15,16,Champagne Poetry,Drake
16,17,Sinner,Adekunle Gold
17,18,Outside,Buju
18,19,In The Bible,Drake
19,20,Way 2 Sexy,Drake
20,21,Big Thug Boys,AV
21,22,Love All,Drake
22,23,Soundgasm,Rema
23,24,Papi’s Home,Drake
24,25,Feeling,LADIPOE
25,26,Fashion Killer,Ayra Starr
26,27,Naira Marley,Zinoleesky
27,28,Steady,Wizkid
28,29,Let Me Know,Mayorkun
29,30,TSU,Drake
30,31,Cocaine,Dai Verse
31,32,INDUSTRY BABY,Lil Nas X
32,33,7am On Bridle Path,Drake
33,34,Rock,Olamide
34,35,Somebody’s Son,Tiwa Savage
35,36,Hurricane,Kanye West
36,37,N 2 Deep,Drake
37,38,Knife Talk,Drake
38,39,No Friends In The Industry,Drake
39,40,Ojuju,Troniq Music
40,41,Yaba Buluku (Remix),DJ Tárico
41,42,Medicine,Jaywillz
42,43,Jail,Kanye West
43,44,Pipe Down,Drake
44,45,Get Along Better,Drake
45,46,STAY,The Kid Laroi
46,47,Yebba’s Heartbreak,Drake
47,48,Confident,Savage
48,49,Race My Mind,Drake
49,50,Clash,Dave
50,51,You Only Live Twice,Drake
51,52,Party Next Door,Dangbana Republik
52,53,Bling (feat. Amaarae & Buju),Blaqbonez
53,54,IMY2,Drake
54,55,Felony,CKay
55,56,Testimony,Buju
56,57,So Cold,Bella Shmurda
57,58,Dimension (feat. Skepta & Rema),Jae5
58,59,Essence (feat. Tems),Wizkid
59,60,It Is What It Is,Adekunle Gold
60,61,loving is harder,Johnny Drille
61,62,The Remorse,Drake
62,63,ova,Johnny Drille
63,64,System,Dave
64,65,Fucking Fans,Drake
65,66,HUSTLE,Teni
66,67,Kilometre,Burna Boy
67,68,Oliver Twist,ArrDee
68,69,Ginger (feat. Burna Boy),Wizkid
69,70,Hallelu,Masterkraft
70,71,Off The Grid,Kanye West
71,72,Coming,Naira Marley
72,73,odo,Johnny Drille
73,74,Abu Dhabi,Ruger
74,75,Cast (Gen Z Anthem),Ayra Starr
75,76,Far Away,Dangbana Republik
76,77,Colorado,Zugo
77,78,Praise God,Kanye West
78,79,Forever (Remix),Gyakie
79,80,Mercy,Falz
80,81,Beggie Beggie,Ayra Starr
81,82,LV N ATTN feat. Wizkid,Lojay
82,83,Drug Test,Naira Marley
83,84,Bounce,Rema
84,85,Wid It,Tion Wayne
85,86,MY KIND OF BROWN,Johnny Drille
86,87,Mojo,Brondy16
87,88,ludo,Johnny Drille
88,89,driving in the rain,Johnny Drille
89,90,Need To Know,Doja Cat
90,91,Blessed (feat. Damian Marley),Wizkid
91,92,Wade In The Water (Live),The Spirituals
92,93,Bad Habits,Ed Sheeran
93,94,Jonah,Kanye West
94,95,Reckless,Wizkid
95,96,Show Me,Joeboy
96,97,LOML,Cheque
