,Position,song,artist
0,1,Understand,Omah lay
1,2,Bounce,Ruger
2,3,Mood (feat. Buju),Wizkid
3,4,Peru,Fireboy Dml
4,5,Feeling,LADIPOE
5,6,Soundgasm,Rema
6,7,It Is What It Is,Adekunle Gold
7,8,NEED ME,Gyakie
8,9,Essence (feat. Justin Bieber & Tems),Wizkid
9,10,Infinity,Olamide
10,11,Question (feat. Don Jazzy),Burna Boy
11,12,Forever (Remix),Gyakie
12,13,Touch It,KiDi
13,14,Lie,Kizz Daniel
14,15,Sinner,Adekunle Gold
15,16,Maserati (Remix),Olakira
16,17,Monalisa,Lojay
17,18,Outside,Buju
18,19,FOR YOU,Teni
19,20,Bloody Samaritan,Ayra Starr
20,21,Big Thug Boys,AV
21,22,Jealous (feat. Mayorkun),Alikiba
22,23,Damages,Tems
23,24,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz
24,25,Bad Influence,Omah lay
25,26,Essence (feat. Tems),Wizkid
26,27,Yaba Buluku (Remix),DJ Tárico
27,28,Baby I'm Jealous,Mr Eazi
28,29,Running (To You),Chike
29,30,Slow Down,King Promise
30,31,Vibration,Fireboy Dml
31,32,Kamata,Diamond Platnumz
32,33,Rock,Olamide
33,34,Coachella,Sarkodie
34,35,Mood,Mr Drew
35,36,Kilometre,Burna Boy
36,37,Godly,Omah lay
37,38,Coming,Naira Marley
38,39,Activate,Stonebwoy
39,40,Second Sermon,Black Sherif
40,41,History,Cheque
41,42,Felony,CKay
42,43,Ke Star (Remix),Focalistic
43,44,AG Baby,Adekunle Gold
44,45,LV N ATTN feat. Wizkid,Lojay
45,46,Bling (feat. Amaarae & Buju),Blaqbonez
46,47,Banyana,DJ Maphorisa
47,48,MAD,Sarz
48,49,23,Burna Boy
49,50,Hallelu,Masterkraft
