Position,song,artist,album
1,Infinity,"Olamide, Omah lay",Carpe Diem
2,It Is What It Is,Adekunle Gold,It Is What It Is
3,In My Maserati,Olakira,In My Maserati
4,Godly,Omah lay,What Have We Done
5,Send Me Nudes,"KiDi, Joey B",The Golden Boy
6,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
7,Nobody,"DJ Neptune, Joeboy, Mr Eazi",Nobody
8,Korope,"Lil Kesh, Naira Marley",Korope
9,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
10,Kamata,Diamond Platnumz,Kamata
11,Soundgasm,Rema,Soundgasm
12,Bossy Part II,"WurlD, Erica Banks, Kida Kudz, Cuppy, amaarae",Bossy Part II
13,Fine Wine (feat. King Promise & Joeboy),"R2bees, King Promise, Joeboy",Fine Wine (feat. King Promise & Joeboy)
14,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
15,Kilometre,Burna Boy,Kilometre
16,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
17,Rock,Olamide,Rock
18,INJURE ME,Teni,WONDALAND
19,PEPE,"L.A.X, DaVido",PEPE
20,Ginger Me,Rema,Ginger Me
21,Champions League,"Wendy Shay, Fameye, KelvynBoy, Kofi Mole, Quamina Mp",Shayning Star
22,Money,"Terri, Bella Shmurda, MohBad",Money
23,Door,"Joeboy, Kwesi Arthur",Door
24,OLOFOFO,Victor AD,OLOFOFO
25,Baba Nla (feat. Teni),"Candy Bleakz, Teni",Baba Nla (feat. Teni)
26,Pempe,"Seyi Shay, Yemi Alade",Pempe
27,FOR YOU,"Teni, DaVido",FOR YOU
28,This Your Body,"Skales, DaVido",This Your Body
29,No Fugazy,Sarkodie,No Fugazy
30,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
31,LEGGO,"Serge Ibaka, Tayc",LEGGO
32,Dollar On You,Kuami Eugene,Dollar On You
33,Kaya.,"T Smallz Suso, Yung Alpha, Skales Harrysongs",Sembo
34,La La (feat. Ckay),"DaVido, CKay",A Better Time
35,Don Dada,Timaya,Don Dada
36,Fall for Me,"Laycon, YKB",Fall for Me
37,Fendi (feat. Joeboy),"Blaqbonez, Joeboy",Sex Over Love
38,Today,DopeNation,Today
39,Rush,"Dangbana Rebublik, Bella Shmurda",Rush
40,Currently,"Kizz Daniel, Olamide, Falz, Lk Kuddy",Currently
41,God Forbid,Peruzzi,Rum & Boogie
42,Felony,CKay,Boyfriend
43,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App
44,Falling For U,"Blaq Jerzee, Mr Eazi, Harmonize",Falling For U
45,Abule,Patoranking,Abule
46,Spiritual,"KiDi, Kuami Eugene, Patoranking",Spiritual (feat. Kuami Eugene & Patoranking)
47,Baajo,"Kwesi Arthur, Joeboy",Baajo
48,Koroba,Tiwa Savage,Koroba
49,Come Around,Terri,Come Around
50,Baikoko,"Mbosso, Diamond Platnumz",Definition of Love
