,Position,song,artist
0,1,Feeling,LADIPOE
1,2,Second Sermon,Black Sherif
2,3,La go,Kiff No Beat
3,4,Rollies and Cigars,Sarkodie
4,5,KOLO (feat. Oxlade),Ice Prince
5,6,Jack,Nasty C
6,7,In My Bed,Rotimi
7,8,Yafun Yafun,Ajebo Hustlers
8,9,Aketesia,Kweku Darlington
9,10,Ghetto (feat. Nasty C),Kizz Daniel
10,11,If Its On,Silverstone Barz
11,12,Money Bag,Ria Sean
12,13,Crown Of Clay (Remix),Vector
13,14,Tesla,DETO BLACK
14,15,Wonder,Dremo
15,16,All My Life (feat. Oxlade),M.I Abaga
16,17,Coachella,Sarkodie
17,18,Warena,mbogi genje
18,19,Vibration,Sarkodie
19,20,Pockets,Octopizzo
20,21,Omo X 100,Reminisce
21,22,Tycoon,Show Dem Camp
22,23,Best Friend (Bonus Track),Ashs the Best
23,24,Ofr3,$pacely
24,25,Forever,Frank Casino
25,26,Champion,Fireboy Dml
26,27,Money Calling,P Montana
27,28,Petty,Kim of Diamonds
28,29,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Man
29,30,Eazy,Nasty C
30,31,Kokonsa,Omar Sterling
31,32,Best I Ever Had,Nasty C
32,33,RBG,Elzo Jamdong
33,34,DKM (Ma Pa Mi),Loti
34,35,Hustlers Prayer (feat. A-Reece),25K
35,36,Rise Of The Underdogs 2,Show Dem Camp
36,37,Y3 Y3 DOM,Jay Bahd
37,38,My Crew,Kiiwii
38,39,Heartbreaker (feat. Nasty C),Blaqbonez
39,40,Bazenga,Ethic Entertainment
40,41,Decisions,Jay Bahd
41,42,Fierce,Laycon
42,43,Long Way,Emtee
43,44,First Sermon,Black Sherif
44,45,Wavy (feat. Sarkodie),Khaligraph Jones
45,46,Euphoria,PsychoYP
46,47,Breathe,A-Q
47,48,W.A.G (feat. Sarkodie & Youssoupha),Rouge
48,49,Crown Of Clay,Vector
49,50,Sinner,Smallgod
