Position,song,artist,album
1,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
2,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
3,Running (To You),"Chike, Simi",Running (To You)
4,Infinity,"Olamide, Omah lay",Carpe Diem
5,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
6,Slow Down,King Promise,Slow Down
7,Bounce,Ruger,PANDEMIC
8,Vibration,Fireboy Dml,"Laughter, Tears & Goosebumps"
9,Away,Ayra Starr,Ayra Starr
10,Soundgasm,Rema,Soundgasm
11,Baby I'm Jealous,"Mr Eazi, emPawa Africa, King Promise",One Day You Will Understand
12,PANTIES,Kagwe Mungai,PANTIES
13,Outside,Buju,Outside
14,Baikoko,"Mbosso, Diamond Platnumz",Definition of Love
15,Touch It,KiDi,Touch It
16,In My Maserati,Olakira,In My Maserati
17,Whine,Gyakie,Seed - EP
18,Shine Your Light (feat. Akon),"Master KG, David Guetta, Akon",Shine Your Light (feat. Akon)
19,Nana,TomE,Nana
20,Woman,Rema,Woman
21,Enjoy (Remix),"Tekno, Mafikizolo",Enjoy (Remix)
22,Feeling,"LADIPOE, Buju",Feeling
23,Bossy Part II,"WurlD, Erica Banks, Kida Kudz, Cuppy, amaarae",Bossy Part II
24,Say Cheese,KiDi,Blue
25,La La (feat. Ckay),"DaVido, CKay",A Better Time
26,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
27,Bank Notification,"Ciza, DJ Maphorisa, Madumane",Bank Notification
28,Summeryomuthi,Blaq Diamond,Summeryomuthi
29,Fire on the Mountain,"Salatiel, Teni",Africa Represented
30,Nobody,"DJ Neptune, Joeboy, Mr Eazi",Nobody
31,Questions,Shekhinah,Trouble In Paradise
32,Damages,Tems,Damages
33,I Love You,"Mr. P, Teni, Simi, Tamar Braxton",The Prodigal
34,Focus,Joeboy,Somewhere Between Beauty & Magic
35,Phone,Eli Njuchi,The Book of Eli
36,FOR YOU,"Teni, DaVido",FOR YOU
37,Luva Luva,"Runtown, Rowlene",SoundGod Fest Reloaded
38,Forever,Gyakie,Seed
39,Man Dem,"Crayon, One Acen",Twelve A.M
40,Designer,Tekno,Old Romance
41,Lonely,Joeboy,Lonely
42,Thunder Fire You,Ric Hassani,The Prince I Became
43,Indlovu,"DJ Zinhle, Loyiso",Indlovu
44,Here With Me,"Karun, HIGO",Catch A Vibe - EP
45,Ryde,Niniola,6th Heaven
46,This Year,"Mr. Drew, Medikal",This Year
47,Kiss Me Like You Miss Me,CKay,Kiss Me Like You Miss Me
48,Jollof On The Jet,"Cuppy, Rema, Rayvanny",Jollof On The Jet
49,Nisogelee,Navy Kenzo,Nisogelee
50,Doudou,Aya Nakamura,Doudou
