,Position,song,artist
0,1,Running (To You),Chike
1,2,Bounce,Ruger
2,3,Bling (feat. Amaarae & Buju),Blaqbonez
3,4,Forever (Remix),Gyakie
4,5,Infinity,Olamide
5,6,Essence (feat. Tems),Wizkid
6,7,Outside,Buju
7,8,Peaches (Masterkraft Remix),Justin Bieber
8,9,Slow Down,King Promise
9,10,Call Me Baby,Cheque
10,11,Touch It,KiDi
11,12,Searching,Lady Donli
12,13,Vibration,Fireboy Dml
13,14,Away,Ayra Starr
14,15,Baby I'm Jealous,Mr Eazi
15,16,Soundgasm,Rema
16,17,Feeling,LADIPOE
17,18,PANTIES,Kagwe Mungai
18,19,Send Me Nudes,KiDi
19,20,My Jaber (Friday),H_art the Band
20,21,In My Maserati,Olakira
21,22,Whine,Gyakie
22,23,Shine Your Light (feat. Akon),Master KG
23,24,Nana,TomE
24,25,Baikoko,Mbosso
25,26,Say Cheese,KiDi
26,27,Woman,Rema
27,28,Enjoy (Remix),Tekno
28,29,Bossy Part II,WurlD
29,30,La La (feat. Ckay),DaVido
30,31,Bank Notification,Ciza
31,32,Summeryomuthi,Blaq Diamond
32,33,Nobody,DJ Neptune
33,34,Questions,Shekhinah
34,35,FOR YOU,Teni
35,36,Damages,Tems
36,37,I Love You,Mr. P
37,38,Fire on the Mountain,Salatiel
38,39,The Best (feat. Mayorkun),DaVido
39,40,Focus,Joeboy
40,41,Luva Luva,Runtown
41,42,Forever,Gyakie
42,43,Man Dem,Crayon
43,44,Lonely,Joeboy
44,45,Thunder Fire You,Ric Hassani
45,46,Indlovu,DJ Zinhle
46,47,Kiss Me Like You Miss Me,CKay
47,48,Ryde,Niniola
48,49,Designer,Tekno
49,50,Phone,Eli Njuchi
