Position,artist,album
1,Ayra Starr,19 & Dangerous
2,Troniq Music,Eclipse
3,Tiwa Savage,Water & Garri
4,PsychoYP,Euphoria
5,Lojay,LV N ATTN
6,Rod Wave,SoulFly (Deluxe Version)
7,Lil Baby,The Voice of the Heroes
8,Burna Boy,Twice As Tall
9,Pop Smoke,Faith
10,Dave,We're All Alone In This Together
11,Liya,Alari
12,Billie Eilish,Happier Than Ever
13,Dangbana Republik,High Tension 2.0
14,Trippie Redd,Trip At Knight (Complete Edition)
15,Burna Boy,African Giant
16,POLO G,Hall of Fame
17,Lorde,Solar Power
18,NF,The Search
19,Post Malone,Hollywood's Bleeding
20,6lack,6pc Hot EP
21,Stray Kids,NOEASY
22,Burna Boy,Redemption
23,Burna Boy,Best of Burna Boy
24,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack)
25,Burna Boy,Outside
26,Khalid,Free Spirit
27,Victor AD,Nothing To Prove
28,Ruger,PANDEMIC
29,Doja Cat,Planet Her
30,Joeboy,Somewhere Between Beauty & Magic
31,The Kid Laroi,F*CK LOVE 3: OVER YOU
32,Rudeboy,Rudykillus
33,Ayra Starr,Ayra Starr
34,Harry Styles,Fine Line
35,Wizkid,Made In Lagos
36,Rihanna,Loud
37,Rema,Bad Commando
38,Drake,Dark Lane Demo Tapes
39,B Young,Differences
40,Lorde,Pure Heroine (Extended)
41,Offset,FATHER OF 4
42,Aṣa,Asa (Asha)
43,2Face Idibia,Face 2 Face
44,Erigga,The Erigma II
45,Chike,Boo of the Booless
46,Kina,Things I Wanted To Tell You
47,SAINt JHN,Collection One
48,SAINt JHN,While The World Was Burning
49,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
50,Travis Greene,Oil + Water
51,Justin Bieber,Justice
52,Corizo,Dead Rose
53,Lin-Manuel Miranda,Vivo (Original Motion Picture Soundtrack)
54,blackbear,misery lake
55,KCee,Cultural Praise
56,dvsn,Cheers to the Best Memories
57,Cali-Ber Tha Grime,2040 II
58,The Spirituals,Black History Project (Live from London)
59,Jon Bellion,The Definition
60,Jon Bellion,The Human Condition
61,Lil Tjay,Destined 2 Win
62,Kanye West,The Life Of Pablo
63,Dave,Six Paths
64,Kendrick Lamar,DAMN.
65,Central Cee,Wild West
66,NF,Perception
67,Dave,Game Over
68,Brymo,Oṣó
69,JayMikee,Generation Next 2
70,Travis Scott,ASTROWORLD
71,Khalid,Suncity
72,Jon Bellion,Glory Sound Prep
73,Rema,Rema Freestyle EP
74,Dave,PSYCHODRAMA
75,Crayon,Cray Cray
76,Bruno Mars,Unorthodox Jukebox
77,Tomi Thomas,Hopeless Romantic
78,Twenty One Pilots,Scaled And Icy
79,Migos,Culture III (Deluxe)
80,JACKBOYS,JACKBOYS
81,Toosii,Platinum Heart
82,Migos,Culture III
83,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
84,Eminem,Music To Be Murdered By - Side B (Deluxe Edition)
85,Lil Durk,The Voice (Deluxe)
86,Rod Wave,SoulFly
87,Yung Bleu,Moon Boy
88,Skepta,All In
89,Unknown T,Adolescence
90,Izik Gyang,Beyond Wishes
91,Nas,King's Disease II
92,Frank Edwards,ANGLICAN EP
93,The Weeknd,The Highlights
94,Lighthouse Family,Greatest Hits
95,Dezzie,Uno Uno
96,Skepta,Konnichiwa
97,6lack,East Atlanta Love Letter
98,Shaggy,The Boombastic Collection - Best Of Shaggy (International Version)
99,Dave East,HOFFA
100,Men I Trust,Untourable Album
