Position,artist,album
1,Dave,We're All Alone In This Together
2,Yung Bleu,Moon Boy
3,The Kid Laroi,F*CK LOVE 3: OVER YOU
4,Obongjayar,Sweetness
5,Anne-Marie,Therapy
6,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
7,Kida Kudz,TOP MEMBA
8,Pop Smoke,Faith (Deluxe)
9,Migos,Culture III
10,Lojay,LV N ATTN
11,Olamide,UY Scuti
12,Dangbana Republik,High Tension 2.0
13,Justin Bieber,Justice
14,Ruger,PANDEMIC
15,Wizkid,Made In Lagos
16,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
17,POLO G,Hall of Fame
18,Kodak Black,Haitian Boy Kodak
19,Elevation Worship,Old Church Basement
20,Joeboy,Somewhere Between Beauty & Magic
21,Burna Boy,African Giant
22,Chike,Boo of the Booless
23,Pop Smoke,Faith
24,Don Toliver,Heaven Or Hell
25,KSI,All Over The Place (Platinum VIP Edition)
26,Omah lay,Get Layd
27,Omah lay,What Have We Done
28,Jaywillz,Love or the Word (EP)
29,Abra Cadabra,Product of My Environment
30,Burna Boy,Twice As Tall
31,POLO G,THE GOAT
32,Kanye West,JESUS IS KING
33,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
34,A\u1e63a,Asa (Asha)
35,Wizkid,Sounds From The Other Side
36,Dido,Life For Rent
37,Fireboy Dml,"Laughter, Tears & Goosebumps"
38,KIDS SEE GHOSTS,KIDS SEE GHOSTS
39,Blaqbonez,Sex Over Love
40,Doja Cat,Planet Her (Deluxe)
41,Tems,For Broken Ears
42,NF,The Search
43,Dave,PSYCHODRAMA
44,Kizz Daniel,No Bad Songz
45,Taylor Swift,Speak Now (Deluxe Package)
46,The Kid Laroi,F*CK LOVE 3: OVER YOU
47,Koffee,Deezer Sessions
48,tribl,Tribl I
49,H.E.R.,Back of My Mind
50,Kodak Black,Happy Birthday Kodak
51,Various Artists,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack)
52,Lil Baby,The Voice of the Heroes
53,Powfu,drinking under the streetlights
54,J. Cole,The Off-Season
55,DJ Khaled,KHALED KHALED
56,Dremo,Ea$t N We$t
57,Bebe Rexha,Better Mistakes
58,24kgoldn,El Dorado
59,NF,CLOUDS (THE MIXTAPE)
60,Rod Wave,SoulFly
61,Teni,WONDALAND
62,Giveon,When It's All Said And Done... Take Time
63,Ariana Grande,Positions (Deluxe)
64,amaarae,THE ANGEL YOU DON'T KNOW
65,Dunsin Oyekan,The Gospel of the Kingdom
66,DaVido,A Better Time
67,Basketmouth,Yabasi
68,Lil Baby,My Turn (Deluxe)
69,Melvitto,Summers
70,Olamide,Carpe Diem
71,Jaywillz,P.U.N
72,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
73,Davolee,Festival Bar - EP
74,Pop Smoke,Meet The Woo
75,Juice Wrld,Death Race For Love
76,Offset,FATHER OF 4
77,Koffee,Rapture EP
78,Kanye West,My Beautiful Dark Twisted Fantasy
79,Wizkid,Superstar
80,Jon Bellion,The Human Condition
81,Stormzy,Gang Signs & Prayer
82,Future,FUTURE
83,Billie Eilish,dont smile at me
84,Yung Bleu,Moon Boy
85,Childish Major,"Thank you, God. For it all."
86,The Weeknd,Trilogy
87,Hillsong Worship,Hillsong Chapel: Yahweh
88,Amy Grant,Amy Grant Collection
89,Hillsong Worship,A Beautiful Exchange (Live)
90,Type Beat,Instrumental Beats 2021
91,Tenth Avenue North,Unplugged for the People (The Acoustic Greatest Hits)
92,Damian Marley,Distant Relatives
93,Bas,Too High To Riot
94,Kanye West,Yeezus
95,Nikita Kering,A Side Of Me
96,Ric Hassani,The Prince I Became (Deluxe Version)
97,for King & Country,Burn The Ships (Deluxe Edition: Remixes & Collaborations)
98,Warsheep,Unearthly Vibrations
99,Rootz Underground,Red Gold Green
100,YXNG K.A,BABY REAPER EP
