Position,artist,album
1,Kanye West,Donda
2,Wizkid,Made In Lagos: Deluxe Edition
3,PsychoYP,Euphoria
4,Halsey,"If I Can’t Have Love, I Want Power"
5,Troniq Music,Eclipse
6,Ayra Starr,19 & Dangerous
7,Jackboy,Jackboy 2
8,OneRepublic,Human (Deluxe)
9,Lil Tecca,We Love You Tecca 2
10,Lil Baby,The Voice of the Heroes
11,Dave,We're All Alone In This Together
12,KCee,Cultural Praise
13,Dangbana Republik,High Tension 2.0
14,Billie Eilish,Happier Than Ever
15,Bella Shmurda,High Tension
16,Dave,PSYCHODRAMA
17,POLO G,THE GOAT
18,Tiwa Savage,Water & Garri
19,Rotimi,All or Nothing
20,Corizo,Dead Rose
21,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
22,POLO G,Hall of Fame
23,Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series)
24,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
25,J. Cole,The Off-Season
26,Kendrick Lamar,DAMN.
27,Jon Bellion,Glory Sound Prep
28,Juice Wrld,Death Race For Love
29,Rema,Rema Freestyle EP
30,Burna Boy,African Giant
31,Kanye West,JESUS IS KING
32,MohBad,Light
33,NSG,Roots
34,Juice Wrld,Legends Never Die
35,The Cavemen.,ROOTS
36,Justin Bieber,Freedom.
37,Rod Wave,SoulFly (Deluxe Version)
38,Jaden,CTV3: Day Tripper's Edition
39,Not3s,3 Th3 Album
40,Various Artists,Budweiser (Remix)
41,Lojay,LV N ATTN
42,Lil Baby,My Turn (Deluxe)
43,Joyner Lucas,Evolution
44,Godfather of Harlem,Godfather of Harlem: Season 2 (Original Series Soundtrack)
45,NF,CLOUDS (THE MIXTAPE)
46,Trippie Redd,Trip At Knight (Complete Edition)
47,Trippie Redd,Trip At Knight
48,Liya,Alari
49,Justin Bieber,Justice
50,Lemonade Mouth,Lemonade Mouth
51,Ed Sheeran,No.6 Collaborations Project
52,Kehlani,Cloud 19
53,Jaido P,Shopla
54,Jaden,CTV3: Day Tripper's Edition
55,YNW Melly,Just A Matter of Slime
56,Isaiah Rashad,The House Is Burning
57,Omah lay,What Have We Done
58,Moses Bliss,Too Faithful
59,The Cast Of Netflix's Film A Week Away,A Week Away (Music From The Netflix Film)
60,Zinoleesky,Chrome
61,Drake,More Life
62,Drake,Scorpion
63,Juice Wrld,Goodbye & Good Riddance
64,Post Malone,Hollywood's Bleeding
65,Sarz,I LOVE GIRLS WITH TROBUL
66,YNW Melly,Melly vs. Melvin
67,Pop Smoke,Meet The Woo 2
68,Damian Marley,Distant Relatives
69,Don Moen,Don Moen Collection
70,Pop Smoke,Meet The Woo 2 (Deluxe)
71,Teni,WONDALAND
72,Judikay,Man Of Galilee
73,Burna Boy,Twice As Tall
74,Pop Smoke,Faith
75,tribl,Tribl I
76,Laolu Gbenjo,"Spontaneous Praise, Vol. 1"
77,2Face Idibia,Grass 2 Grace
78,Kanye West,808s & Heartbreak
79,Justin Bieber,Purpose (Deluxe)
80,Jon Bellion,The Human Condition
81,Ada Ehi,Future Now
82,Coldplay,Mylo Xyloto
83,Samsong,By the Holyghost
84,Lil Tecca,Virgo Moon
85,Kate Rusby,Underneath The Stars
86,DMX,It's Dark And Hell Is Hot
87,Westside Gunn,Hitler Wears Hermes 8: Sincerely Adolf
88,Birdy,Birdy (Deluxe Version)
89,Cocomelon,Nursery Rhymes by Cocomelon
90,Cardi B,Invasion of Privacy
91,LUUV.,It's 4 am. You're sleeping. I'm Crying.
92,WurlD,Love Is Contagious
93,Joey Alexander,Warna
94,Pop Smoke,Shoot For The Stars Aim For The Moon
95,Diego Tinny,Most Underrated
96,Big Time Rush,BTR
97,Pryme,Rhythm & Soul
98,Frank Edwards,Unlimited - Verse 1
99,NF,Perception
100,Burna Boy,Outside
