Position,artist,album
1,Olamide,UY Scuti
2,Lojay,LV N ATTN
3,Teni,WONDALAND
4,Limoblaze,God's Favourite Baby
5,Rexxie,A True Champion
6,G Herbo,25
7,Masterkraft,Masta Groove
8,Nas,It Was Written (Expanded Edition)
9,"Tyler, The Creator",CALL ME IF YOU GET LOST
10,Justin Bieber,Justice
11,Doja Cat,Planet Her (Deluxe)
12,Wizkid,Made In Lagos
13,Burna Boy,Twice As Tall
14,Doja Cat,Planet Her
15,Migos,Culture III
16,Lil Baby,The Voice of the Heroes
17,POLO G,Hall of Fame
18,Blaqbonez,Sex Over Love
19,Joeboy,Somewhere Between Beauty & Magic
20,Burna Boy,African Giant
21,Fireboy Dml,APOLLO
22,J. Cole,The Off-Season
23,Tems,For Broken Ears
24,Brymo,Yellow
25,The Cavemen.,ROOTS
26,Central Cee,Wild West
27,Ruger,PANDEMIC
28,Jack Harlow,Thats What They All Say
29,Maroon 5,JORDI (Deluxe)
30,DJ Khaled,KHALED KHALED
31,Juice Wrld,Death Race For Love
32,Drake,Views
33,Nasty C,Zulu Man With Some Power
34,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
35,Ed Sheeran,\u00f7 (Deluxe)
36,Yungeen Ace,Life of Betrayal 2x
37,Chike,Boo of the Booless
38,Basketmouth,Yabasi
39,Ski Mask the Slump God,Sin City The Mixtape
40,Kendrick Lamar,DAMN.
41,Logic,YS Collection Vol. 1
42,KDDO,TOO LATE TOO LIT (EP)
43,Burna Boy,Best of Burna Boy
44,Khalid,American Teen
45,Maverick City Music,Jubilee: Juneteenth Edition
46,Big Sean,Finally Famous (10th Anniversary Deluxe Edition Remixed and Remastered)
47,Stormzy,Heavy Is The Head
48,Ruth B.,Moments in Between
49,Lil Durk,The Voice (Deluxe)
50,Billie Eilish,dont smile at me
51,Joyner Lucas,508-507-2209
52,Jeriq,Hood Boy Dreams
53,A\u1e63a,Lucid
54,DRB Lasgidi,Pioneers
55,Don Toliver,Heaven Or Hell
56,J Hus,Big Conspiracy
57,Jaywillz,Love or the Word (EP)
58,Runtown,SoundGod Fest Reloaded
59,Giveon,When It's All Said And Done... Take Time
60,Elevation Worship,Old Church Basement
61,DaVido,A Better Time
62,Alpha P,King Of The Wolves
63,Tinky Doblar,Gone and Forgotten
64,Olivia Rodrigo,SOUR
65,STYL-PLUS,Expressions
66,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
67,Meek Mill,Championships
68,Metro Boomin,NOT ALL HEROES WEAR CAPES
69,Lil Wayne,Tha Carter V
70,Judikay,Man Of Galilee
71,The Game,Jesus Piece (Deluxe)
72,The Funkees,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77 (Soundway Records)"
73,Wizkid,Superstar
74,Olamide,Street OT
75,Aaliyah,Age Ain't Nothing But A Number
76,A\u1e63a,Asa (Asha)
77,Travis Scott,ASTROWORLD
78,Drake,Scorpion
79,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers
80,Joey Bada$$,1999
81,Olamide,Lagos Nawa!
82,Meek Mill,Wins & Losses (Deluxe Edition)
83,Aitch,Polaris
84,Wizkid,Sounds From The Other Side
85,Show Dem Camp,The Palmwine Express
86,Bella Shmurda,High Tension
87,Dremo,Ea$t N We$t
88,NF,CLOUDS (THE MIXTAPE)
89,Aitch,AitcH2O
90,Post Malone,Hollywood's Bleeding
91,Hollow Coves,Moments
92,Trippie Redd,A Love Letter To You 4
93,Burna Boy,Outside
94,amaarae,THE ANGEL YOU DON'T KNOW
95,Khalid,Free Spirit
96,Justin Timberlake,What Goes Around...Comes Around
97,Olamide,Eyan Mayweather
98,Adekunle Gold,"Afro Pop, Vol. 1"
99,Qdot,Alagbe
100,Dana Winner,Unforgettable
