Position,artist,album
1,Olamide,UY Scuti
2,POLO G,Hall of Fame
3,Lojay,LV N ATTN
4,Ruger,PANDEMIC
5,Wizkid,Made In Lagos
6,Lil Baby,The Voice of the Heroes
7,"Tyler, The Creator",CALL ME IF YOU GET LOST
8,H.E.R.,Back of My Mind
9,Wizkid,Ayo
10,Juice Wrld,Death Race For Love
11,Peruzzi,The Leaktape
12,Maverick City Music,Jubilee: Juneteenth Edition
13,Burna Boy,African Giant
14,Migos,Culture III
15,Maroon 5,JORDI (Deluxe)
16,J. Cole,The Off-Season
17,Joeboy,Somewhere Between Beauty & Magic
18,Travis Scott,ASTROWORLD
19,Ayra Starr,Ayra Starr
20,NF,The Search
21,Tems,For Broken Ears
22,Lil Kesh,Y.A.G.I (Young and Getting It)
23,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
24,Blaqbonez,Sex Over Love
25,Lil Tjay,Destined 2 Win
26,Peruzzi,Rum & Boogie
27,DaVido,A Better Time
28,August Alsina,The Product III: stateofEMERGEncy
29,Olamide,Eyan Mayweather
30,DaVido,A Good Time
31,Burna Boy,Outside
32,Wizkid,Sounds From The Other Side
33,Nasty C,Zulu Man With Some Power
34,Central Cee,Wild West
35,Jon Bellion,Glory Sound Prep
36,Rema,Bad Commando
37,Justin Bieber,Justice
38,Joyner Lucas,Evolution
39,Jacob Banks,Village
40,Qdot,Alagbe
41,Various Artists,Worship Songs: Christian Church Songs & Gospel Music
42,J Hus,Big Conspiracy
43,POLO G,Hall of Fame
44,KiDi,The Golden Boy
45,Wiz Khalifa,Rolling Papers (Deluxe 10 Year Anniversary Edition)
46,King Perryy,CITIZEN OF THE WORLD
47,Meek Mill,Championships
48,Young Dolph,Dum and Dummer 2
49,Miley Cyrus,Plastic Hearts
50,Nasty C,Strings And Bling
51,Basketmouth,Yabasi
52,Juice Wrld,Legends Never Die
53,Judikay,Man Of Galilee
54,Oxlade,OXYGENE
55,Roddy Ricch,Please Excuse Me for Being Antisocial
56,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack)
57,Adekunle Gold,Gold
58,Khalid,American Teen
59,Phyno,Phyno: Greatest Hits
60,Big Sean,I Decided.
61,Jon Bellion,The Human Condition
62,Dr. Dre,2001
63,Meek Mill,Dreams Worth More Than Money
64,Nico & Vinz,Black Star Elephant
65,August Alsina,Testimony (Deluxe)
66,GoldLink,HARAM!
67,Corizo,Chronicles of CORIZO
68,Rexxie,A True Champion
69,Juice Wrld,Goodbye & Good Riddance (Anniversary Edition)
70,Hugo P,Resurrection
71,Pryme,Crescendo (EP)
72,Cruel Santino,Mandy & The Jungle
73,Nicki Minaj,Beam Me Up Scotty
74,DJ Khaled,KHALED KHALED
75,Dremo,Ea$t N We$t
76,Jaden,SYRE
77,21 Savage,i am > i was (Deluxe)
78,24kgoldn,El Dorado
79,NF,CLOUDS (THE MIXTAPE)
80,Drake,Scary Hours 2
81,Elevation Worship,Old Church Basement
82,Westlife,Greatest Hits
83,Abra Cadabra,Product of My Environment
84,Drake,Scorpion
85,Jaden,CTV3: Cool Tape Vol. 3
86,Burna Boy,Twice As Tall
87,Mannywellz,Mirage
88,Chike,Boo of the Booless
89,Lady Donli,Enjoy Your Life
90,Jon Bellion,The Separation
91,Hannah Peel,Particles In Space
92,Prospa Ochimana,Ekwueme to the World Project
93,Jordan Feliz,Future
94,Maverick City Music,Maverick City Vol.1
95,King Dr. Saheed Osupa,Labalaba & Ore Niwon
96,Slick Rick,The Art Of Storytelling
97,TyFontaine,Ascension
98,Headie One,The One
99,Pop Smoke,Meet The Woo
100,Rick Ross,Hood Billionaire (Deluxe)
