rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Peru,Fireboy Dml,1,1,1,1,2,1,5,1.7142857142857142
2,Lie,Kizz Daniel,2,2,2,2,3,3,7,3.0
3,Understand,Omah lay,3,3,3,3,4,4,8,4.0
4,Bloody Samaritan,Ayra Starr,4,4,4,4,5,5,9,5.0
5,Essence (feat. Justin Bieber & Tems),Wizkid,5,6,5,5,9,6,4,5.714285714285714
6,Sinner,Adekunle Gold,7,5,6,6,6,7,10,6.714285714285714
7,Monalisa,Lojay,6,7,7,8,8,8,11,7.857142857142857
8,Bounce,Ruger,8,8,9,9,7,9,13,9.0
9,Feel Good,MohBad,10,9,8,10,10,10,14,10.142857142857142
10,Big Thug Boys,AV,11,11,11,12,11,11,16,11.857142857142858
11,Outside,Buju,12,10,10,11,12,12,17,12.0
12,Feeling,LADIPOE,13,13,12,13,14,14,18,13.857142857142858
13,Let Me Know,Mayorkun,9,12,14,14,21,16,22,15.428571428571429
14,Naira Marley,Zinoleesky,14,15,13,15,16,15,20,15.428571428571429
15,Fashion Killer,Ayra Starr,17,18,15,16,13,13,21,16.142857142857142
16,Yaba Buluku (Remix),DJ Tárico,18,19,19,22,20,22,31,21.571428571428573
17,Cocaine,Dai Verse,22,24,23,23,23,25,39,25.571428571428573
18,It Is What It Is,Adekunle Gold,34,36,35,35,36,38,51,37.857142857142854
19,LV N ATTN feat. Wizkid,Lojay,35,37,37,36,37,37,55,39.142857142857146
20,Cast (Gen Z Anthem),Ayra Starr,37,38,40,42,31,39,54,40.142857142857146
21,Coming,Naira Marley,32,34,39,38,43,44,56,40.857142857142854
22,Drug Test,Naira Marley,36,39,38,37,35,46,58,41.285714285714285
23,HUSTLE,Teni,39,33,33,44,40,45,60,42.0
24,Mercy,Falz,40,41,42,41,38,43,59,43.42857142857143
25,Oliver Twist,ArrDee,41,35,36,40,48,47,63,44.285714285714285
26,Beggie Beggie,Ayra Starr,38,44,45,53,39,40,53,44.57142857142857
27,Forever (Remix),Gyakie,33,42,43,45,46,48,62,45.57142857142857
28,Kilometre,Burna Boy,42,43,44,43,49,41,61,46.142857142857146
29,Abu Dhabi,Ruger,46,45,48,48,42,49,68,49.42857142857143
30,Far Away,Dangbana Republik,47,40,52,50,41,58,72,51.42857142857143
31,Hallelu,Masterkraft,45,47,51,46,51,56,65,51.57142857142857
