rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Donda,Kanye West,1,1,1,1,1,1,1,1.0
2,Happier Than Ever,Billie Eilish,7,7,14,14,14,14,14,12.0
3,Human (Deluxe),OneRepublic,27,27,8,8,8,8,8,13.428571428571429
4,Water & Garri,Tiwa Savage,29,29,18,18,18,18,18,21.142857142857142
5,Made In Lagos: Deluxe Edition,Wizkid,301,301,2,2,2,2,2,87.42857142857143
6,Euphoria,PsychoYP,301,301,3,3,3,3,3,88.14285714285714
7,"If I Can’t Have Love, I Want Power",Halsey,301,301,4,4,4,4,4,88.85714285714286
8,Eclipse,Troniq Music,301,301,5,5,5,5,5,89.57142857142857
9,19 & Dangerous,Ayra Starr,301,301,6,6,6,6,6,90.28571428571429
10,Jackboy 2,Jackboy,301,301,7,7,7,7,7,91.0
11,We Love You Tecca 2,Lil Tecca,301,301,9,9,9,9,9,92.42857142857143
12,The Voice of the Heroes,Lil Baby,301,301,10,10,10,10,10,93.14285714285714
13,We're All Alone In This Together,Dave,301,301,11,11,11,11,11,93.85714285714286
14,Cultural Praise,KCee,301,301,12,12,12,12,12,94.57142857142857
15,High Tension 2.0,Dangbana Republik,301,301,13,13,13,13,13,95.28571428571429
16,High Tension,Bella Shmurda,301,301,15,15,15,15,15,96.71428571428571
17,PSYCHODRAMA,Dave,301,301,16,16,16,16,16,97.42857142857143
18,THE GOAT,POLO G,301,301,17,17,17,17,17,98.14285714285714
19,All or Nothing,Rotimi,301,301,19,19,19,19,19,99.57142857142857
20,Dead Rose,Corizo,301,301,20,20,20,20,20,100.28571428571429
21,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,301,301,21,21,21,21,21,101.0
22,Hall of Fame,POLO G,301,301,22,22,22,22,22,101.71428571428571
23,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Julie and the Phantoms Cast,301,301,23,23,23,23,23,102.42857142857143
24,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,301,301,24,24,24,24,24,103.14285714285714
25,The Off-Season,J. Cole,301,301,25,25,25,25,25,103.85714285714286
