Position,song,artist,album
1,Bounce,Ruger,PANDEMIC
2,Feeling,"LADIPOE, Buju",Feeling
3,Rock,Olamide,Rock
4,Soundgasm,Rema,Soundgasm
5,Outside,Buju,Outside
6,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
7,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
8,Felony,CKay,Boyfriend
9,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
10,Coming,"Naira Marley, Busiswa",Coming
11,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
12,Confident,"Savage, Buju",Confident
13,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
14,It Is What It Is,Adekunle Gold,It Is What It Is
15,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
16,Big Thug Boys,AV,Big Thug Boys
17,PonPon,"Olamide, FAVE",UY Scuti
18,Kilometre,Burna Boy,Kilometre
19,Party Next Door,"Dangbana Republik, Bella Shmurda",Party Next Door
20,Bounce,Rema,Bounce
21,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
22,History,"Cheque, Fireboy Dml",History
23,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
24,Infinity,"Olamide, Omah lay",Carpe Diem
25,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
26,FOR YOU,"Teni, DaVido",FOR YOU
27,Naira Marley,Zinoleesky,Naira Marley
28,Pronto,"Ajebo Hustlers, Omah lay",Pronto
29,Oliver Twist,ArrDee,Oliver Twist
30,Show Me,Joeboy,Somewhere Between Beauty & Magic
31,Loved By You,"Justin Bieber, Burna Boy",Justice
32,Kilofeshe,Zinoleesky,Chrome
33,Running (To You),"Chike, Simi",Running (To You)
34,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
35,RAPSTAR,POLO G,Hall of Fame
36,23,Burna Boy,Twice As Tall
37,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
38,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
39,Jailer,"Olamide, Jaywillz",UY Scuti
40,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
41,Julie,Olamide,UY Scuti
42,Need For Speed,Olamide,UY Scuti
43,Monalisa,"Lojay, Sarz",LV N ATTN
44,Godly,Omah lay,What Have We Done
45,Focus,Joeboy,Somewhere Between Beauty & Magic
46,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
47,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
48,Abu Dhabi,Ruger,PANDEMIC
49,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",KHALED KHALED
50,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean
51,Yaba Buluku (Remix),"DJ TÃ¡rico, Burna Boy, Preck, Nelson Tivane",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix]
52,Commitment Issues,Central Cee,Commitment Issues
53,Tonongo,"Lojay, Sarz",LV N ATTN
54,Bad Habits,Ed Sheeran,Bad Habits
55,Late At Night,Roddy Ricch,Late At Night
56,La La (feat. Ckay),"DaVido, CKay",A Better Time
57,All,"Rexxie, DaVido",A True Champion
58,Blessed (feat. Damian Marley),"Wizkid, Damian Marley",Made In Lagos
59,Celebrate Me,Patoranking,Celebrate Me
