Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,Bounce,Ruger,PANDEMIC
3,Rock,Olamide,Rock
4,Outside,Buju,Outside
5,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
6,Coming,"Naira Marley, Busiswa",Coming
7,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
8,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
9,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
10,Felony,CKay,Boyfriend
11,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
12,Oliver Twist,ArrDee,Oliver Twist
13,Bounce,Rema,Bounce
14,Pronto,"Ajebo Hustlers, Omah lay",Pronto
15,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
16,Kilometre,Burna Boy,Kilometre
17,Late At Night,Roddy Ricch,Late At Night
18,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
19,History,"Cheque, Fireboy Dml",History
20,FOR YOU,"Teni, DaVido",FOR YOU
21,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
22,It Is What It Is,Adekunle Gold,It Is What It Is
23,Focus,Joeboy,Somewhere Between Beauty & Magic
24,Show Me,Joeboy,Somewhere Between Beauty & Magic
25,Kilofeshe,Zinoleesky,Chrome
26,Loved By You,"Justin Bieber, Burna Boy",Justice
27,Infinity,"Olamide, Omah lay",Carpe Diem
28,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
29,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
30,Running (To You),"Chike, Simi",Running (To You)
31,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
32,Tonongo,"Lojay, Sarz",LV N ATTN
33,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
34,Voice of the Heroes,"Lil Baby, Lil Durk",The Voice of the Heroes
35,a m a r i,J. Cole,The Off-Season
36,23,Burna Boy,Twice As Tall
37,Godly,Omah lay,What Have We Done
