Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP
1,up,Victor Ola-Iya and His Cool Cats,Anyin Ga Na,1,1,44,,,,
2,up,Ajebo Hustlers & Omah Lay,Pronto,6,2,10,,,,
3,up,Wizkid,Essence,4,2,13,,,,
4,up,Dr. Orlando Owoh,"Experience, Side 1",10,4,4,,,,
5,up,Media,Headline Intro,25,5,58,,,,
6,up,Ebenezer Obey,"The Horse, The Man & the Son",22,1,45,,,,
7,up,Ebenezer Obey,Alowo Ma Jaiye,17,1,42,,,,
8,up,Gyakie,Forever (Remix) [feat. Omah Lay],24,8,9,,,,
9,up,No Mandate,We Have No Mandate,72,9,29,,,,
10,down,Focalistic & Davido,Ke Star (Remix),5,1,12,,,,
11,up,Bishop David Oyedepo,.Commanding Supernatural Breakthrough,38,11,8,,,,
12,up,Abdul Rahman As Sudais & Saud Al Shuraim,Al-Anbiya,31,1,19,,,,
13,down,CKay,Felony,2,2,9,,,,
14,down,Metropolitan Tabernacle,"Redeemed from Guilt, Redeemed from Fears",9,2,72,,,,
15,up,JAE5,Dimension (feat. Skepta & Rema),36,15,5,,,,
16,up,Davido,La La (feat. Ckay),19,16,5,,,,
17,up,Fela Kuti,"Look And Laugh, Pt 1 & 2",18,3,49,,,,
18,up,Coco Lagos y Sus Orates,Tumba Coco (Descarga),26,6,34,82,2021-02-21,82,2021-02-21
19,down,Teni,FOR YOU (feat. Davido),12,3,10,,,,
20,up,Jochen Flach,Greatness and Wisdom (Mandate of Heaven),61,20,14,,,,
21,down,Gyakie,Forever,13,12,8,,,,
22,down,Dangbana Republik & Bella Shmurda,World,21,21,4,,,,
23,up,Kizz Daniel,Nesesari (feat. Philkeyz),34,23,6,,,,
24,up,Laycon,Fall for Me (feat. YKB),62,7,3,,,,
25,-,Ice Prince,KOLO (feat. Oxlade),-,25,8,,,,
26,up,Ebenezer Obey,"Tunde Medley, Pt. 1",50,3,39,,,,
27,-,Omah Lay,Godly,-,12,16,,,,
28,up,Ebenezer Obey,Mo Tun Gbede,73,12,36,,,,
29,-,Gregory Abbott,Shake You Down (Single Version),-,29,1,,,,
30,down,Fela Kuti,Africa Centre of the World (Edit) [feat. Roy Ayers],7,1,52,,,,
31,up,Fireboy DML,Star,40,18,5,,,,
32,down,Fela Kuti,"No Agreement, Pt. 2",8,1,55,,,,
33,up,Dangbana Republik & Bella Shmurda,Rush,35,2,13,,,,
34,up,Joeboy,Show Me,97,34,4,,,,
35,-,Ozioma,Ital Stew,-,5,23,,,,
36,-,Denike,Goosebumps,-,36,3,,,,
