Position,song,artist
1,Essence (feat. Justin Bieber & Tems),"WizKid, Justin Bieber, Tems"
2,Lie,Kizz Daniel
3,Understand,Omah Lay
4,Peru,Fireboy DML
5,Monalisa,Lojay
6,Sinner,Adekunle Gold
7,Bounce,Rema
8,Feel Good,Mohbad
9,Outside,Buju
10,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Nelson Tivane"
11,Ojuju,Oxlade
12,Bloody Samaritan,Ayra Starr
13,Big Thug Boys,AV
14,Feeling,LADIPOE
15,Medicine,Jaywillz
16,Naira Marley,Zinoleesky
17,Essence (feat. Tems),WizKid
18,Soundgasm,Rema
19,Confident,Savage
20,Fashion Killer,Ayra Starr
21,Rock,Olamide
22,Cocaine,Dai Verse
23,System (feat. WizKid),Dave
24,Testimony,Buju
25,Cast (Gen Z Anthem),Ayra Starr
26,Party Next Door,Dangbana Republik
27,Drug Test,Naira Marley
28,Beggie Beggie,Ayra Starr
29,Dimension (feat. Skepta & Rema),JAE5
30,Bling (feat. Amaarae & Buju),Blaqbonez
31,Clash (feat. Stormzy),Dave
32,Alubarika,Zlatan
33,Ginger (feat. Burna Boy),WizKid
34,Lazarus (feat. Boj),Dave
35,Coming,Naira Marley
36,Tonongo,Lojay
37,Show Me,Joeboy
38,Mercy,Falz
39,Blessed (feat. Damian Marley),WizKid
40,Pray,Victony
41,Petite,NSG
42,Pronto,Ajebo Hustlers
43,Lonely,Ayra Starr
44,HUSTLE,Teni
45,Abu Dhabi,Ruger
46,Far Away,Dangbana Republik
47,It Is What It Is,Adekunle Gold
48,La La (feat. Ckay),DaVido
49,Kilometre,Burna Boy
50,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
51,Snitch,Ayra Starr
52,LV N ATTN feat. Wizkid,Lojay
53,Felony,CKay
54,Southy Love,Peruzzi
55,Ke Star - Remix,Focalistic
56,Need To Know,Doja Cat
57,23,Burna Boy
58,Colorado,Zugo
59,Rush,Dangbana Republik
60,Bank On It,Burna Boy
61,Way Too Big,Burna Boy
62,Bridgertn,Ayra Starr
63,Toxic,Ayra Starr
64,Loved By You (feat. Burna Boy),Justin Bieber
65,Reckless,WizKid
66,Forever (Remix),Gyakie
67,World,Dangbana Republik
68,Karma,Ayra Starr
69,The Best (feat. Mayorkun),DaVido
70,Celebrate Me,Patoranking
71,STAMINA,WurlD
72,Early Momo,Vector
73,STAY (with Justin Bieber),The Kid LAROI
74,Out There,Dangbana Republik
75,History,Cheque
76,Focus,Joeboy
77,No Stress,WizKid
78,Sweet One,WizKid
79,Late At Night,Roddy Ricch
80,Shameful,King OT
81,Longtime (feat. Skepta),WizKid
82,Real Life (feat. Stormzy),Burna Boy
83,In Between,Ayra Starr
84,Kilofeshe,Zinoleesky
85,KOLO (feat. Oxlade),Ice Prince
86,Chosen (feat. Ty Dolla $ign),Blxst
87,Jailer (feat. Jaywillz),Olamide
88,Hallelu,Masterkraft
89,Running (To You),chike
90,Somebody Baby,DaVido
91,Solace,Ajebo Hustlers
92,Wonder (feat. Patoranking),Dremo
93,RAPSTAR,Polo G
94,Godly,Omah Lay
95,Mighty Wine,WizKid
96,True Love (feat. Tay Iwar & Projexx),WizKid
97,Law Of Attraction (feat. Snoh Aalegra),Dave
98,Amin,Ayra Starr
99,Rumors (feat. Cardi B),Lizzo
