Position,song,artist
1,Understand,Omah Lay
2,Bounce,Rema
3,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Burna Boy, Preck, Nelson Tivane"
4,Outside,Buju
5,Feeling,LADIPOE
6,Monalisa,Lojay
7,Big Thug Boys,AV
8,Rock,Olamide
9,Soundgasm,Rema
10,Confident,Savage
11,Sinner,Adekunle Gold
12,Essence (feat. Tems),WizKid
13,Party Next Door,Dangbana Republik
14,Naira Marley,Zinoleesky
15,Far Away,Dangbana Republik
16,Bling (feat. Amaarae & Buju),Blaqbonez
17,Out There,Dangbana Republik
18,Dimension (feat. Skepta & Rema),JAE5
19,Medicine,Jaywillz
20,Show Me,Joeboy
21,Tonongo,Lojay
22,World,Dangbana Republik
23,Coming,Naira Marley
24,Rush,Dangbana Republik
25,LV N ATTN feat. Wizkid,Lojay
26,Clash (feat. Stormzy),Dave
27,Ginger (feat. Burna Boy),WizKid
28,Soldier Go,Dangbana Republik
29,It Is What It Is,Adekunle Gold
30,HUSTLE,Teni
31,Jailer (feat. Jaywillz),Olamide
32,Blessed (feat. Damian Marley),WizKid
33,Lako,Dangbana Republik
34,Pronto,Ajebo Hustlers
35,Felony,CKay
36,Champion,Dangbana Republik
37,Kilometre,Burna Boy
38,Forever (Remix),Gyakie
39,Celebrate Me,Patoranking
40,La La (feat. Ckay),DaVido
41,Ke Star - Remix,Focalistic
42,Abu Dhabi,Ruger
43,History,Cheque
44,Southy Love,Peruzzi
45,Late At Night,Roddy Ricch
46,Bia,Phyno
47,Julie,Olamide
48,Early Momo,Vector
49,Bank On It,Burna Boy
50,All,Rexxie
51,Need For Speed,Olamide
52,Somebody (feat. Phyno),Olamide
53,Focus,Joeboy
54,Reckless,WizKid
55,Money & Laughter,Boj
56,Frenemies,Rexxie
57,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
58,23,Burna Boy
59,PonPon (feat. Fave),Olamide
60,Loved By You (feat. Burna Boy),Justin Bieber
61,The Best (feat. Mayorkun),DaVido
62,KOLO (feat. Oxlade),Ice Prince
63,Godly,Omah Lay
64,Way Too Big,Burna Boy
65,Somebody Baby,DaVido
66,RAPSTAR,Polo G
67,Sweet One,WizKid
68,Longtime (feat. Skepta),WizKid
69,Running (To You),chike
70,INJURE ME,Teni
71,FOR YOU,Teni
72,Oliver Twist,ArrDee
73,No Stress,WizKid
74,Motley Crew,Post Malone
75,Real Life (feat. Stormzy),Burna Boy
76,Mighty Wine,WizKid
77,Hallelu,Masterkraft
78,Kilofeshe,Zinoleesky
79,True Love (feat. Tay Iwar & Projexx),WizKid
80,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
81,Bad Influence,Omah Lay
82,High Way,DJ Kaywise
83,Infinity (feat. Omah Lay),Olamide
84,Piece of Me (feat. Ella Mai),WizKid
85,Jowo,DaVido
86,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA
87,KPK (Ko Por Ke),Rexxie
88,Cash App,Bella Shmurda
89,Tycoon,Show Dem Camp
90,Cup of Tea,Olamide
91,Voice of the Heroes,Lil Baby
92,Hats Off (feat. Travis Scott),Lil Baby
93,Ayewada,Barry Jhay
94,Baba Nla,Dr Dolor
95,Smile (feat. H.E.R.),WizKid
96,Peaches (Masterkraft Remix) feat. Alpha P & Omah Lay,Justin Bieber
97,Omo X 100,Reminisce
98,Rough Up (feat. Layydoe),Olamide
