Position,song,artist
1,Mood (feat. Buju),"WizKid, Buju"
2,Lie,Kizz Daniel
3,ATL,Ecool
4,Bloody Samaritan,Ayra Starr
5,Peru,Fireboy DML
6,High,Adekunle Gold
7,Anoti,WizKid
8,Feel Good,Mohbad
9,Understand,Omah Lay
10,Tale Bana,Zarion Uti
11,Fountains (with Tems),Drake
12,Monalisa,Lojay
13,Cocaine,Dai Verse
14,What's Gwanin,Zarion Uti
15,Essence (feat. Justin Bieber & Tems),"WizKid, Tems"
16,Girls Want Girls (with Lil Baby),Drake
17,Question (feat. Don Jazzy),Burna Boy
18,Sinner,Adekunle Gold
19,Steady,WizKid
20,Fair Trade (with Travis Scott),Drake
21,Outside,Buju
22,Bounce,Ruger
23,Way 2 Sexy (with Future & Young Thug),Drake
24,Ojuju,Troniq Music
25,Somebody’s Son (Ft Brandy),Tiwa Savage
26,Let Me Know,Mayorkun
27,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Nelson Tivane"
28,Champagne Poetry,Drake
29,Feeling,LADIPOE
30,Medicine,Jaywillz
31,Naira Marley,Zinoleesky
32,Big Thug Boys,AV
33,In The Bible (with Lil Durk & Giveon),Drake
34,Love All (with JAY-Z),Drake
35,Confident,Savage
36,Fashion Killer,Ayra Starr
37,Essence (feat. Tems),WizKid
38,TSU,Drake
39,Soundgasm,Rema
40,Rock,Olamide
41,Testimony,Buju
42,Papi’s Home,Drake
43,Cast (Gen Z Anthem),Ayra Starr
44,Hurricane,Kanye West
45,Ginger (feat. Burna Boy),WizKid
46,No Friends In The Industry,Drake
47,N 2 Deep,Drake
48,Party Next Door,Dangbana Republik
49,Knife Talk (with 21 Savage ft. Project Pat),Drake
50,Blessed (feat. Damian Marley),WizKid
51,Colorado,Zugo
52,7am On Bridle Path,Drake
53,Pipe Down,Drake
54,Dimension (feat. Skepta & Rema),JAE5
55,Clash (feat. Stormzy),Dave
56,Bling (feat. Amaarae & Buju),Blaqbonez
57,Beggie Beggie,Ayra Starr
58,Race My Mind,Drake
59,Shako,Barry Jhay
60,LOML (feat. Olamide),Cheque
61,You Only Live Twice (with Lil Wayne & Rick Ross),Drake
62,Get Along Better,Drake
63,System (feat. WizKid),Dave
64,Reckless,WizKid
65,Yebba’s Heartbreak,Drake
66,Coming,Naira Marley
67,So Cold,Bella Shmurda
68,Jail,Kanye West
69,IMY2 (with Kid Cudi),Drake
70,Show Me,Joeboy
71,Off The Grid,Kanye West
72,Southy Love,Peruzzi
73,Felony,CKay
74,Tonongo,Lojay
75,Lazarus (feat. Boj),Dave
76,MAKAVELI,T-Classic
77,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
78,Àkọ́kọ́,Brymo
79,Far Away,Dangbana Republik
80,Pronto,Ajebo Hustlers
81,Longtime (feat. Skepta),WizKid
82,HUSTLE,Teni
83,Sweet One,WizKid
84,It Is What It Is,Adekunle Gold
85,Méjì Méjì,Brymo
86,Moon,Kanye West
87,No Stress,WizKid
88,Praise God,Kanye West
89,23,Burna Boy
90,True Love (feat. Tay Iwar & Projexx),WizKid
91,Fucking Fans,Drake
92,Mighty Wine,WizKid
93,Jonah,Kanye West
94,The Remorse,Drake
95,Need To Know,Doja Cat
96,STAY (with Justin Bieber),The Kid LAROI
97,Pay Me,Troniq Music
98,Piece of Me (feat. Ella Mai),WizKid
99,Way Too Big,Burna Boy
100,Ọkùnrin Mẹ́ta (Ẹ̀dùn Ọkàn),Brymo
