Position,song,artist
1,Understand,Omah Lay
2,Soundgasm,Rema
3,Essence (feat. Justin Bieber & Tems),"WizKid, Justin Bieber, Tems"
4,Big Thug Boys,AV
5,Shopping Spree (feat. Chris Brown & Young Thug),DaVido
6,Sweety,Yemi Alade
7,Feeling,LADIPOE
8,Ababuyanga,Aymos
9,Celebrate Me,Patoranking
10,Sinner,Adekunle Gold
11,Ex,Nikita Kering'
12,Fashion Killer,Ayra Starr
13,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith
14,Siyathandana,Cassper Nyovest
15,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Nelson Tivane"
16,Bounce - UK Remix,Ruger
17,Door,Joeboy
18,SPUNK,WurlD
19,Forever (Remix),Gyakie
20,Ojuju,Oxlade
21,BE MY LOVER,Jizzle
22,Kilometre,Burna Boy
23,Kamata,Diamond Platnumz
24,KPK (Ko Por Ke),Rexxie
25,Testimony,Buju
26,Koroba,Tiwa Savage
27,Lie,Kizz Daniel
28,Slow Down,King Promise
29,System (feat. WizKid),Dave
30,LV N ATTN feat. Wizkid,Lojay
31,Music Messiah,DJ Neptune
32,This Your Body,Skales
33,GUPTA,Focalistic
34,Dimension (feat. Skepta & Rema),JAE5
35,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba
36,Banyana,"DJ Maphorisa, Kabza De Small"
37,Bosana,El Mukuka
38,Non Living Thing (feat. Oxlade),Sarkodie
39,Send Me Nudes (feat. Joey B),KiDi
40,Only You,GIMS
41,Coming,Naira Marley
42,Nossas Coisas (feat. Ary),C4 Pedro
43,MOSLADO,Teni
44,Kilofese - Remix,Zinoleesky
45,Emlanjeni,De Mthuda
46,Rock,Olamide
47,Running (To You),chike
48,Focus,Joeboy
49,Ba Xolele - 729 Street Vocal,Dzo 729
50,Niko Sawa,Nviiri The Storyteller
