Position,song,artist
1,Understand,Omah Lay
2,Essence (feat. Tems),"WizKid, Tems"
3,Feeling,LADIPOE
4,Soundgasm,Rema
5,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)","Alikiba, K2ga, Tommy Flavour"
6,Bounce,Ruger
7,Siyathandana,Cassper Nyovest
8,System (feat. WizKid),Dave
9,Kilometre,Burna Boy
10,Banyana,"DJ Maphorisa, Kabza De Small"
11,Testimony,Buju
12,Door,Joeboy
13,Sinner,Adekunle Gold
14,MOSLADO,Teni
15,Celebrate Me,Patoranking
16,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico
17,Kilofese - Remix,Zinoleesky
18,Dimension (feat. Skepta & Rema),JAE5
19,Focus,Joeboy
20,KPK (Ko Por Ke),Rexxie
21,Let Dem Kno,Smallgod
22,Dinaledi,Major League Djz
23,Kamata,Diamond Platnumz
24,Solace,Ajebo Hustlers
25,Coming,Naira Marley
26,Forever (Remix),Gyakie
27,Running (To You),chike
28,Rock,Olamide
29,Send Me Nudes (feat. Joey B),KiDi
30,Shopping Spree (feat. Chris Brown & Young Thug),DaVido
31,Music Messiah,DJ Neptune
32,Only You,GIMS
33,LV N ATTN feat. Wizkid,Lojay
34,Nossas Coisas (feat. Ary),C4 Pedro
35,Karma,Odeal
36,Koroba,Tiwa Savage
37,Slow Down,King Promise
38,Niko Sawa,Nviiri The Storyteller
39,This Your Body,Skales
40,Khuza Gogo,"DBN Gogo, M.J"
41,Jowo,DaVido
42,GUPTA,Focalistic
43,Meliza,DJ Flex
44,Touch It,KiDi
45,Bosana,El Mukuka
46,John Wick,De Mthuda
47,Breakup Riddim,DJ Aroma
48,Woza,Mr JazziQ
49,PEPE,L.A.X
50,Yebo Teacher,Moonchild Sanelly
