Position,song,artist
1,Peru,Fireboy DML
2,Anoti,WizKid
3,Big Thug Boys,AV
4,Siyathandana,"Cassper Nyovest, Abidoza, Boohle"
5,High,Adekunle Gold
6,Understand,Omah Lay
7,Sinner,Adekunle Gold
8,Lie,Kizz Daniel
9,Question (feat. Don Jazzy),Burna Boy
10,Kamata,Diamond Platnumz
11,Soundgasm,Rema
12,Izolo,"DJ Maphorisa, Madumane, Mpura, Daliwonga"
13,Bounce - UK Remix,Ruger
14,Non Living Thing (feat. Oxlade),Sarkodie
15,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico
16,Celebrate Me,Patoranking
17,LV N ATTN feat. Wizkid,Lojay
18,LOML (feat. Olamide),Cheque
19,Feeling,LADIPOE
20,Salungano,Makhadzi
21,Fashion Killer,Ayra Starr
22,Ojuju,Troniq Music
23,Ghana Jollof (feat. Falz & Kwabena Kwabena),Basketmouth
24,Door,Joeboy
25,Ababuyanga,Aymos
26,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith
27,Dimension (feat. Skepta & Rema),JAE5
28,Testimony,Buju
29,Joy,Blxckie
30,MOSLADO,Teni
31,System (feat. WizKid),Dave
32,Running (To You),chike
33,Kilometre,Burna Boy
34,Only You,GIMS
35,Fiction (feat. Busy Signal),Rotimi
36,Somebody’s Son (Ft Brandy),Tiwa Savage
37,KPK (Ko Por Ke),Rexxie
38,Bosana,El Mukuka
39,Summer Bounce,Blaq Jerzee
40,SPUNK,WurlD
41,Ring My Line (feat. Headie One),King Promise
42,Music Messiah,DJ Neptune
43,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba
44,Bankroll (feat. Tiwa Savage & Avelino),Not3s
45,Ex,Nikita Kering'
46,Essence (feat. Justin Bieber & Tems),WizKid
47,Lakiriboto,Liya
48,Ba Xolele - 729 Street Vocal,Dzo 729
49,Shopping Spree (feat. Chris Brown & Young Thug),DaVido
50,Love Me,Juls
