Position,song,artist
1,Soundgasm,Rema
2,Siyathandana,"Cassper Nyovest, Abidoza, Boohle"
3,Kilometre,Burna Boy
4,Send Me Nudes (feat. Joey B),KiDi
5,Feeling,LADIPOE
6,Door,Joeboy
7,Bounce,Rema
8,Essence (feat. Tems),WizKid
9,Dimension (feat. Skepta & Rema),JAE5
10,Coming,Naira Marley
11,Forever (Remix),Gyakie
12,Running (To You),chike
13,MOSLADO,Teni
14,Rock,Olamide
15,Falling For U,Blaq Jerzee
16,Banyana,"DJ Maphorisa, Daliwonga, Kabza De Small"
17,Kilofese - Remix,Zinoleesky
18,Confident,Savage
19,Focus,Joeboy
20,Music Messiah,DJ Neptune
21,Koroba,Tiwa Savage
22,LV N ATTN feat. Wizkid,Lojay
23,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico
24,Bosana,El Mukuka
25,Let Dem Kno,Smallgod
26,Dinaledi,Major League Djz
27,Breakup Riddim,DJ Aroma
28,Kamata,Diamond Platnumz
29,Yebo Teacher,Moonchild Sanelly
30,Celebrate Me,Patoranking
31,Nossas Coisas (feat. Ary),C4 Pedro
32,Slow Down,King Promise
33,This Your Body,Skales
34,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba
35,Baikoko,Mbosso
36,GUPTA,Focalistic
37,Woza,Mr JazziQ
38,Touch It,KiDi
39,John Wick,De Mthuda
40,Niko Sawa,Nviiri The Storyteller
41,Somebody (feat. Phyno),Olamide
42,PEPE,L.A.X
43,Sekkle & Bop (feat. Popcaan),Mr Eazi
44,KPK (Ko Por Ke),Rexxie
45,Meliza,DJ Flex
46,Khuza Gogo,"DBN Gogo, M.J"
47,Señorita,Rayvanny
48,Jowo,DaVido
49,Baajo,Kwesi Arthur
