Position,song,artist
1,The Recipe,"Aluna, KAYTRANADA, Rema"
2,Essence (feat. Tems),WizKid
3,Antidote (feat. Adekunle Gold),Nao
4,Real Life (feat. Stormzy),Burna Boy
5,D & G (feat. Summer Walker),DaVido
6,Mandy,Scribz Riley
7,Trouble,"DRB Lasgidi, Fresh L., Tems"
8,Can't Let You Go,Stefflon Don
9,Damn (feat. 6lack),Omah Lay
10,Slow Down (feat. Tion Wayne),Darkoo
11,No Stress,WizKid
12,Love Somebody,Rotimi
13,Silver Tongue Devil (feat. Shenseea),Masego
14,Dimension (feat. Skepta & Rema),JAE5
15,Nirvana,Skepta
16,ALREADY,Beyoncé
17,Know Your Worth,Khalid
18,Eve Bounce - Remix,Yung L
19,Godly,Omah Lay
20,Gum Body (feat. Jorja Smith),Burna Boy
21,Ginger (feat. Burna Boy),WizKid
22,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - DJ Tunez Remix,Robert Glasper
23,Blessings REMIX (feat. French Montana & Davido),Angel
24,Can't Let You Go - Remix,Stefflon Don
25,Princess Cuts (feat. Young T & Bugsey),Headie One
26,Lo Lo,Omah Lay
27,Sponono,Kabza De Small
28,Tattoo,Fireboy DML
29,Dream Girl - Global Remix,Ir Sais
30,Ginger Me,Rema
31,Peace,Mannywellz
32,Blessed (feat. Damian Marley),WizKid
33,Bobo,Aya Nakamura
34,Everytime,Spinall
35,AWAY,Oxlade
36,The Don,Mr Eazi
37,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
38,Bad Shit,Jarreau Vandal
39,Ryde,Niniola
40,In My Bed,Rotimi
41,Come Over (Remix),Jorja Smith
42,Smile (feat. H.E.R.),WizKid
43,REQUIRE,DJ Tunez
44,DRUNK GUITAR (feat. Potter Payper),NSG
45,FOR YOU,Teni
46,Champion,Fireboy DML
47,4AM,Manny Norté
48,See Through,Chip
49,Repeat (feat. Koffee),J Hus
50,Nu Riddim,Ycee
51,Attention,Tiwa Savage
52,JA ARA E,Burna Boy
53,Baby I'm Jealous,Mr Eazi
54,Lonely,Joeboy
55,Solo,Shakka
56,Gal Policy (Remix) [feat. Tiwa Savage],Kranium
57,Longtime (feat. Skepta),WizKid
58,Be Honest (feat. Burna Boy),Jorja Smith
59,Peace Of Mind,Rema
60,African Girl Bad,Zoro
61,God's Work (feat. iLL BLU),IAMDDB
62,Koroba,Tiwa Savage
63,Say Cheese,KiDi
64,Smooth MF,Agho
65,"Slow Down (feat. H.E.R., DaVido, & Oxlade) - P2J Remix",Skip Marley
66,Simmer (feat. Burna Boy),Mahalia
67,MAD,Sarz
68,E Be Mad,Mr Eazi
69,Joro,WizKid
70,KOLO (feat. Oxlade),Ice Prince
71,Location (feat. Burna Boy),Dave
72,Killa (feat. DaVido),Teyana Taylor
73,Guestlist,Frenna
74,HOLD ON,Oxlade
75,Anybody,Burna Boy
76,It Go Bad,Nnabu
77,A Million,Mannywellz
78,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,Alicia Keys
79,Do To Me,H.E.R.
80,Wonderful,Burna Boy
81,Soweto Blues,Juls
82,I Spy,Lila Iké
83,Oh My,Lavaud
84,COMO UN BEBÉ,J Balvin
85,Lenu - Remix,Buju
86,Luva Luva,Runtown
87,Temptation,Tiwa Savage
88,Pamela,Wauve
89,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Phony Ppl
90,Slow Down,VanJess
91,Take Me Home,Lady Donli
92,Carefully,Nana Fofie
93,Holy Ground (feat. Nicki Minaj),DaVido
94,MOSLADO,Teni
95,Angelina,Juls
96,Lento,Mr Eazi
97,Curious (feat. Jimi Tents & Garren),VanJess
98,Sleepless Nights (feat. Davido),Trey Songz
99,Oreke,E Kelly
