Position,song,artist
1,Love Somebody,Rotimi
2,Mandy,Scribz Riley
3,D & G (feat. Summer Walker),"DaVido, Summer Walker"
4,No Stress,WizKid
5,See Through,Chip
6,Real Life (feat. Stormzy),Burna Boy
7,Dimension (feat. Skepta & Rema),"JAE5, Rema"
8,Damn (feat. 6lack),Omah Lay
9,Can't Let You Go,Stefflon Don
10,Ginger (feat. Burna Boy),WizKid
11,Know Your Worth,"Khalid, Tems"
12,Eve Bounce - Remix,Yung L
13,AWAY,Oxlade
14,Godly,Omah Lay
15,Blessings REMIX (feat. French Montana & Davido),Angel
16,Trouble,"DRB Lasgidi, Tems"
17,Come Over (Remix),Jorja Smith
18,Silver Tongue Devil (feat. Shenseea),Masego
19,ALREADY,Beyoncé
20,Antidote (feat. Adekunle Gold),Nao
21,Blessed (feat. Damian Marley),WizKid
22,Dream Girl - Global Remix,Ir Sais
23,Peace,Mannywellz
24,HOLD ON,Oxlade
25,E Be Mad,Mr Eazi
26,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
27,Roll It,Richie Benson
28,Ryde,Niniola
29,Angelina,Juls
30,Sacrifices (feat. Tim Lyre),DAP The Contract
31,Koroba,Tiwa Savage
32,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - DJ Tunez Remix,Robert Glasper
33,Ginger Me,Rema
34,It Go Bad,Nnabu
35,Gum Body (feat. Jorja Smith),Burna Boy
36,FOR YOU,Teni
37,Smile (feat. H.E.R.),WizKid
38,Dumebi (Matoma Remix),Rema
39,I No Go Give Up On You,Mr Eazi
40,Be Honest (feat. Burna Boy),Jorja Smith
41,Love Nobody,WurlD
42,Luva Luva,Runtown
43,4AM,Manny Norté
44,In My Bed,Rotimi
45,juju,Zubi
46,Tattoo,Fireboy DML
47,Baby I'm Jealous,Mr Eazi
48,Lonely,Joeboy
49,Sponono,Kabza De Small
50,Lo Lo,Omah Lay
51,Everytime,Spinall
52,MAD,Sarz
53,Smooth MF,Agho
54,Lenu - Remix,Buju
55,Peace Of Mind,Rema
56,Attention,Tiwa Savage
57,Marry Me,Smallgod
58,Strong & Solid,GMK
59,Say Cheese,KiDi
60,Bad Shit,Jarreau Vandal
61,Can't Let You Go - Remix,Stefflon Don
62,Play Play (feat. Burna Boy),J Hus
63,Princess Cuts (feat. Young T & Bugsey),Headie One
64,FIND YOUR WAY BACK - MELO-X Remix,Beyoncé
65,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Phony Ppl
66,Killa (feat. DaVido),Teyana Taylor
67,Anybody,Burna Boy
68,KOLO (feat. Oxlade),Ice Prince
69,God's Work (feat. iLL BLU),IAMDDB
70,FIND YOUR WAY BACK,Beyoncé
71,Joro,WizKid
72,So Crazy (feat. Lil Baby),DaVido
73,Soweto Blues,Juls
74,The Recipe,Aluna
75,African Girl Bad,Zoro
76,REQUIRE,DJ Tunez
77,Longtime (feat. Skepta),WizKid
78,Bobo,Aya Nakamura
79,Oh My,Lavaud
80,Wonderful,Burna Boy
81,Holy Ground (feat. Nicki Minaj),DaVido
82,"Slow Down (feat. H.E.R., DaVido, & Oxlade) - P2J Remix",Skip Marley
83,Solo,Shakka
84,My Maria,Thutmose
85,Fever,Iyanya
86,Location (feat. Burna Boy),Dave
87,MOSLADO,Teni
88,Carefully,Nana Fofie
89,Dollas and Cents,TOBi
90,So Lovely,Buju
91,Simmer (feat. Burna Boy),Mahalia
92,Repeat (feat. Koffee),J Hus
93,ELI,Fireboy DML
94,Take Me Home,Lady Donli
95,Wishes,Juls
96,Guestlist,Frenna
97,The Don,Mr Eazi
98,Pretty Girl,Adekunle Gold
99,Yawa (feat. Sarkodie),R2Bees
100,I Spy,Lila Iké
