Position,song,artist
1,Fountains (with Tems),"Drake, Tems"
2,Essence (feat. Tems),WizKid
3,Antidote (feat. Adekunle Gold),Nao
4,Love Somebody,Rotimi
5,High,Adekunle Gold
6,Real Life (feat. Stormzy),Burna Boy
7,D & G (feat. Summer Walker),DaVido
8,Mandy,Scribz Riley
9,Rumour,Kaien Cruz
10,Slow Down (feat. Tion Wayne),Darkoo
11,Godly,Omah Lay
12,Badman Love - Remix,Skales
13,Ginger (feat. Burna Boy),WizKid
14,Trouble,"DRB Lasgidi, Boj, Fresh L., Tems"
15,Essence (feat. Justin Bieber & Tems),WizKid
16,Smooth MF,Agho
17,CHOP N PRAY,WurlD
18,Pretty Girl,Adekunle Gold
19,Peace,Mannywellz
20,Woman,Doja Cat
21,Lonely,Joeboy
22,Blessed (feat. Damian Marley),WizKid
23,Baby I'm Jealous,Mr Eazi
24,Silver Tongue Devil (feat. Shenseea),Masego
25,Fiction (feat. Busy Signal),Rotimi
26,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
27,Know Your Worth,Khalid
28,Peace Of Mind,Rema
29,Gal Policy (Remix) [feat. Tiwa Savage],Kranium
30,Point and Kill,Little Simz
31,Lenu - Remix,Buju
32,Eve Bounce - Remix,Yung L
33,Blessings REMIX (feat. French Montana & Davido),Angel
34,Dimension (feat. Skepta & Rema),JAE5
35,Damn (feat. 6lack),Omah Lay
36,AWAY,Oxlade
37,It Go Bad,Nnabu
38,No Stress,WizKid
39,Everytime,Spinall
40,Oh My,Lavaud
41,Can't Let You Go,Stefflon Don
42,Oreke,E Kelly
43,Solo,Shakka
44,E Be Mad,Mr Eazi
45,Longtime (feat. Skepta),WizKid
46,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - DJ Tunez Remix,Robert Glasper
47,Nnobody,Nnabu
48,Can't Let You Go - Remix,Stefflon Don
49,Soweto Blues,Juls
50,Bloody Samaritan,Ayra Starr
51,Ginger Me,Rema
52,Smile (feat. H.E.R.),WizKid
53,Come Over (Remix),Jorja Smith
54,Domitilla,Lisa Yaro
55,Ryde,Niniola
56,KOLO (feat. Oxlade),Ice Prince
57,4AM,Manny Norté
58,Attention,Tiwa Savage
59,FOR YOU,Teni
60,Gum Body (feat. Jorja Smith),Burna Boy
61,In My Bed,Rotimi
62,Guestlist,Frenna
63,Ready,Yung L
64,"Slow Down (feat. H.E.R., DaVido, & Oxlade) - P2J Remix",Skip Marley
65,REQUIRE,DJ Tunez
66,Love Nobody,WurlD
67,System (feat. WizKid),Dave
68,Dream Girl - Global Remix,Ir Sais
69,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,Alicia Keys
70,ALREADY,Beyoncé
71,MAD,Sarz
72,The Recipe,Aluna
73,Killa (feat. DaVido),Teyana Taylor
74,Tattoo,Fireboy DML
75,Whine It (feat. Sauti Sol),Patoranking
76,DRUNK GUITAR (feat. Potter Payper),NSG
77,Lo Lo,Omah Lay
78,Take Me Home,Lady Donli
79,Sponono,Kabza De Small
80,I Spy,Lila Iké
81,See Through,Chip
82,Princess Cuts (feat. Young T & Bugsey),Headie One
83,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Phony Ppl
84,Say Cheese,KiDi
85,Luva Luva,Runtown
86,So Lovely,Buju
87,Do To Me,H.E.R.
88,Baajo,Kwesi Arthur
89,juju,Zubi
90,Proppa,Etana
91,Bobo,Aya Nakamura
92,The Don,Mr Eazi
93,Location (feat. Burna Boy),Dave
94,Champion,Fireboy DML
95,Koroba,Tiwa Savage
96,Joro,WizKid
97,God's Work (feat. iLL BLU),IAMDDB
98,Higher,Tems
99,I No Go Give Up On You,Mr Eazi
100,MOSLADO,Teni
