Position,song,artist
1,D & G (feat. Summer Walker),"DaVido, Summer Walker"
2,Ginger Me,Rema
3,Love Somebody,Rotimi
4,No Stress,WizKid
5,See Through,Chip
6,Real Life (feat. Stormzy),Burna Boy
7,Mandy,Scribz Riley
8,Godly,Omah Lay
9,Trouble,"DRB Lasgidi, Boj, Fresh L., Tems"
10,Ginger (feat. Burna Boy),WizKid
11,Blessings REMIX (feat. French Montana & Davido),Angel
12,Eve Bounce - Remix,Yung L
13,Gum Body (feat. Jorja Smith),Burna Boy
14,Dimension (feat. Skepta & Rema),JAE5
15,Dream Girl - Global Remix,Ir Sais
16,Can't Let You Go,Stefflon Don
17,Damn (feat. 6lack),Omah Lay
18,Blessed (feat. Damian Marley),WizKid
19,AWAY,Oxlade
20,Antidote (feat. Adekunle Gold),Nao
21,E Be Mad,Mr Eazi
22,MAD,Sarz
23,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
24,Silver Tongue Devil (feat. Shenseea),Masego
25,ALREADY,Beyoncé
26,Know Your Worth,Khalid
27,In My Bed,Rotimi
28,4AM,Manny Norté
29,Baby I'm Jealous,Mr Eazi
30,Sacrifices (feat. Tim Lyre),DAP The Contract
31,REQUIRE,DJ Tunez
32,Killa (feat. DaVido),Teyana Taylor
33,Lonely,Joeboy
34,Everytime,Spinall
35,Longtime (feat. Skepta),WizKid
36,Lo Lo,Omah Lay
37,Princess Cuts (feat. Young T & Bugsey),Headie One
38,Nu Riddim,Ycee
39,Smooth MF,Agho
40,Tattoo,Fireboy DML
41,Smile (feat. H.E.R.),WizKid
42,Attention,Tiwa Savage
43,KOLO (feat. Oxlade),Ice Prince
44,Ryde,Niniola
45,Pretty Girl,Adekunle Gold
46,Sponono,Kabza De Small
47,FOR YOU,Teni
48,Soweto Blues,Juls
49,Lenu - Remix,Buju
50,Gal Policy (Remix) [feat. Tiwa Savage],Kranium
51,Say Cheese,KiDi
52,Koroba,Tiwa Savage
53,God's Work (feat. iLL BLU),IAMDDB
54,Repeat (feat. Koffee),J Hus
55,Oreke,E Kelly
56,Come Over (Remix),Jorja Smith
57,Peace Of Mind,Ayo Jay
58,Bad Shit,Jarreau Vandal
59,Location (feat. Burna Boy),Dave
60,The Don,Mr Eazi
61,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,Alicia Keys
62,Solo,Shakka
63,Guestlist,Frenna
64,Anybody,Burna Boy
65,Wishes,Juls
66,Bobo,Aya Nakamura
67,I No Go Give Up On You,Mr Eazi
68,Dangerous Love - Møme Edit,Tiwa Savage
69,Champion,Fireboy DML
70,Wonderful,Burna Boy
71,FIND YOUR WAY BACK,Beyoncé
72,Holy Ground (feat. Nicki Minaj),DaVido
73,Can't Let You Go - Remix,Stefflon Don
74,Play Play (feat. Burna Boy),J Hus
75,Do To Me,H.E.R.
76,Oh My,Lavaud
77,Lento,Mr Eazi
78,JA ARA E,Burna Boy
79,So Crazy (feat. Lil Baby),DaVido
80,It Go Bad,Nnabu
81,So Lovely,Buju
82,Beamer (Bad Boys),Rema
83,Simmer (feat. Burna Boy),Mahalia
84,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Phony Ppl
85,Baajo,Kwesi Arthur
86,Gimme Love - Remix,Seyi Shay
87,Nnobody,Nnabu
88,MOSLADO,Teni
89,Be Honest (feat. Burna Boy),Jorja Smith
90,Dumebi (Matoma Remix),Rema
91,Whine It (feat. Sauti Sol),Patoranking
92,Take Me Home,Lady Donli
93,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - DJ Tunez Remix,Robert Glasper
94,I Spy,Lila Iké
95,Joro,WizKid
96,Squander,Falz
97,Risky,DaVido
98,Bounce,Rema
99,Peace,Mannywellz
