Position,song,artist
1,Round 2 (feat. Giggs),"Sarkodie, Giggs"
2,Feeling,LADIPOE
3,Longtime (feat. Skepta),WizKid
4,Guestlist,Frenna
5,Animalistic,Kida Kudz
6,Second Sermon,Black Sherif
7,Alakori,Falz
8,Sinner,"Smallgod, O'Kenneth, Kwaku DMC, Lp2loose"
9,Dragon Roll,Frenna
10,Jack,Nasty C
11,Wavy (feat. Sarkodie),Khaligraph Jones
12,AMMO,Shane Eagle
13,Winning,Kwesi Arthur
14,Make Up Your Mind (feat. Tekno),Ice Prince
15,Play Play (feat. Burna Boy),J Hus
16,Crown Of Clay,Vector
17,Grandad,NSG
18,Django,Frenna
19,Black And White,Nasty C
20,Siberia (feat. Burna Boy),Headie One
21,Sore - Remix,Yaw Tog
22,Level Up,Kmw
23,A Million,Mannywellz
24,God's Work (feat. iLL BLU),IAMDDB
25,Location (feat. Burna Boy),Dave
26,Midf (Money I Dey Find),Ycee
27,Medusa,H Magnum
28,Best I Ever Had,Nasty C
29,African Girl Bad,Zoro
30,Tycoon,Show Dem Camp
31,TBDK (feat. Sinzu & Erigga),M.I. Abaga
32,Ox,Gabe 'Nandez
33,Long Way From Home,PsychoYP
34,First Sermon,Black Sherif
35,Problem No Dey Finish,BRYAN THE MENSAH
36,My Brudda,Yung Nnelg
37,Lazarus (feat. Boj),Dave
38,Heartbreaker (feat. Nasty C),Blaqbonez
39,Deep In Da Streets,TNT Kenya
40,Vibration,Sarkodie
41,My Heart,Pappy Kojo
42,Mona Lisa,Booba
43,Ball Till We Fall,Kida Kudz
44,Hmm - Remix,G4 Boyz
45,FAIS ÇA BIEN,Damso
46,Hapo Tu (feat. Chris Kaiga),Nyashinski
47,David,Blxckie
48,Euphoria,PsychoYP
49,Real Ones,Breeder LW
50,THE 5 YEAR PLAN,A-Reece
51,K:HOVA,K.O
52,Coachella,Sarkodie
53,Peace of Mind,Skepta
54,ASTRONAUTE,Youssoupha
55,Smoke From Fire (with The Hics),Bas
56,Ye x4,Blxckie
57,Africana (feat. Victoria Kimani),Silverstone Barz
58,GYM,Kiki Marley
59,Amigo,Lous and The Yakuza
60,RE(a)D (with Bas),Dua Saleh
61,Cheki,Oznardi
62,DONE,Frida Amani
63,Σ. MOROSE,Damso
64,Question For The Gods,M3NSA
65,It's Not A Gun,DAP The Contract
66,Fantastic!,Suté Iwar
67,Solace,Ajebo Hustlers
