Position,song,artist
1,Tycoon,"Show Dem Camp, Reminisce, Mojo"
2,Longtime (feat. Skepta),WizKid
3,Feeling,LADIPOE
4,Jack,Nasty C
5,Guestlist,Frenna
6,Animalistic,Kida Kudz
7,African Girl Bad,Zoro
8,Alakori,Falz
9,Sore - Remix,Yaw Tog
10,Play Play (feat. Burna Boy),J Hus
11,Make Up Your Mind (feat. Tekno),Ice Prince
12,Dragon Roll,Frenna
13,Sinner,"Smallgod, Kwaku DMC, Lp2loose"
14,God's Work (feat. iLL BLU),IAMDDB
15,A Million,Mannywellz
16,Heartbreaker (feat. Nasty C),Blaqbonez
17,AMMO,Shane Eagle
18,Crown Of Clay,Vector
19,Grandad,NSG
20,Siberia (feat. Burna Boy),Headie One
21,Black And White,Nasty C
22,Hapo Tu (feat. Chris Kaiga),Nyashinski
23,Winning,Kwesi Arthur
24,Midf (Money I Dey Find),Ycee
25,Location (feat. Burna Boy),Dave
26,THE 5 YEAR PLAN,A-Reece
27,Coachella,Sarkodie
28,Level Up,Kmw
29,My Brudda,Yung Nnelg
30,Best I Ever Had,Nasty C
31,Ye x4,Blxckie
32,Django,Frenna
33,Wavy (feat. Sarkodie),Khaligraph Jones
34,TBDK (feat. Sinzu & Erigga),M.I. Abaga
35,Smoke From Fire (with The Hics),Bas
36,First Sermon,Black Sherif
37,Ox,Gabe 'Nandez
38,DONE,Frida Amani
39,Long Way From Home,PsychoYP
40,ASTRONAUTE,Youssoupha
41,Hmm - Remix,G4 Boyz
42,FAIS ÇA BIEN,Damso
43,Fantastic!,Suté Iwar
44,Africana (feat. Victoria Kimani),Silverstone Barz
45,Ball Till We Fall,Kida Kudz
46,Deep In Da Streets,TNT Kenya
47,K:HOVA,K.O
48,Medusa,H Magnum
49,Euphoria,PsychoYP
50,It's Not A Gun,DAP The Contract
51,Amigo,Lous and The Yakuza
52,Mona Lisa,Booba
53,Σ. MOROSE,Damso
54,Real Ones,Breeder LW
55,GYM,Kiki Marley
56,Problem No Dey Finish,BRYAN THE MENSAH
57,My Heart,Pappy Kojo
58,Vibration,Sarkodie
59,David,Blxckie
60,RE(a)D (with Bas),Dua Saleh
61,Question For The Gods,M3NSA
