Position,song,artist
1,Round 2 (feat. Giggs),"Sarkodie, Giggs"
2,Feeling,LADIPOE
3,Jack,Nasty C
4,Guestlist,Frenna
5,Longtime (feat. Skepta),WizKid
6,Sore - Remix,"Yaw Tog, Kwesi Arthur"
7,Alakori,Falz
8,Sinner,"Smallgod, Kwaku DMC, Lp2loose"
9,African Girl Bad,Zoro
10,Ye x4,Blxckie
11,First Sermon,Black Sherif
12,A Million,Mannywellz
13,Location (feat. Burna Boy),Dave
14,Dragon Roll,Frenna
15,God's Work (feat. iLL BLU),IAMDDB
16,Crown Of Clay,Vector
17,Level Up,Kmw
18,Play Play (feat. Burna Boy),J Hus
19,Black And White,Nasty C
20,Animalistic,Kida Kudz
21,Make Up Your Mind (feat. Tekno),Ice Prince
22,Grandad,NSG
23,Lazarus (feat. Boj),Dave
24,Django,Frenna
25,Siberia (feat. Burna Boy),Headie One
26,Medusa,H Magnum
27,Fantastic!,Suté Iwar
28,Vibration,Sarkodie
29,Best I Ever Had,Nasty C
30,TBDK (feat. Sinzu & Erigga),M.I. Abaga
31,Tycoon,Show Dem Camp
32,DONE,Frida Amani
33,Wavy (feat. Sarkodie),Khaligraph Jones
34,FAIS ÇA BIEN,Damso
35,Ball Till We Fall,Kida Kudz
36,Second Sermon,Black Sherif
37,Winning,Kwesi Arthur
38,THE 5 YEAR PLAN,A-Reece
39,Hapo Tu (feat. Chris Kaiga),Nyashinski
40,Midf (Money I Dey Find),Ycee
41,Euphoria,PsychoYP
42,Hmm - Remix,G4 Boyz
43,Heartbreaker (feat. Nasty C),Blaqbonez
44,It's Not A Gun,DAP The Contract
45,Coachella,Sarkodie
46,My Brudda,Yung Nnelg
47,AMMO,Shane Eagle
48,Σ. MOROSE,Damso
49,Deep In Da Streets,TNT Kenya
50,Smoke From Fire (with The Hics),Bas
51,Long Way From Home,PsychoYP
52,Africana (feat. Victoria Kimani),Silverstone Barz
53,My Heart,Pappy Kojo
54,K:HOVA,K.O
55,Real Ones,Breeder LW
56,Mona Lisa,Booba
57,Cheki,Oznardi
58,Amigo,Lous and The Yakuza
59,Solace,Ajebo Hustlers
60,Peace of Mind,Skepta
61,Question For The Gods,M3NSA
62,David,Blxckie
63,Problem No Dey Finish,BRYAN THE MENSAH
64,GYM,Kiki Marley
65,ASTRONAUTE,Youssoupha
66,Ox,Gabe 'Nandez
67,RE(a)D (with Bas),Dua Saleh
