Position,song,artist
1,Heartbreaker (feat. Nasty C),"Blaqbonez, Nasty C"
2,Longtime (feat. Skepta),WizKid
3,Feeling,LADIPOE
4,AMMO,Shane Eagle
5,Alakori,Falz
6,Guestlist,Frenna
7,Midf (Money I Dey Find),Ycee
8,Long Way From Home,PsychoYP
9,First Sermon,Black Sherif
10,Location (feat. Burna Boy),Dave
11,Dragon Roll,Frenna
12,Black And White,Nasty C
13,Sore - Remix,"Yaw Tog, Kwesi Arthur"
14,Animalistic,Kida Kudz
15,Siberia (feat. Burna Boy),Headie One
16,God's Work (feat. iLL BLU),IAMDDB
17,A Million,Mannywellz
18,Make Up Your Mind (feat. Tekno),Ice Prince
19,My Heart,Pappy Kojo
20,Crown Of Clay,Vector
21,Jack,Nasty C
22,Winning,Kwesi Arthur
23,Grandad,NSG
24,African Girl Bad,Zoro
25,TBDK (feat. Sinzu & Erigga),M.I. Abaga
26,Ye x4,Blxckie
27,Play Play (feat. Burna Boy),J Hus
28,ASTRONAUTE,Youssoupha
29,My Brudda,Yung Nnelg
30,Wavy (feat. Sarkodie),Khaligraph Jones
31,Sinner,"Smallgod, Kwaku DMC, Lp2loose"
32,THE 5 YEAR PLAN,A-Reece
33,GYM,Kiki Marley
34,David,Blxckie
35,Hapo Tu (feat. Chris Kaiga),Nyashinski
36,Ball Till We Fall,Kida Kudz
37,Problem No Dey Finish,BRYAN THE MENSAH
38,Coachella,Sarkodie
39,Fantastic!,Suté Iwar
40,Mona Lisa,Booba
41,Ox,Gabe 'Nandez
42,FAIS ÇA BIEN,Damso
43,Smoke From Fire (with The Hics),Bas
44,Level Up,Kmw
45,DONE,Frida Amani
46,Best I Ever Had,Nasty C
47,K:HOVA,K.O
48,Django,Frenna
49,Hmm - Remix,G4 Boyz
50,Deep In Da Streets,TNT Kenya
51,Amigo,Lous and The Yakuza
52,Σ. MOROSE,Damso
53,Question For The Gods,M3NSA
54,Medusa,H Magnum
55,Euphoria,PsychoYP
56,Africana (feat. Victoria Kimani),Silverstone Barz
57,It's Not A Gun,DAP The Contract
58,RE(a)D (with Bas),Dua Saleh
59,Real Ones,Breeder LW
