Position,song,artist
1,Sinner,"Adekunle Gold, Lucky Daye"
2,Summeryomuthi,Blaq Diamond
3,Understand,Omah Lay
4,Feeling,LADIPOE
5,Milele,"Somi, Thandiswa"
6,Sere,Spinall
7,Onyeka (Baby),Burna Boy
8,Essence (feat. Tems),WizKid
9,It Is What It Is,Adekunle Gold
10,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay"
11,Lonely,Joeboy
12,Soundgasm,Rema
13,DKT,Oxlade
14,Sempe,L.A.X
15,No Stress,WizKid
16,Damn (feat. 6lack),Omah Lay
17,Kilometre,Burna Boy
18,Everytime - Remix,Spinall
19,Woman,Rema
20,Confident,Savage
21,Celebration,Joeboy
22,FOR YOU,Teni
23,Bounce,Ruger
24,Alright (feat. Shatta Wale),King Promise
25,Dangerous Love,Tiwa Savage
26,Cool Me Down (feat. Wizkid),DJ Tunez
27,Activate,Stonebwoy
28,"Jam Now, Simmer Down",Blinky Bill
29,Need You,Fitila
30,MOSLADO,Teni
31,NO LONGER BENEFICIAL,Simi
32,Pretty Girl,Adekunle Gold
33,Slow Down,King Promise
34,Jeje de Whine,CKay
35,Saudi Arabia,Mr Eazi
36,Outside,Buju
37,JUMPING SHIP,Amaarae
38,Badman Love,Skales
39,Haunisumbui,Diamond Platnumz
40,Smile (feat. H.E.R.),WizKid
41,Mamela,Mi Casa
42,Kini Issue,Runtown
43,Only One (feat. King Promise),Navy Kenzo
44,Kiss Me Like You Miss Me,CKay
45,This Your Body,Skales
46,CHOP N PRAY,WurlD
47,Running (To You),chike
48,Sudden,Tekno
49,Abule,Patoranking
50,Tele,Kelvyn Boy
51,Addicted,Niniola
52,The Don,Mr Eazi
53,Flex,Kizz Daniel
54,Proud,Oladapo
55,Rock,Olamide
56,Luva Luva,Runtown
57,Tellin Me Something,Nelson Freitas
58,Questions,Shekhinah
59,Tonight,Yung D3mz
60,Jeje,Diamond Platnumz
