Position,song,artist
1,Sinner,"Adekunle Gold, Lucky Daye"
2,Lonely,Joeboy
3,Understand,Omah Lay
4,Sere,Spinall
5,Milele,"Somi, Thandiswa"
6,Bounce,Ruger
7,It Is What It Is,Adekunle Gold
8,Essence (feat. Tems),WizKid
9,Feeling,LADIPOE
10,Green Light,Olamide
11,Summeryomuthi,Blaq Diamond
12,Alright (feat. Shatta Wale),King Promise
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay"
14,Sempe,L.A.X
15,Everytime - Remix,Spinall
16,Soundgasm,Rema
17,Kilometre,Burna Boy
18,No Stress,WizKid
19,FOR YOU,Teni
20,Tele,Kelvyn Boy
21,DKT,Oxlade
22,Pretty Girl,Adekunle Gold
23,Onyeka (Baby),Burna Boy
24,Woman,Rema
25,Damn (feat. 6lack),Omah Lay
26,Activate,Stonebwoy
27,One Shirt (feat. Jonzing World),D'Prince
28,Konna,HarrySong
29,Celebration,Joeboy
30,The Don,Mr Eazi
31,Cool Me Down (feat. Wizkid),DJ Tunez
32,Dangerous Love,Tiwa Savage
33,Kiss Me Like You Miss Me,CKay
34,This Your Body,Skales
35,Outside,Buju
36,Can't Let You Go - Remix,Stefflon Don
37,Flex,Kizz Daniel
38,Tellin Me Something,Nelson Freitas
39,Saudi Arabia,Mr Eazi
40,Rock,Olamide
41,Jeje de Whine,CKay
42,Need You,Fitila
43,Gobe - Remix,L.A.X
44,Badman Love,Skales
45,Slow Down,King Promise
46,MOSLADO,Teni
47,Fine Fine,Korede Bello
48,Proud,Oladapo
49,Smile (feat. H.E.R.),WizKid
50,Ohema,Buju
51,Felony,CKay
52,ALREADY,Beyoncé
53,Wettin Dey Sup,Burna Boy
54,Addicted,Niniola
55,Ogaranya,Reminisce
56,JUMPING SHIP,Amaarae
57,Sound,Diamond Platnumz
58,Mamela,Mi Casa
59,Angel,Ric Hassani
60,Jeshi,Harmonize
