Position,song,artist
1,Understand,Omah Lay
2,Feeling,"LADIPOE, Buju"
3,Essence (feat. Tems),WizKid
4,Sere,Spinall
5,Somebody’s Son (Ft Brandy),Tiwa Savage
6,Sempe,L.A.X
7,Summeryomuthi,Blaq Diamond
8,Kilometre,Burna Boy
9,It Is What It Is,Adekunle Gold
10,Lonely,Joeboy
11,Soundgasm,Rema
12,Shopping Spree (feat. Chris Brown & Young Thug),"DaVido, Young Thug"
13,Onyeka (Baby),Burna Boy
14,Essence (feat. Justin Bieber & Tems),WizKid
15,Alright (feat. Shatta Wale),King Promise
16,DKT,Oxlade
17,Celebration,Joeboy
18,Lie,Kizz Daniel
19,Sinner,Adekunle Gold
20,Peru,Fireboy DML
21,Woman,Rema
22,Slow Down,King Promise
23,No Stress,WizKid
24,MOSLADO,Teni
25,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay"
26,Pretty Girl,Adekunle Gold
27,Bounce,Ruger
28,This Your Body,Skales
29,Rock,Olamide
30,Flex,Kizz Daniel
31,Proud,Oladapo
32,FOR YOU,Teni
33,Cool Me Down (feat. Wizkid),DJ Tunez
34,Dangerous Love,Tiwa Savage
35,Kiss Me Like You Miss Me,CKay
36,Everytime - Remix,Spinall
37,Damn (feat. 6lack),Omah Lay
38,Activate,Stonebwoy
39,Tellin Me Something,Nelson Freitas
40,Addicted,Niniola
41,Green Light,Olamide
42,Confident,Savage
43,Badman Love,Skales
44,Konnect,Maleek Berry
45,NEED ME,Gyakie
46,Running (To You),chike
47,Outside,Buju
48,Need You,Fitila
49,Fashion Killer,Ayra Starr
50,Question (feat. Don Jazzy),Burna Boy
51,Kini Issue,Runtown
52,Abule,Patoranking
53,Mood (feat. Buju),WizKid
54,Tele,Kelvyn Boy
55,Saudi Arabia,Mr Eazi
56,Chance,Juls
57,"Jam Now, Simmer Down",Blinky Bill
58,Gobe - Remix,L.A.X
59,Chargie,Sean Tizzle
60,One Shirt (feat. Jonzing World),D'Prince
