Position,song,artist
1,Lonely,Joeboy
2,Sere,"Spinall, Fireboy DML"
3,Somebody (feat. Phyno),Olamide
4,Kilometre,Burna Boy
5,Milele,"Somi, Thandiswa"
6,Summeryomuthi,Blaq Diamond
7,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay"
8,Essence (feat. Tems),WizKid
9,Feeling,LADIPOE
10,Sempe,L.A.X
11,Alright (feat. Shatta Wale),King Promise
12,Woman,Rema
13,It Is What It Is,Adekunle Gold
14,Saudi Arabia,Mr Eazi
15,Cool Me Down (feat. Wizkid),DJ Tunez
16,FOR YOU,Teni
17,Flex,Kizz Daniel
18,No Stress,WizKid
19,DKT,Oxlade
20,Tellin Me Something,Nelson Freitas
21,Everytime - Remix,Spinall
22,Onyeka (Baby),Burna Boy
23,Soundgasm,Rema
24,Activate,Stonebwoy
25,Kiss Me Like You Miss Me,CKay
26,Tele,Kelvyn Boy
27,The Don,Mr Eazi
28,Damn (feat. 6lack),Omah Lay
29,MOSLADO,Teni
30,Can't Let You Go - Remix,Stefflon Don
31,Rock,Olamide
32,Celebration,Joeboy
33,Addicted,Niniola
34,Badman Love,Skales
35,Dangerous Love,Tiwa Savage
36,ALREADY,Beyoncé
37,Pretty Girl,Adekunle Gold
38,Slow Down,King Promise
39,Wettin Dey Sup,Burna Boy
40,Bounce,Ruger
41,This Your Body,Skales
42,Ubomi Abumanga,Sun-El Musician
43,Sudden,Tekno
44,Smile (feat. H.E.R.),WizKid
45,Kini Issue,Runtown
46,Abule,Patoranking
47,Nana Nyame,Gyakie
48,Ogaranya,Reminisce
49,CHOP N PRAY,WurlD
50,Need You,Fitila
51,Proud,Oladapo
52,One Shirt (feat. Jonzing World),D'Prince
53,JUMPING SHIP,Amaarae
54,Gobe - Remix,L.A.X
55,Luva Luva,Runtown
56,Ohema,Buju
57,Konnect,Maleek Berry
58,Chargie,Sean Tizzle
59,Green Light,Olamide
60,Running (To You),chike
