Position,song,artist
1,Harmonies,"Wavy The Creator, WurlD"
2,Chance,"Juls, Tay Iwar"
3,Bloody Samaritan,Ayra Starr
4,Deep End,Adey
5,Don't Be Shy,Kida Kudz
6,1985,Juls
7,Pray,Victony
8,Radar - Remix,BwoiiDaas
9,Nasa,Rvdical the Kid
10,Different Strain,Fasina
11,TDK (feat. SirBastien),DAP The Contract
12,Bling (feat. Amaarae & Buju),Blaqbonez
13,Gone Girl,Obongjayar
14,SPUNK,WurlD
15,Searching,Lady Donli
16,BDMN,Minz
17,Real,Tim Lyre
18,Supersonic (feat. Tay Iwar),Le Mav
19,Money & Laughter,Boj
20,Commas,Hoosh
21,Deja vu,Moliy
22,Chargie,Jay Cliff
23,Amnesia,Zamir
24,Slow Down,King Promise
25,Early Momo,Vector
26,Sweet Body,SuperSmashBroz
27,Vogue,Wauve
28,sippycup,AGBNOTNICE
29,Waiting Outside,Dj Nayiram
30,Problem,Kida Kudz
31,Caribbeana,Wondamagik
32,Call Me Baby,Cheque
33,Cigarette,Turunesh
34,three5zero,DETO BLACK
35,Guala,Teezee
36,Call Up,Ria Boss
37,Free All The Baddies Dealing With Clowns,Khalifina
38,Inside Out,Fiona Sleek
39,Soundgasm,Rema
40,Ma Pariwo,"DRB Lasgidi, Fresh L., Lady Donli"
41,Only Human,Ukweli
42,Island Pink (feat. PsychoYP),Phaemous
43,4AMIN (feat. SOLIS),Ayüü
44,fools,Zubi
45,London,Tomi Agape
46,Hole in My Heart,Tarrah
47,Sacred Forest,Ogranya
48,We Move (Remix) (feat. Kwesta & DJ Capital),Malachi
49,Cameras,SuperJazzClub
50,Company,Higo
51,Euphoria,PsychoYP
52,BAD STAR,burningforestboy
53,Free Mind,Tems
54,VVS,Studio Magic
55,Fever,Suté Iwar
56,DKT,Oxlade
57,Fallin' Hard,The.wav
58,Walahi (feat. Tidé),D-Truce
59,Magic,Public Goods
60,Eyes But No Eyes,M3NSA
61,Lagos Bad Girls,Bils
62,Hurricane (ft. Buju Banton),Tomi Thomas
63,gentil,Zubi
64,Up,T'neeya
65,Broken,Victony
66,Trust Issues,Bankyondbeatz
67,Symbiosis,Ajebo Hustlers
68,so wrong,Dayonthetrack
69,Selense,The Cavemen.
70,PEAKING,Tay Iwar
71,How I Met Your Mother,Aussie Maze
72,Tycoon,Show Dem Camp
73,POPSHIT (feat. Somadina),SGaWD
74,Cash,Lady Donli
75,Fool's Love,Muzi
76,Indifferent,Mo$hpit Cindy
77,Prosecco,Th&o.
78,Again,Tomi Thomas
79,body count,Odunsi (The Engine)
80,So Lovely,Buju
81,Table for Two,Bella Alubo
82,Brag,DETO BLACK
83,Dark Twisted Fantasy,T'neeya
84,Serenade,Begho
85,Wait,Kinsu
86,It's Okay to Cry,Yinka Bernie
87,Life of the Party,Yung D3mz
88,Peace of Mind,Preyé
89,jorja,Hoosh
90,Tonight,Yung D3mz
91,Yes I Do,Caleb Awiti
92,Star Friends,Salome
93,Sacrifices (feat. Tim Lyre),DAP The Contract
94,Mary,3rty
95,In My Bag,808vic
96,Salvation,Ogranya
97,FEEL A WAY,Amaarae
