Position,song,artist
1,Gone Girl,"Obongjayar, Sarz"
2,Supersonic (feat. Tay Iwar),Le Mav
3,Money & Laughter,"Boj, Amaarae"
4,Deja vu,Moliy
5,Slow Down,King Promise
6,Vogue,Wauve
7,Problem,Kida Kudz
8,Caribbeana,Wondamagik
9,Deep End,Adey
10,Chargie,Jay Cliff
11,Call Me Baby,Cheque
12,Radar - Remix,BwoiiDaas
13,DKT,Oxlade
14,Searching,Lady Donli
15,BDMN,Minz
16,4AMIN (feat. SOLIS),Ayüü
17,Sacred Forest,Ogranya
18,Company,"Higo, WANI"
19,BAD STAR,burningforestboy
20,Early Momo,Vector
21,Fever,Suté Iwar
22,1985,Juls
23,VVS,Studio Magic
24,Bling (feat. Amaarae & Buju),Blaqbonez
25,Walahi (feat. Tidé),D-Truce
26,Magic,Public Goods
27,Eyes But No Eyes,M3NSA
28,Lagos Bad Girls,Bils
29,Hurricane (ft. Buju Banton),Tomi Thomas
30,Secret,Papi ojo
31,gentil,Zubi
32,LUV HRTS,Zamir
33,Geneva,Ossaiofficial
34,Up,T'neeya
35,Different Strain,Fasina
36,Broken,Victony
37,Trust Issues,Bankyondbeatz
38,Symbiosis,Ajebo Hustlers
39,London,Tomi Agape
40,so wrong,Dayonthetrack
41,Selense,The Cavemen.
42,PEAKING,Tay Iwar
43,How I Met Your Mother,Aussie Maze
44,Tycoon,Show Dem Camp
45,Don't Be Shy,Kida Kudz
46,Call Up,Ria Boss
47,POPSHIT (feat. Somadina),SGaWD
48,Waiting Outside,Dj Nayiram
49,Only Human,Ukweli
50,Soundgasm,Rema
51,Cash,Lady Donli
52,Fool's Love,Muzi
53,Indifferent,Mo$hpit Cindy
54,Red Eyes,dndSection
55,Prosecco,Th&o.
56,Again,Tomi Thomas
57,Euphoria,PsychoYP
58,body count,Odunsi (The Engine)
59,Ma Pariwo,"DRB Lasgidi, Lady Donli"
60,So Lovely,Buju
61,Table for Two,Bella Alubo
62,We Move (Remix) (feat. Kwesta & DJ Capital),Malachi
63,Brag,DETO BLACK
64,cold,Zubi
65,Dark Twisted Fantasy,T'neeya
66,Serenade,Begho
67,Wait,Kinsu
68,It's Okay to Cry,Yinka Bernie
69,Sweet Body,SuperSmashBroz
70,Life of the Party,Yung D3mz
71,Cameras,SuperJazzClub
72,Peace of Mind,Preyé
73,Cigarette,Turunesh
74,Makaveli,Kida Kudz
75,Chance,Juls
76,jorja,Hoosh
77,Island Pink (feat. PsychoYP),Phaemous
78,Free Mind,Tems
79,Nasa,Rvdical the Kid
80,Smooth Papa,WundaB
81,Guala,Teezee
82,TDK (feat. SirBastien),DAP The Contract
83,Tonight,Yung D3mz
84,Missed Call,Mike Keyz
85,Yes I Do,Caleb Awiti
86,Runaway,Merry-Lynn
87,Star Friends,Salome
88,Sacrifices (feat. Tim Lyre),DAP The Contract
89,YOGA,Tay Iwar
90,Mary,3rty
91,Passenger,Odeal
92,In My Bag,808vic
93,Salvation,Ogranya
94,LEAVE ME ALONE - A COLORS SHOW,Amaarae
95,FEEL A WAY,Amaarae
96,sugar,Zubi
97,Whaz E Gonna Be,Wondamagik
98,Scream and Shout,Ejoya
