Position,song,artist
1,Rum & Butter,Turunesh
2,Company,"Higo, HVRRY, Buju, WANI"
3,Real,Tim Lyre
4,Crazy Tings,Tems
5,Euphoria,PsychoYP
6,Bloody Samaritan,Ayra Starr
7,iClout (feat. EARTHGANG),RIMON
8,Vogue,Wauve
9,Nasa,Rvdical the Kid
10,In My Bag,808vic
11,Figurine - A COLORS SHOW,WAYNE SNOW
12,Free Mind,Tems
13,Gone Girl,Obongjayar
14,Cameras,SuperJazzClub
15,Prosecco,Th&o.
16,Cigarette,Turunesh
17,Up,T'neeya
18,driving in the rain,Johnny Drille
19,jorja,Hoosh
20,Deep End,Adey
21,Chargie,Jay Cliff
22,Different Strain,Fasina
23,Slow Down,King Promise
24,Commas,Hoosh
25,Trust Issues,Bankyondbeatz
26,Island Pink (feat. PsychoYP),Phaemous
27,Minor Notes,Ria Sean
28,Cash,Lady Donli
29,Be My Guest,WSTRN
30,Guala,Teezee
31,Ma Pariwo,"DRB Lasgidi, Lady Donli"
32,BDMN,Minz
33,Lagos Bad Girls,Bils
34,gentil,Zubi
35,It's Okay to Cry,Yinka Bernie
36,Life of the Party,Yung D3mz
37,Bling (feat. Amaarae & Buju),Blaqbonez
38,Broken,Victony
39,Peace of Mind,Preyé
40,Table for Two,Bella Alubo
41,Deja vu,Moliy
42,Call Me Baby,Cheque
43,La Vida,M.anifest
44,Pray,Victony
45,Soundgasm,Rema
46,PEAKING,Tay Iwar
47,Symbiosis,Ajebo Hustlers
48,Dark Twisted Fantasy,T'neeya
49,Searching,Lady Donli
50,Serenade,Begho
51,Tycoon,Show Dem Camp
52,Never Give Up,Alex Wondergem
53,Only Human,Ukweli
54,POPSHIT (feat. Somadina),SGaWD
55,Radar - Remix,BwoiiDaas
56,Yes I Do,Caleb Awiti
57,Caribbeana,Wondamagik
58,VVS,Studio Magic
59,Call Up,Ria Boss
60,Brag,DETO BLACK
61,Hurricane (ft. Buju Banton),Tomi Thomas
62,Salvation,Ogranya
63,Money & Laughter,Boj
64,Indifferent,Mo$hpit Cindy
65,Fallin' Hard,The.wav
66,Harmonies,Wavy The Creator
67,Mary,3rty
68,Inside Out,Fiona Sleek
69,loving is harder,Johnny Drille
70,Sacrifices (feat. Tim Lyre),DAP The Contract
71,Again,Tomi Thomas
72,Early Momo,Vector
73,Fever,Suté Iwar
74,4AMIN (feat. SOLIS),Ayüü
75,Problem,Kida Kudz
76,SPUNK,WurlD
77,Walahi (feat. Tidé),D-Truce
78,sippycup,AGBNOTNICE
79,Selense,The Cavemen.
80,fools,Zubi
81,body count,Odunsi (The Engine)
82,Fool's Love,Muzi
83,Eyes But No Eyes,M3NSA
84,FEEL A WAY,Amaarae
85,Sacred Forest,Ogranya
86,Magic,Public Goods
87,DKT,Oxlade
88,Sweet Body,SuperSmashBroz
89,TDK (feat. SirBastien),DAP The Contract
90,Waiting Outside,Dj Nayiram
91,Chance,Juls
92,Don't Be Shy,Kida Kudz
93,1985,Juls
94,So Lovely,Buju
95,Supersonic (feat. Tay Iwar),Le Mav
96,London,Tomi Agape
97,Amnesia,Zamir
98,Free All The Baddies Dealing With Clowns,Khalifina
