Position,song,artist
1,With My Hands,"Sinach, Micah Stampley"
2,Ndenzel' Uncedo Hymn 377 - Live,Joyous Celebration
3,Bulie,Preye Odede
4,Jesus Never Fails,MaryJane Nweke
5,The Great Shepherd,Dr Tumi
6,Make a Way - Live,Spirit Of Praise
7,The Lord Is My Sheperd,Kgotso
8,Days of Elijah - Live,Joyous Celebration
9,Way Maker,Sinach
10,We Raise a Sound,Nosa
11,Jesus Is Enough,Xolly Mncwango
12,Jehovah Is Your Name (Live),Ntokozo Mbambo
13,How to Love,Folabi Nuel
14,Love My Home,Sinach
15,OMG (feat. JJ Hairston),Tim Godfrey
16,No Void,Onos
17,Faithful,Kingdmusic
18,Adom Grace,Diana Hamilton
19,I Need To Worship,Kgotso
20,Ti Oluwa ni ile,Ade Jones
21,Itshokwadi - Live,Joyous Celebration
22,Big God,Joyous Celebration
23,Easy to Love,Folu
24,Atmosphere,Khaya Mthethwa
25,Amen,Ladysmith Black Mambazo
26,Olori Oko,Infinity
27,Open Up,Dunsin Oyekan
28,Praise Medley,Ronke Adesokan
29,Blessed,Akesse Brempong
30,Bow Down and Worship,Benjamin Dube
31,Most High - African Worship Medley/Live,Uche Agu
32,Strong Tower,Mercy Chinwo
33,Uzugcin'impilo Yam',Bucy Radebe
34,Fix My Eyes On You,Ada Ehi
35,Halleluyah,MzVee
36,Udumo - Live at Pont De Val,Dr Tumi
37,Child of Heaven - Remake,Kingdmusic
38,Always Win (Solo Version),Sinach
39,Nkosi Ndithembe Wena,Joey Mofoleng
40,Okay,Limoblaze
41,He's Alive,Rehmahz
42,I Believe (Live),HLE
43,Yibanathi,Vusi Nova
44,Xa Ndiyekelelwa - Live,"Spirit Of Praise, Thando"
45,Yesu Wena UnguMhlobo - Live,Joyous Celebration
46,Ndikhokhele Bawo,Cape Town Youth Choir
47,Your Majesty,Muyiwa & Riversongz
48,Miracle Worker (feat. Nathaniel Bassey),Glowreeyah Braimah
49,Messiah,Kgotso
50,Haleluyah Mdumiseni (Live),Lebo Sekgobela
51,Mimo (feat. Sola Allyson),Fountain Of Praise
52,Yesu Mo,Joe Mettle
53,Made Whole,CRC Music
54,You Are Worthy,Tope Alabi
55,Love On The Cross,Dr Tumi
56,Ese Oluwa / Papa,Sonnie Badu
57,Eh Yaweh,Benjamin Dube
58,Dansaki,Lara George
59,Awesome God,Tembalami
60,Nothing Without You - Live At The Barnyard Theatre,Dr Tumi
61,You Make Us Whole - The Gathering Of Worshippers / Live At Loftus Stadium,Dr Tumi
62,Ma K'oja Mi Olugbala,Florocka
63,Breathe,Dunsin Oyekan
64,WETIN I GAIN,Frank Edwards
65,Nipe Macho,Christina Shusho
66,The Lord Reigneth,Florocka
67,Sengiyacela - Live,Joyous Celebration
68,Product of Grace,Flavour
69,Mighty God Remix (feat. Soweto Gospel Choir),Joepraize
70,Higher,Elvis Goodluck
