Position,song,artist
1,With My Hands,"Sinach, Micah Stampley"
2,Ndenzel' Uncedo Hymn 377 - Live,Joyous Celebration
3,Bulie,Preye Odede
4,Jesus Never Fails,MaryJane Nweke
5,The Great Shepherd,Dr Tumi
6,Make a Way - Live,Spirit Of Praise
7,The Lord Is My Sheperd,Kgotso
8,Suddenly,Mercy Chinwo
9,Days of Elijah - Live,Joyous Celebration
10,Way Maker,Sinach
11,We Raise a Sound,Nosa
12,Jesus Is Enough,Xolly Mncwango
13,Jehovah Is Your Name (Live),Ntokozo Mbambo
14,How to Love,Folabi Nuel
15,Love My Home,Sinach
16,OMG (feat. JJ Hairston),Tim Godfrey
17,No Void,Onos
18,Faithful,Kingdmusic
19,Adom Grace,Diana Hamilton
20,I Need To Worship,Kgotso
21,Ti Oluwa ni ile,Ade Jones
22,Itshokwadi - Live,Joyous Celebration
23,Big God,Joyous Celebration
24,Atmosphere,Khaya Mthethwa
25,Amen,Ladysmith Black Mambazo
26,Olori Oko,Infinity
27,Open Up,Dunsin Oyekan
28,Blessed,Akesse Brempong
29,Bow Down and Worship,Benjamin Dube
30,Most High - African Worship Medley/Live,Uche Agu
31,Strong Tower,Mercy Chinwo
32,Uzugcin'impilo Yam',Bucy Radebe
33,Fix My Eyes On You,Ada Ehi
34,Halleluyah,MzVee
35,Udumo - Live at Pont De Val,Dr Tumi
36,Child of Heaven - Remake,Kingdmusic
37,Always Win (Solo Version),Sinach
38,Nkosi Ndithembe Wena,Joey Mofoleng
39,Okay,Limoblaze
40,He's Alive,Rehmahz
41,I Believe (Live),HLE
42,Yibanathi,Vusi Nova
43,Xa Ndiyekelelwa - Live,"Spirit Of Praise, Thando"
44,Yesu Wena UnguMhlobo - Live,Joyous Celebration
45,Ndikhokhele Bawo,Cape Town Youth Choir
46,Your Majesty,Muyiwa & Riversongz
47,Miracle Worker (feat. Nathaniel Bassey),Glowreeyah Braimah
48,Messiah,Kgotso
49,Haleluyah Mdumiseni (Live),Lebo Sekgobela
50,Mimo (feat. Sola Allyson),Fountain Of Praise
51,Yesu Mo,Joe Mettle
52,Made Whole,CRC Music
53,You Are Worthy,Tope Alabi
54,Love On The Cross,Dr Tumi
55,Ese Oluwa / Papa,Sonnie Badu
56,Eh Yaweh,Benjamin Dube
57,Dansaki,Lara George
58,Awesome God,Tembalami
59,Nothing Without You - Live At The Barnyard Theatre,Dr Tumi
60,You Make Us Whole - The Gathering Of Worshippers / Live At Loftus Stadium,Dr Tumi
61,Ma K'oja Mi Olugbala,Florocka
62,Breathe,Dunsin Oyekan
63,WETIN I GAIN,Frank Edwards
64,Nipe Macho,Christina Shusho
65,The Lord Reigneth,Florocka
66,Sengiyacela - Live,Joyous Celebration
67,Product of Grace,Flavour
68,Praise Medley,Ronke Adesokan
69,Mighty God Remix (feat. Soweto Gospel Choir),Joepraize
70,Higher,Elvis Goodluck
