Position,song,artist
1,Bounce,Rema
2,Feeling,"LADIPOE, Buju"
3,Rock,Olamide
4,Soundgasm,Rema
5,Outside,Buju
6,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Preck, Nelson Tivane"
7,Confident,Savage
8,Big Thug Boys,AV
9,Essence (feat. Tems),WizKid
10,Monalisa,Lojay
11,Bling (feat. Amaarae & Buju),Blaqbonez
12,Naira Marley,Zinoleesky
13,Dimension (feat. Skepta & Rema),JAE5
14,Show Me,Joeboy
15,Coming,Naira Marley
16,All,Rexxie
17,Jailer (feat. Jaywillz),Olamide
18,LV N ATTN feat. Wizkid,Lojay
19,Julie,Olamide
20,Kilometre,Burna Boy
21,Party Next Door,Dangbana Republik
22,Tonongo,Lojay
23,Need For Speed,Olamide
24,Somebody (feat. Phyno),Olamide
25,Ginger (feat. Burna Boy),WizKid
26,It Is What It Is,Adekunle Gold
27,PonPon (feat. Fave),Olamide
28,Frenemies,Rexxie
29,Felony,CKay
30,Ke Star - Remix,Focalistic
31,Pronto,Ajebo Hustlers
32,La La (feat. Ckay),DaVido
33,History,Cheque
34,Blessed (feat. Damian Marley),WizKid
35,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
36,Forever (Remix),Gyakie
37,Late At Night,Roddy Ricch
38,Early Momo,Vector
39,Abu Dhabi,Ruger
40,Focus,Joeboy
41,It Ain't Me TikTok - Remix,Eduardo XD
42,Southy Love,Peruzzi
43,Cup of Tea,Olamide
44,Loved By You (feat. Burna Boy),Justin Bieber
45,23,Burna Boy
46,Bank On It,Burna Boy
47,KOLO (feat. Oxlade),Ice Prince
48,The Best (feat. Mayorkun),DaVido
49,Peaches (Masterkraft Remix) feat. Alpha P & Omah Lay,Justin Bieber
50,Somebody Baby,DaVido
51,KPK (Ko Por Ke),Rexxie
52,RAPSTAR,Polo G
53,Rough Up (feat. Layydoe),Olamide
54,Running (To You),chike
55,Way Too Big,Burna Boy
56,Oliver Twist,ArrDee
57,Medicine,Jaywillz
58,Want (feat. Fave),Olamide
59,FOR YOU,Teni
60,Rush,Dangbana Republik
61,Hallelu,Masterkraft
62,HUSTLE,Teni
63,Reckless,WizKid
64,World,Dangbana Republik
65,Godly,Omah Lay
66,Kilofeshe,Zinoleesky
67,Celebrate Me,Patoranking
68,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
69,INJURE ME,Teni
70,Jowo,DaVido
71,High Way,DJ Kaywise
72,Voice of the Heroes,Lil Baby
73,Survive (feat. Olamide),Jaido P
74,Real Life (feat. Stormzy),Burna Boy
75,Omo X 100,Reminisce
76,No Stress,WizKid
77,Cash App,Bella Shmurda
78,Sweet One,WizKid
79,Hats Off (feat. Travis Scott),Lil Baby
80,Longtime (feat. Skepta),WizKid
81,Infinity (feat. Omah Lay),Olamide
82,So Much More,Olamide
83,Mighty Wine,WizKid
84,Rich Off Pain (feat. Rod Wave),Lil Baby
85,Too Correct,Crayon
86,True Love (feat. Tay Iwar & Projexx),WizKid
87,Ayewada,Barry Jhay
88,Kiss Me More (feat. SZA),Doja Cat
89,Ruger,Ruger
90,Korope,Lil Kesh
91,Bad Influence,Omah Lay
92,PEPE,L.A.X
93,Piece of Me (feat. Ella Mai),WizKid
94,Holy Ground (feat. Nicki Minaj),DaVido
95,Verified,LAYCON
96,My Crew (feat. Lil5ive),Kiiwii
97,Damages,Tems
98,Epidemic,Polo G
99,Commitment Issues,Central Cee
