,song,artist
0,Feeling,"LADIPOE, Buju"
1,Rock,Olamide
2,Bounce,Rema
3,Outside,Buju
4,Bling (feat. Amaarae & Buju),"Blaqbonez, Buju"
5,Dimension (feat. Skepta & Rema),JAE5
6,Coming,Naira Marley
7,Kilometre,Burna Boy
8,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
9,Essence (feat. Tems),WizKid
10,Show Me,Joeboy
11,Forever (Remix),Gyakie
12,Pronto,Ajebo Hustlers
13,It Is What It Is,Adekunle Gold
14,Felony,CKay
15,History,Cheque
16,Ke Star - Remix,Focalistic
17,Focus,Joeboy
18,Somebody Baby,DaVido
19,Money,Terri
20,Ginger (feat. Burna Boy),WizKid
21,Southy Love,Peruzzi
22,Happy Birthday,Simi
23,La La (feat. Ckay),DaVido
24,Loved By You (feat. Burna Boy),Justin Bieber
25,KOLO (feat. Oxlade),Ice Prince
26,Running (To You),chike
27,World,Dangbana Republik
28,Blessed (feat. Damian Marley),WizKid
29,Early Momo,Vector
30,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
31,The Best (feat. Mayorkun),DaVido
32,FOR YOU,Teni
33,Rush,Dangbana Republik
34,a m a r i,J. Cole
35,23,Burna Boy
36,m y . l i f e (with 21 Savage & Morray),J. Cole
37,High Way,DJ Kaywise
38,Godly,Omah Lay
39,Hallelu,Masterkraft
40,INJURE ME,Teni
41,Music Messiah,DJ Neptune
42,KPK (Ko Por Ke),Rexxie
43,Too Correct,Crayon
44,Kilofeshe,Zinoleesky
45,Commitment Issues,Central Cee
46,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
47,Ayewada,Barry Jhay
48,Abu Dhabi,Ruger
49,Okwaraji,Blaqbonez
50,Jowo,DaVido
51,Way Too Big,Burna Boy
52,Reckless,WizKid
53,Fendi (feat. Joeboy),Blaqbonez
54,Verified,LAYCON
55,Door,Joeboy
56,Cash App,Bella Shmurda
57,Bank On It,Burna Boy
58,This Your Body,Skales
59,Heartbreak Anniversary,Giveon
60,Infinity (feat. Omah Lay),Olamide
61,No Stress,WizKid
62,9 5 . s o u t h,J. Cole
63,Kilofese - Remix,Zinoleesky
64,Leave The Door Open,Bruno Mars
65,Runaway,AURORA
66,Sweet One,WizKid
67,Longtime (feat. Skepta),WizKid
68,True Love (feat. Tay Iwar & Projexx),WizKid
69,Real Life (feat. Stormzy),Burna Boy
70,Mighty Wine,WizKid
71,Cho Cho,Zlatan
72,Ruger,Ruger
73,Away,Ayra Starr
74,Holy Ground (feat. Nicki Minaj),DaVido
75,Koleyewon,Naira Marley
76,Piece of Me (feat. Ella Mai),WizKid
77,Bad Influence,Omah Lay
78,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
79,Calling My Phone,Lil Tjay
80,Damages,Tems
81,Kiss Me More (feat. SZA),Doja Cat
82,Onyeka (Baby),Burna Boy
83,Mood Swings (feat. Lil Tjay),Pop Smoke
84,RAPSTAR,Polo G
85,Your Body,Mayorkun
86,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
87,Seeing Green (with Drake & Lil Wayne),Nicki Minaj
88,Loading (feat. Bad Boy Timz),Olamide
89,Capable God,Judikay
90,Triumphant (feat. Bella Shmurda),Olamide
91,a p p l y i n g . p r e s s u r e,J. Cole
92,Smile (feat. H.E.R.),WizKid
93,Okay,Adekunle Gold
94,Loco (feat. Mayorkun),KDDO
95,Body,Russ Millions
96,i n t e r l u d e,J. Cole
97,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
98,Beamer Body,KDDO
