Position,song,artist
1,Rock,Olamide
2,Need For Speed,Olamide
3,Julie,Olamide
4,Jailer (feat. Jaywillz),"Olamide, Jaywillz"
5,PonPon (feat. Fave),Olamide
6,Rough Up (feat. Layydoe),Olamide
7,Feeling,LADIPOE
8,Somebody (feat. Phyno),Olamide
9,Want (feat. Fave),Olamide
10,Soundgasm,Rema
11,Cup of Tea,Olamide
12,Bounce,Rema
13,So Much More,Olamide
14,Outside,Buju
15,Bling (feat. Amaarae & Buju),"Blaqbonez, Buju"
16,LV N ATTN feat. Wizkid,Lojay
17,Essence (feat. Tems),WizKid
18,Dimension (feat. Skepta & Rema),JAE5
19,Show Me,Joeboy
20,Coming,Naira Marley
21,Kilometre,Burna Boy
22,Confident,Savage
23,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
24,It Is What It Is,Adekunle Gold
25,Felony,CKay
26,History,Cheque
27,Tonongo,Lojay
28,Ke Star - Remix,Focalistic
29,Pronto,Ajebo Hustlers
30,La La (feat. Ckay),DaVido
31,Ginger (feat. Burna Boy),WizKid
32,Monalisa,Lojay
33,Forever (Remix),Gyakie
34,Late At Night,Roddy Ricch
35,RAPSTAR,Polo G
36,Blessed (feat. Damian Marley),WizKid
37,Southy Love,Peruzzi
38,KOLO (feat. Oxlade),Ice Prince
39,Having Our Way (feat. Drake),Migos
40,Focus,Joeboy
41,Somebody Baby,DaVido
42,Loved By You (feat. Burna Boy),Justin Bieber
43,Early Momo,Vector
44,Bank On It,Burna Boy
45,Running (To You),chike
46,Abu Dhabi,Ruger
47,23,Burna Boy
48,FOR YOU,Teni
49,The Best (feat. Mayorkun),DaVido
50,Straightenin,Migos
51,World,Dangbana Republik
52,Rush,Dangbana Republik
53,Voice of the Heroes,Lil Baby
54,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
55,Avalanche,Migos
56,Godly,Omah Lay
57,PEPE,L.A.X
58,Hallelu,Masterkraft
59,High Way,DJ Kaywise
60,Reckless,WizKid
61,Epidemic,Polo G
62,Way Too Big,Burna Boy
63,INJURE ME,Teni
64,Celebrate Me,Patoranking
65,Hats Off (feat. Travis Scott),Lil Baby
66,Oliver Twist,ArrDee
67,Kilofeshe,Zinoleesky
68,Jowo,DaVido
69,Too Correct,Crayon
70,Cash App,Bella Shmurda
71,Infinity (feat. Omah Lay),Olamide
72,No Stress,WizKid
73,Longtime (feat. Skepta),WizKid
74,KPK (Ko Por Ke),Rexxie
75,Rich Off Pain (feat. Rod Wave),Lil Baby
76,Commitment Issues,Central Cee
77,Antisocial (feat. Juice WRLD),Migos
78,Sweet One,WizKid
79,Ayewada,Barry Jhay
80,True Love (feat. Tay Iwar & Projexx),WizKid
81,Real Life (feat. Stormzy),Burna Boy
82,Mighty Wine,WizKid
83,Malibu (feat. Polo G),Migos
84,For the Love of New York (with Nicki Minaj),Polo G
85,Piece of Me (feat. Ella Mai),WizKid
86,GANG GANG (with Lil Wayne),Polo G
87,Bad Influence,Omah Lay
88,Park O X3,Lojay
89,Fame & Riches (with Roddy Ricch),Polo G
90,Holy Ground (feat. Nicki Minaj),DaVido
91,Type Shit (feat. Cardi B),Migos
92,Heartbreak Anniversary,Giveon
93,Smile (feat. H.E.R.),WizKid
94,Painting Pictures,Polo G
95,Okwaraji,Blaqbonez
96,Panty!,Lojay
97,No Return (with The Kid LAROI & Lil Durk),Polo G
98,Picasso (feat. Future),Migos
99,Ruger,Ruger
