,song,artist
0,Feeling,"LADIPOE, Buju"
1,Rock,Olamide
2,Bounce,Rema
3,Outside,Buju
4,Bling (feat. Amaarae & Buju),"Blaqbonez, Buju"
5,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
6,Dimension (feat. Skepta & Rema),JAE5
7,Coming,Naira Marley
8,Kilometre,Burna Boy
9,Show Me,Joeboy
10,Essence (feat. Tems),WizKid
11,History,Cheque
12,Pronto,Ajebo Hustlers
13,Forever (Remix),Gyakie
14,Felony,CKay
15,Ke Star - Remix,Focalistic
16,Focus,Joeboy
17,Somebody Baby,DaVido
18,m y . l i f e (with 21 Savage & Morray),J. Cole
19,It Is What It Is,Adekunle Gold
20,La La (feat. Ckay),DaVido
21,a m a r i,J. Cole
22,Ginger (feat. Burna Boy),WizKid
23,Southy Love,Peruzzi
24,Loved By You (feat. Burna Boy),Justin Bieber
25,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
26,Running (To You),chike
27,World,Dangbana Republik
28,KOLO (feat. Oxlade),Ice Prince
29,Early Momo,Vector
30,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
31,Blessed (feat. Damian Marley),WizKid
32,9 5 . s o u t h,J. Cole
33,Rush,Dangbana Republik
34,FOR YOU,Teni
35,The Best (feat. Mayorkun),DaVido
36,23,Burna Boy
37,High Way,DJ Kaywise
38,Commitment Issues,Central Cee
39,INJURE ME,Teni
40,Kilofeshe,Zinoleesky
41,Hallelu,Masterkraft
42,Godly,Omah Lay
43,Too Correct,Crayon
44,KPK (Ko Por Ke),Rexxie
45,Okwaraji,Blaqbonez
46,Fendi (feat. Joeboy),Blaqbonez
47,a p p l y i n g . p r e s s u r e,J. Cole
48,Seeing Green (with Drake & Lil Wayne),Nicki Minaj
49,Abu Dhabi,Ruger
50,Way Too Big,Burna Boy
51,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
52,Jowo,DaVido
53,Cash App,Bella Shmurda
54,i n t e r l u d e,J. Cole
55,Bank On It,Burna Boy
56,Runaway,AURORA
57,Reckless,WizKid
58,1 0 0 . m i l ‘ (with Bas),J. Cole
59,Infinity (feat. Omah Lay),Olamide
60,Leave The Door Open,Bruno Mars
61,p u n c h i n ‘ . t h e . c l o c k,J. Cole
62,Heartbreak Anniversary,Giveon
63,Verified,LAYCON
64,Door,Joeboy
65,Real Life (feat. Stormzy),Burna Boy
66,No Stress,WizKid
67,Longtime (feat. Skepta),WizKid
68,Away,Ayra Starr
69,Ruger,Ruger
70,Sweet One,WizKid
71,Kilofese - Remix,Zinoleesky
72,Body,Russ Millions
73,Bad Influence,Omah Lay
74,Loco (feat. Mayorkun),KDDO
75,Holy Ground (feat. Nicki Minaj),DaVido
76,True Love (feat. Tay Iwar & Projexx),WizKid
77,RAPSTAR,Polo G
78,Mighty Wine,WizKid
79,Koleyewon,Naira Marley
80,GANG GANG (with Lil Wayne),Polo G
81,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
82,t h e . c l i m b . b a c k,J. Cole
83,Calling My Phone,Lil Tjay
84,Mood Swings (feat. Lil Tjay),Pop Smoke
85,Cho Cho,Zlatan
86,Damages,Tems
87,Onyeka (Baby),Burna Boy
88,Beamer Body,KDDO
89,Loading (feat. Bad Boy Timz),Olamide
90,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole
91,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
92,Piece of Me (feat. Ella Mai),WizKid
93,BBC (feat. Tiwa Savage) [Remix],Blaqbonez
94,Your Body,Mayorkun
95,c l o s e,J. Cole
96,Straightenin,Migos
97,Okay,Adekunle Gold
98,Sere - Remix,Spinall
