rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Understand,Omah Lay,1,1,1,1,1,1,1,1
2,Bounce,Rema,2,2,2,2,2,2,2,2
87,Feeling,"LADIPOE, Buju",3,3,3,3,3,5,5,3.571428571
3,Outside,Buju,5,5,4,4,5,4,4,4.428571429
4,Monalisa,Lojay,9,9,6,6,6,6,6,6.857142857
5,Rock,Olamide,7,6,7,7,7,8,8,7.142857143
6,Big Thug Boys,AV,10,10,8,8,8,7,7,8.285714286
7,Soundgasm,Rema,8,8,9,9,9,9,9,8.714285714
8,Confident,Savage,11,11,10,10,10,10,10,10.28571429
9,Party Next Door,Dangbana Republik,6,7,11,11,12,13,14,10.57142857
10,Sinner,Adekunle Gold,21,16,12,12,11,11,11,13.42857143
11,Essence (feat. Tems),WizKid,16,15,14,14,13,12,12,13.71428571
12,Far Away,Dangbana Republik,13,12,13,13,14,15,16,13.71428571
13,Naira Marley,Zinoleesky,14,14,15,15,15,14,15,14.57142857
14,Out There,Dangbana Republik,12,13,16,16,16,17,19,15.57142857
15,Bling (feat. Amaarae & Buju),Blaqbonez,19,18,17,17,17,16,17,17.28571429
16,World,Dangbana Republik,15,17,18,18,22,22,23,19.28571429
17,Dimension (feat. Skepta & Rema),JAE5,23,22,19,19,18,18,18,19.57142857
18,Show Me,Joeboy,24,21,21,21,20,20,21,21.14285714
19,Rush,Dangbana Republik,18,19,20,20,23,24,25,21.28571429
20,Tonongo,Lojay,26,26,23,23,21,21,22,23.14285714
21,Soldier Go,Dangbana Republik,17,20,22,22,25,28,33,23.85714286
22,Medicine,Jaywillz,32,31,24,24,19,19,20,24.14285714
23,Coming,Naira Marley,25,25,25,25,24,23,24,24.42857143
24,LV N ATTN (feat. Wizkid),Lojay,27,27,28,28,26,25,27,26.85714286
25,Lako,Dangbana Republik,20,23,26,26,27,33,37,27.42857143
26,Clash (feat. Stormzy),Dave,38,28,29,29,29,26,26,29.28571429
27,Ginger (feat. Burna Boy),WizKid,28,30,32,32,28,27,28,29.28571429
28,Champion,Dangbana Republik,22,24,27,27,32,36,39,29.57142857
29,It Is What It Is,Adekunle Gold,30,29,30,30,31,29,31,30
30,Jailer (feat. Jaywillz),Olamide,29,32,31,31,30,31,30,30.57142857
31,HUSTLE,Teni,31,34,33,33,33,30,29,31.85714286
32,Blessed (feat. Damian Marley),WizKid,35,37,34,34,34,32,32,34
33,Felony,CKay,37,36,35,35,35,35,34,35.28571429
34,Pronto,Ajebo Hustlers,36,35,36,36,36,34,35,35.42857143
35,Kilometre,Burna Boy,34,33,37,37,37,37,36,35.85714286
36,Forever (Remix),Gyakie,41,40,40,40,39,38,38,39.42857143
37,Ke Star,Remix - Focalistic,39,38,42,42,43,41,41,40.85714286
38,La La (feat. Ckay),DaVido,43,41,41,41,40,40,40,40.85714286
39,Bia,Phyno,49,43,38,38,41,46,50,43.57142857
40,History,Cheque,44,42,44,44,44,43,45,43.71428571
41,Abu Dhabi,Ruger,46,47,43,43,42,42,43,43.71428571
42,Julie,Olamide,40,44,45,45,45,47,42,44
43,Southy Love,Peruzzi,51,46,47,47,46,44,46,46.71428571
44,Early Momo,Vector,47,48,46,46,48,48,47,47.14285714
45,Frenemies,Rexxie,33,39,49,49,53,56,61,48.57142857
46,All,Rexxie,42,45,50,50,51,50,55,49
47,Late At Night,Roddy Ricch,55,55,48,48,47,45,48,49.42857143
48,Need For Speed,Olamide,45,50,52,52,50,51,52,50.28571429
49,Bank On It,Burna Boy,57,56,51,51,49,49,49,51.71428571
50,Somebody (feat. Phyno),Olamide,48,49,55,55,52,52,53,52
51,Celebrate Me,Patoranking,90,84,39,39,38,39,44,53.28571429
52,Money & Laughter,Boj,52,52,53,53,55,55,56,53.71428571
53,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",50,51,54,54,54,57,57,53.85714286
54,Focus,Joeboy,54,53,58,58,56,53,51,54.71428571
55,PonPon (feat. Fave),Olamide,53,54,57,57,59,59,59,56.85714286
56,23,Burna Boy,56,57,56,56,58,58,58,57
57,Reckless,WizKid,60,62,59,59,57,54,54,57.85714286
58,Loved By You (feat. Burna Boy),Justin Bieber,61,61,60,60,60,60,60,60.28571429
59,KOLO (feat. Oxlade),Ice Prince,58,59,61,61,61,62,63,60.71428571
60,The Best (feat. Mayorkun),DaVido,62,58,63,63,62,61,62,61.57142857
61,Somebody Baby,DaVido,59,60,62,62,63,65,66,62.42857143
62,Way Too Big,Burna Boy,64,65,64,64,65,64,64,64.28571429
63,Godly,Omah Lay,66,67,65,65,64,63,65,65
64,Running (To You),chike,63,64,69,69,67,69,69,67.14285714
65,RAPSTAR,Polo G,68,69,66,66,66,66,70,67.28571429
66,FOR YOU,Teni,67,66,73,73,73,71,68,70.14285714
67,INJURE ME,Teni,70,68,71,71,71,70,71,70.28571429
68,Oliver Twist,ArrDee,73,72,68,68,70,72,76,71.28571429
69,Longtime (feat. Skepta),WizKid,74,80,72,72,69,68,72,72.42857143
70,Sweet One,WizKid,79,81,75,75,68,67,67,73.14285714
71,Hallelu,Masterkraft,72,70,74,74,76,77,77,74.28571429
72,No Stress,WizKid,76,77,78,78,74,73,73,75.57142857
73,Kilofeshe,Zinoleesky,75,74,77,77,80,78,79,77.14285714
74,Real Life (feat. Stormzy),Burna Boy,85,82,79,79,77,75,78,79.28571429
75,Mighty Wine,WizKid,88,88,80,80,75,76,74,80.14285714
76,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,81,83,81,81,79,80,80,80.71428571
77,True Love (feat. Tay Iwar & Projexx),WizKid,86,91,84,84,78,79,75,82.42857143
78,Jowo,DaVido,80,79,86,86,84,85,81,83
79,WHOLE LOTTA MONEY (feat. Nicki Minaj),Remix - BIA,97,78,76,76,82,86,87,83.14285714
80,KPK (Ko Por Ke),Rexxie,78,75,83,83,89,87,88,83.28571429
81,High Way,DJ Kaywise,82,73,87,87,88,82,84,83.28571429
82,Bad Influence,Omah Lay,89,89,82,82,86,81,85,84.85714286
83,Baba Nla,Dr Dolor,69,71,90,90,91,94,91,85.14285714
84,Piece of Me (feat. Ella Mai),WizKid,92,93,85,85,83,84,83,86.42857143
85,Cup of Tea,Olamide,84,85,88,88,87,90,90,87.42857143
86,Infinity (feat. Omah Lay),Olamide,94,87,89,89,85,83,86,87.57142857
88,Yaba Buluku (feat. Preck & Nelson Tivane),"Remix - DJ Tarico, Preck, Nelson Tivane",4,4,5,5,4,301,301,89.14285714
89,Cash App,Bella Shmurda,91,90,91,91,90,88,89,90
90,Ayewada,Barry Jhay,95,97,92,92,93,93,94,93.71428571
91,Omo X 100,Reminisce,87,95,94,94,97,97,98,94.57142857
92,Rough Up (feat. Layydoe),Olamide,96,98,95,95,94,98,97,96.14285714
93,Motley Crew,Post Malone,301,86,70,70,72,74,82,107.8571429
94,Tycoon,Show Dem Camp,301,63,67,67,81,89,93,108.7142857
95,Peaches (Masterkraft Remix) feat. Alpha P & Omah Lay,Justin Bieber,83,96,96,96,92,96,301,122.8571429
96,Voice of the Heroes,Lil Baby,301,301,98,98,95,91,95,154.1428571
97,Hats Off (feat. Travis Scott),Lil Baby,301,301,97,97,96,92,96,154.2857143
98,Rise Of The Underdogs 2,Show Dem Camp,65,76,93,93,301,301,301,175.7142857
99,Smile (feat. H.E.R.),WizKid,301,301,301,301,98,95,92,212.7142857
100,Yaba Buluku (feat. Preck & Nelson Tivane),"Remix - DJ Tarico, Burna Boy, Preck, Nelson Tivane",301,301,301,301,301,3,3,215.8571429
