rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Essence (feat. Tems),"WizKid, Tems",1,1,1,1,1,2,2,1.2857142857142858
2,Understand,Omah Lay,2,2,2,2,2,1,1,1.7142857142857142
3,Feeling,LADIPOE,3,3,3,3,3,3,3,3.0
4,Soundgasm,Rema,4,4,4,4,4,4,4,4.0
5,Door,Joeboy,7,7,7,7,7,12,12,8.428571428571429
6,Sinner,Adekunle Gold,8,8,8,8,8,13,13,9.428571428571429
7,Testimony,Buju,9,9,9,9,9,11,11,9.571428571428571
8,Kilometre,Burna Boy,11,11,11,11,11,9,9,10.428571428571429
9,MOSLADO,Teni,12,12,12,12,12,14,14,12.571428571428571
10,Celebrate Me,Patoranking,13,13,13,13,13,15,15,13.571428571428571
11,Siyathandana,Cassper Nyovest,17,17,17,17,17,7,7,14.142857142857142
12,Focus,Joeboy,14,14,14,14,14,19,19,15.428571428571429
13,Dimension (feat. Skepta & Rema),JAE5,15,15,15,15,15,18,18,15.857142857142858
14,Kilofese,Remix - Zinoleesky,16,16,16,16,16,17,17,16.285714285714285
15,Yaba Buluku (feat. Preck & Nelson Tivane),Remix - DJ Tarico,18,18,18,18,18,16,16,17.428571428571427
16,KPK (Ko Por Ke),Rexxie,19,19,19,19,19,20,20,19.285714285714285
17,Let Dem Kno,Smallgod,20,20,20,20,20,21,21,20.285714285714285
18,Dinaledi,Major League Djz,21,21,21,21,21,22,22,21.285714285714285
19,Kamata,Diamond Platnumz,22,22,22,22,22,23,23,22.285714285714285
20,Coming,Naira Marley,23,23,23,23,23,25,25,23.571428571428573
21,Forever (Remix),Gyakie,24,24,24,24,24,26,26,24.571428571428573
22,Running (To You),chike,26,26,26,26,26,27,27,26.285714285714285
23,Rock,Olamide,27,27,27,27,27,28,28,27.285714285714285
24,Send Me Nudes (feat. Joey B),KiDi,28,28,28,28,28,29,29,28.285714285714285
25,Music Messiah,DJ Neptune,29,29,29,29,29,31,31,29.571428571428573
26,LV N ATTN feat. Wizkid,Lojay,30,30,30,30,30,33,33,30.857142857142858
27,Nossas Coisas (feat. Ary),C4 Pedro,32,32,32,32,32,34,34,32.57142857142857
28,Koroba,Tiwa Savage,33,33,33,33,33,36,36,33.857142857142854
29,Slow Down,King Promise,34,34,34,34,34,37,37,34.857142857142854
30,Niko Sawa,Nviiri The Storyteller,35,35,35,35,35,38,38,35.857142857142854
31,This Your Body,Skales,36,36,36,36,36,39,39,36.857142857142854
32,Jowo,DaVido,37,37,37,37,37,41,41,38.142857142857146
33,GUPTA,Focalistic,38,38,38,38,38,42,42,39.142857142857146
34,Khuza Gogo,"DBN Gogo, M.J",40,40,40,40,40,40,40,40.0
35,Meliza,DJ Flex,39,39,39,39,39,43,43,40.142857142857146
36,Touch It,KiDi,41,41,41,41,41,44,44,41.857142857142854
37,Bosana,El Mukuka,42,42,42,42,42,45,45,42.857142857142854
38,Breakup Riddim,DJ Aroma,43,43,43,43,43,47,47,44.142857142857146
39,John Wick,De Mthuda,45,45,45,45,45,46,46,45.285714285714285
40,PEPE,L.A.X,44,44,44,44,44,49,49,45.42857142857143
41,Yebo Teacher,Moonchild Sanelly,47,47,47,47,47,50,50,47.857142857142854
42,Woza,Mr JazziQ,49,49,49,49,49,48,48,48.714285714285715
43,Banyana,"DJ Maphorisa, Sir Trill, Daliwonga, Kabza De Small",5,5,5,5,5,301,301,89.57142857142857
44,Bounce,Rema,6,6,6,6,6,301,301,90.28571428571429
45,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,10,10,10,10,10,301,301,93.14285714285714
46,Falling For U,Blaq Jerzee,25,25,25,25,25,301,301,103.85714285714286
47,Confident,Savage,31,31,31,31,31,301,301,108.14285714285714
48,Somebody (feat. Phyno),Olamide,46,46,46,46,46,301,301,118.85714285714286
49,Baikoko,Mbosso,48,48,48,48,48,301,301,120.28571428571429
50,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)","Alikiba, K2ga, Tommy Flavour",301,301,301,301,301,5,5,216.42857142857142
51,Bounce,Ruger,301,301,301,301,301,6,6,216.71428571428572
52,System (feat. WizKid),Dave,301,301,301,301,301,8,8,217.28571428571428
53,Banyana,"DJ Maphorisa, Kabza De Small",301,301,301,301,301,10,10,217.85714285714286
54,Solace,Ajebo Hustlers,301,301,301,301,301,24,24,221.85714285714286
55,Shopping Spree (feat. Chris Brown & Young Thug),DaVido,301,301,301,301,301,30,30,223.57142857142858
56,Only You,GIMS,301,301,301,301,301,32,32,224.14285714285714
57,Karma,Odeal,301,301,301,301,301,35,35,225.0
