rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Fountains (with Tems),"Drake, Tems",1,1,1,1,1,1,1,1.0
2,Essence (feat. Tems),WizKid,2,2,3,2,2,2,2,2.142857142857143
3,Antidote (feat. Adekunle Gold),Nao,3,3,2,3,3,3,3,2.857142857142857
4,High,Adekunle Gold,5,5,5,5,5,5,5,5.0
5,Love Somebody,Rotimi,7,4,4,9,7,7,9,6.714285714285714
6,Mandy,Scribz Riley,6,8,7,4,6,4,13,6.857142857142857
7,Real Life (feat. Stormzy),Burna Boy,18,6,6,6,4,14,6,8.571428571428571
8,Slow Down (feat. Tion Wayne),Darkoo,10,10,10,10,10,10,10,10.0
9,D & G (feat. Summer Walker),DaVido,17,7,8,7,11,11,11,10.285714285714286
10,Ginger (feat. Burna Boy),WizKid,8,13,14,14,21,8,14,13.142857142857142
11,Silver Tongue Devil (feat. Shenseea),Masego,9,24,11,17,19,6,16,14.571428571428571
12,Essence (feat. Justin Bieber & Tems),WizKid,15,15,15,15,15,15,15,15.0
13,Godly,Omah Lay,4,11,18,21,13,9,41,16.714285714285715
14,Damn (feat. 6lack),Omah Lay,13,35,28,13,23,16,4,18.857142857142858
15,Woman,Doja Cat,20,20,20,20,20,20,20,20.0
16,AWAY,Oxlade,16,36,17,24,17,18,26,22.0
17,No Stress,WizKid,14,38,41,8,8,21,35,23.571428571428573
18,Fiction (feat. Busy Signal),Rotimi,25,25,25,25,25,25,25,25.0
19,Can't Let You Go,Stefflon Don,50,41,19,19,16,23,12,25.714285714285715
20,Blessed (feat. Damian Marley),WizKid,26,22,23,26,31,31,44,29.0
21,Point and Kill,Little Simz,30,30,30,30,30,30,30,30.0
22,Gal Policy (Remix) [feat. Tiwa Savage],Kranium,46,29,40,18,22,28,34,31.0
23,Eve Bounce,Remix - Yung L,33,32,27,32,32,33,29,31.142857142857142
24,Ginger Me,Rema,27,51,31,27,26,42,21,32.142857142857146
25,Gum Body (feat. Jorja Smith),Burna Boy,28,60,42,28,18,26,24,32.285714285714285
26,Know Your Worth,Khalid,32,27,32,34,39,38,27,32.714285714285715
27,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,38,26,36,37,37,47,22,34.714285714285715
28,Blessings REMIX (feat. French Montana & Davido),Angel,37,33,26,38,33,32,45,34.857142857142854
29,Dream Girl,Global Remix - Ir Sais,24,68,43,45,49,22,19,38.57142857142857
30,Lonely,Joeboy,19,21,51,35,29,34,82,38.714285714285715
31,Come Over (Remix),Jorja Smith,44,53,47,36,35,17,47,39.857142857142854
32,Lo Lo,Omah Lay,23,77,35,46,47,24,31,40.42857142857143
33,Baby I'm Jealous,Mr Eazi,22,23,46,39,79,29,64,43.142857142857146
34,E Be Mad,Mr Eazi,59,44,13,29,64,55,49,44.714285714285715
35,4AM,Manny Norté,63,57,63,33,38,37,28,45.57142857142857
36,Everytime,Spinall,74,39,22,57,45,45,53,47.857142857142854
37,Peace,Mannywellz,89,19,39,62,61,43,38,50.142857142857146
38,Longtime (feat. Skepta),WizKid,43,45,57,42,48,65,60,51.42857142857143
39,KOLO (feat. Oxlade),Ice Prince,31,56,64,58,82,36,37,52.0
40,Princess Cuts (feat. Young T & Bugsey),Headie One,64,82,94,16,36,35,42,52.714285714285715
41,Killa (feat. DaVido),Teyana Taylor,45,73,54,55,54,61,33,53.57142857142857
42,Pretty Girl,Adekunle Gold,87,18,53,60,27,88,48,54.42857142857143
43,Smile (feat. H.E.R.),WizKid,53,52,48,49,57,77,50,55.142857142857146
44,Bobo,Aya Nakamura,52,91,74,52,34,51,40,56.285714285714285
45,Oreke,E Kelly,54,42,71,65,46,40,78,56.57142857142857
46,Ryde,Niniola,69,55,49,51,80,50,43,56.714285714285715
47,ALREADY,Beyoncé,36,70,78,44,63,69,52,58.857142857142854
48,Soweto Blues,Juls,39,49,67,63,71,76,68,61.857142857142854
49,MAD,Sarz,73,71,79,40,41,41,97,63.142857142857146
50,System (feat. WizKid),Dave,75,67,77,53,43,57,73,63.57142857142857
51,Sponono,Kabza De Small,47,79,60,90,78,39,61,64.85714285714286
52,Can't Let You Go,Remix - Stefflon Don,40,48,68,64,76,98,62,65.14285714285714
53,Guestlist,Frenna,55,62,62,67,52,99,74,67.28571428571429
54,Higher,Tems,49,98,98,76,66,27,71,69.28571428571429
55,Lenu,Remix - Buju,80,31,69,69,94,78,83,72.0
56,DRUNK GUITAR (feat. Potter Payper),NSG,42,76,82,78,75,93,67,73.28571428571429
57,Location (feat. Burna Boy),Dave,68,93,91,47,84,48,93,74.85714285714286
58,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello],DJ Tunez Remix - Robert Glasper,29,46,24,41,51,301,63,79.28571428571429
59,In My Bed,Rotimi,34,61,73,22,24,301,66,83.0
60,Peace Of Mind,Rema,301,28,58,59,65,73,36,88.57142857142857
61,Koroba,Tiwa Savage,58,95,301,23,28,86,46,91.0
62,MOSLADO,Teni,21,100,80,56,40,301,59,93.85714285714286
63,Say Cheese,KiDi,41,84,45,81,42,301,81,96.42857142857143
64,Solo,Shakka,90,43,301,50,60,58,91,99.0
65,God's Work (feat. iLL BLU),IAMDDB,60,97,65,66,301,53,51,99.0
66,Attention,Tiwa Savage,35,58,86,84,88,301,56,101.14285714285714
67,"Slow Down (feat. H.E.R., DaVido, & Oxlade)",P2J Remix - Skip Marley,301,64,81,92,44,54,89,103.57142857142857
68,See Through,Chip,301,81,76,83,85,62,39,103.85714285714286
69,Wasted Energy (feat. Kaash Paige & Diamond Platnumz),Remix - Alicia Keys,91,69,55,79,92,60,301,106.71428571428571
70,Lento,Mr Eazi,71,301,96,77,70,49,90,107.71428571428571
71,I Spy,Lila Iké,301,80,90,71,83,87,95,115.28571428571429
72,It Go Bad,Nnabu,77,37,21,301,301,79,65,125.85714285714286
73,Tattoo,Fireboy DML,56,74,52,301,301,44,55,126.14285714285714
74,Smooth MF,Agho,61,16,301,301,93,82,32,126.57142857142857
75,Nnobody,Nnabu,301,47,29,100,56,56,301,127.14285714285714
76,FOR YOU,Teni,70,59,38,301,91,301,84,134.85714285714286
77,REQUIRE,DJ Tunez,93,65,72,301,301,72,54,136.85714285714286
78,Trouble,"DRB Lasgidi, Fresh L., Tems",301,301,16,12,12,301,18,137.28571428571428
79,Carefully,Nana Fofie,62,301,301,73,62,85,79,137.57142857142858
80,Dimension (feat. Skepta & Rema),JAE5,12,34,12,301,14,301,301,139.28571428571428
81,Joro,WizKid,79,96,70,301,72,71,301,141.42857142857142
82,Fkn Around (feat. Megan Thee Stallion),Cuppy Remix - Phony Ppl,301,83,301,91,98,52,70,142.28571428571428
83,Champion,Fireboy DML,301,94,301,93,69,67,75,142.85714285714286
84,Love Nobody,WurlD,97,66,84,94,301,70,301,144.71428571428572
85,The Don,Mr Eazi,66,92,301,87,87,83,301,145.28571428571428
86,Oh My,Lavaud,301,40,37,301,301,75,57,158.85714285714286
87,Bloody Samaritan,Ayra Starr,84,50,50,301,301,46,301,161.85714285714286
88,Be Honest (feat. Burna Boy),Jorja Smith,301,301,301,43,68,92,88,170.57142857142858
89,Bad Shit,Jarreau Vandal,65,301,301,88,55,91,301,171.71428571428572
90,Play Play (feat. Burna Boy),J Hus,85,301,301,80,58,80,301,172.28571428571428
91,Nu Riddim,Ycee,301,301,93,72,73,74,301,173.57142857142858
92,Dimension (feat. Skepta & Rema),"JAE5, Rema",301,301,301,11,301,12,8,176.42857142857142
93,juju,Zubi,82,89,95,301,301,301,69,176.85714285714286
94,Wishes,Juls,99,301,301,75,77,301,85,177.0
95,Do To Me,H.E.R.,301,87,301,301,81,96,94,180.14285714285714
