rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Longtime (feat. Skepta),WizKid,3,4,9,4,10,4,5,5.571428571428571
2,Guestlist,Frenna,7,3,12,8,5,8,8,7.285714285714286
3,Alakori,Falz,6,21,4,5,16,2,13,9.571428571428571
4,Jack,Nasty C,10,9,11,21,3,10,16,11.428571428571429
5,Black And White,Nasty C,4,29,6,11,8,28,7,13.285714285714286
6,African Girl Bad,Zoro,30,7,7,9,6,29,9,13.857142857142858
7,Make Up Your Mind (feat. Tekno),Ice Prince,9,16,8,19,25,11,12,14.285714285714286
8,Dragon Roll,Frenna,13,30,3,26,15,3,23,16.142857142857142
9,Play Play (feat. Burna Boy),J Hus,14,13,20,16,19,9,25,16.571428571428573
10,Animalistic,Kida Kudz,21,10,19,20,21,22,3,16.571428571428573
11,A Million,Mannywellz,16,8,26,14,27,15,14,17.142857142857142
12,Siberia (feat. Burna Boy),Headie One,8,40,24,12,7,25,6,17.428571428571427
13,First Sermon,Black Sherif,42,19,27,3,4,16,22,19.0
14,Heartbreaker (feat. Nasty C),Blaqbonez,18,15,23,37,18,5,18,19.142857142857142
15,Midf (Money I Dey Find),Ycee,17,23,34,15,11,21,20,20.142857142857142
16,Long Way From Home,PsychoYP,5,14,16,34,38,14,27,21.142857142857142
17,Location (feat. Burna Boy),Dave,23,24,15,27,26,18,21,22.0
18,God's Work (feat. iLL BLU),IAMDDB,34,5,14,17,31,42,15,22.571428571428573
19,Sore,Remix - Yaw Tog,11,28,31,30,24,26,11,23.0
20,Django,Frenna,28,12,29,31,20,13,29,23.142857142857142
21,Best I Ever Had,Nasty C,20,35,17,32,13,20,32,24.142857142857142
22,Second Sermon,Black Sherif,15,25,37,51,12,7,39,26.571428571428573
23,Coachella,Sarkodie,19,33,21,25,29,40,19,26.571428571428573
24,Level Up,Kmw,27,42,13,38,22,12,35,27.0
25,Ball Till We Fall,Kida Kudz,29,20,25,10,30,36,41,27.285714285714285
26,AMMO,Shane Eagle,24,31,59,24,14,30,10,27.428571428571427
27,Sinner,"Smallgod, Kwaku DMC, Lp2loose",33,26,30,40,35,19,17,28.571428571428573
28,Wavy (feat. Sarkodie),Khaligraph Jones,35,39,10,7,34,45,33,29.0
29,Grandad,NSG,12,32,43,13,37,31,43,30.142857142857142
30,Hapo Tu (feat. Chris Kaiga),Nyashinski,39,43,5,36,36,17,40,30.857142857142858
31,Winning,Kwesi Arthur,25,18,41,35,40,33,28,31.428571428571427
32,TBDK (feat. Sinzu & Erigga),M.I. Abaga,43,17,36,29,39,34,30,32.57142857142857
33,Euphoria,PsychoYP,41,34,33,44,9,24,46,33.0
34,My Brudda,Yung Nnelg,45,6,45,47,41,37,57,39.714285714285715
35,Ye x4,Blxckie,53,50,55,41,23,23,37,40.285714285714285
36,Africana (feat. Victoria Kimani),Silverstone Barz,56,46,32,22,44,39,45,40.57142857142857
37,Fantastic!,Suté Iwar,47,36,38,49,28,54,34,40.857142857142854
38,FAIS ÇA BIEN,Damso,55,22,44,55,52,38,24,41.42857142857143
39,Hmm,Remix - G4 Boyz,32,38,47,45,53,41,36,41.714285714285715
40,Problem No Dey Finish,BRYAN THE MENSAH,37,59,22,63,56,27,31,42.142857142857146
41,Medusa,H Magnum,40,54,18,28,58,43,56,42.42857142857143
42,Solace,Ajebo Hustlers,31,53,57,23,46,32,58,42.857142857142854
43,THE 5 YEAR PLAN,A-Reece,36,55,52,50,32,35,48,44.0
44,Vibration,Sarkodie,44,44,46,39,45,64,26,44.0
45,Feeling,LADIPOE,2,2,2,2,2,301,2,44.714285714285715
46,DONE,Frida Amani,49,57,39,18,57,47,47,44.857142857142854
47,K:HOVA,K.O,60,49,42,43,33,46,52,46.42857142857143
48,Deep In Da Streets,TNT Kenya,52,56,35,42,48,53,42,46.857142857142854
49,Ox,Gabe 'Nandez,54,58,40,48,42,44,49,47.857142857142854
50,Smoke From Fire (with The Hics),Bas,59,47,56,33,64,50,38,49.57142857142857
51,It's Not A Gun,DAP The Contract,50,27,50,57,49,62,59,50.57142857142857
52,ASTRONAUTE,Youssoupha,51,37,62,53,60,49,44,50.857142857142854
53,Real Ones,Breeder LW,26,51,53,62,51,56,61,51.42857142857143
54,My Heart,Pappy Kojo,22,48,54,60,59,57,64,52.0
55,Amigo,Lous and The Yakuza,48,41,51,59,54,59,60,53.142857142857146
56,Mona Lisa,Booba,57,61,49,54,50,52,55,54.0
57,GYM,Kiki Marley,46,45,58,58,47,61,65,54.285714285714285
58,Question For The Gods,M3NSA,63,52,48,52,43,65,63,55.142857142857146
59,RE(a)D (with Bas),Dua Saleh,64,63,63,46,61,55,51,57.57142857142857
60,David,Blxckie,61,60,61,56,55,60,54,58.142857142857146
61,Σ. MOROSE,Damso,62,62,60,61,63,48,53,58.42857142857143
62,Cheki,Oznardi,58,64,64,64,62,63,62,62.42857142857143
63,Tycoon,"Show Dem Camp, Reminisce, Mojo",1,1,1,1,1,301,301,86.71428571428571
64,Crown Of Clay,Vector,38,11,28,6,17,301,301,100.28571428571429
65,Crown Of Clay,"Vector, Pheelz",301,301,301,301,301,6,4,216.42857142857142
66,Tycoon,Show Dem Camp,301,301,301,301,301,51,50,229.42857142857142
67,Round 2 (feat. Giggs),"Sarkodie, Giggs",301,301,301,301,301,301,1,258.14285714285717
68,Feeling,"LADIPOE, Buju",301,301,301,301,301,1,301,258.14285714285717
69,Round 2 (feat. Giggs),Sarkodie,301,301,301,301,301,58,301,266.2857142857143
