rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Understand,Omah Lay,3,3,3,3,3,5,3,3.2857142857142856
2,It Is What It Is,Adekunle Gold,7,7,7,7,9,1,9,6.714285714285714
3,Summeryomuthi,Blaq Diamond,2,2,11,9,14,7,6,7.285714285714286
4,Essence (feat. Tems),WizKid,8,8,8,8,8,4,8,7.428571428571429
5,Feeling,LADIPOE,9,9,9,2,10,15,11,9.285714285714286
6,Sempe,L.A.X,11,16,14,10,18,9,10,12.571428571428571
7,Lonely,Joeboy,6,12,2,29,6,12,24,13.0
8,Onyeka (Baby),Burna Boy,12,6,23,16,20,3,12,13.142857142857142
9,Kilometre,Burna Boy,19,13,17,11,27,8,4,14.142857142857142
10,Soundgasm,Rema,25,24,16,6,12,6,15,14.857142857142858
11,FOR YOU,Teni,10,15,19,12,16,19,13,14.857142857142858
12,Alright (feat. Shatta Wale),King Promise,15,11,12,18,19,16,16,15.285714285714286
13,Woman,Rema,16,14,24,21,4,11,21,15.857142857142858
14,No Stress,WizKid,18,18,18,20,15,21,7,16.714285714285715
15,DKT,Oxlade,13,17,21,22,25,23,17,19.714285714285715
16,Bounce,Ruger,20,31,6,27,29,22,33,24.0
17,Celebration,Joeboy,28,19,29,23,13,25,32,24.142857142857142
18,MOSLADO,Teni,38,25,46,19,7,26,20,25.857142857142858
19,Damn (feat. 6lack),Omah Lay,34,27,25,31,24,18,23,26.0
20,Cool Me Down (feat. Wizkid),DJ Tunez,27,20,31,26,22,34,27,26.714285714285715
21,Dangerous Love,Tiwa Savage,26,43,32,24,30,14,18,26.714285714285715
22,Everytime,Remix - Spinall,44,39,15,13,23,31,31,28.0
23,Pretty Girl,Adekunle Gold,36,23,22,37,31,27,26,28.857142857142858
24,Saudi Arabia,Mr Eazi,49,22,39,14,41,36,19,31.428571428571427
25,Tellin Me Something,Nelson Freitas,33,40,38,32,37,28,25,33.285714285714285
26,Activate,Stonebwoy,43,28,26,30,46,24,47,34.857142857142854
27,Jeje de Whine,CKay,29,32,41,34,32,55,30,36.142857142857146
28,Flex,Kizz Daniel,59,36,37,25,28,35,36,36.57142857142857
29,Slow Down,King Promise,51,57,45,28,26,45,28,40.0
30,Addicted,Niniola,45,37,54,36,49,20,46,41.0
31,The Don,Mr Eazi,56,35,30,43,54,46,29,41.857142857142854
32,Sinner,"Adekunle Gold, Lucky Daye",1,1,1,1,1,301,1,43.857142857142854
33,Sere,Spinall,4,4,4,4,2,301,2,45.857142857142854
34,Milele,"Somi, Thandiswa",5,5,5,5,5,301,5,47.285714285714285
35,Angel,Ric Hassani,21,59,59,59,35,60,40,47.57142857142857
36,JUMPING SHIP,Amaarae,42,49,56,47,45,54,41,47.714285714285715
37,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay",14,10,13,15,11,301,14,54.0
38,Green Light,Olamide,58,29,10,54,301,17,39,72.57142857142857
39,Badman Love,Skales,24,46,44,301,33,43,49,77.14285714285714
40,This Your Body,Skales,37,301,34,40,39,37,57,77.85714285714286
41,Abule,Patoranking,54,38,301,42,38,33,52,79.71428571428571
42,Tele,Kelvyn Boy,35,301,20,33,59,57,58,80.42857142857143
43,Only One (feat. King Promise),Navy Kenzo,57,42,301,53,47,30,44,82.0
44,Can't Let You Go,Remix - Stefflon Don,47,21,36,41,36,301,301,111.85714285714286
45,Outside,Buju,301,44,35,38,34,301,37,112.85714285714286
46,Proud,Oladapo,31,55,48,301,17,42,301,113.57142857142857
47,Kini Issue,Runtown,46,34,301,49,301,29,54,116.28571428571429
48,Smile (feat. H.E.R.),WizKid,32,301,49,301,55,40,43,117.28571428571429
49,Rock,Olamide,30,301,40,301,60,38,53,117.57142857142857
50,CHOP N PRAY,WurlD,301,48,301,48,42,56,35,118.71428571428571
51,Jeshi,Harmonize,22,60,60,60,44,301,301,121.14285714285714
52,Wettin Dey Sup,Burna Boy,39,50,53,57,301,47,301,121.14285714285714
53,Mamela,Mi Casa,17,58,58,58,57,301,301,121.42857142857143
54,Kiss Me Like You Miss Me,CKay,301,26,33,50,301,301,22,147.71428571428572
55,ELI,Fireboy DML,40,53,301,51,301,32,301,154.14285714285714
56,Gobe,Remix - L.A.X,301,301,43,301,56,50,38,155.71428571428572
57,Ogaranya,Reminisce,50,301,55,46,40,301,301,156.28571428571428
58,Ubomi Abumanga,Sun-El Musician,41,41,301,301,53,301,60,156.85714285714286
59,Felony,CKay,301,301,51,17,301,13,301,183.57142857142858
60,Konna,HarrySong,23,301,28,301,58,301,301,187.57142857142858
61,One Shirt (feat. Jonzing World),D'Prince,301,47,27,301,43,301,301,188.71428571428572
62,Scripture,Dexta Daps,301,33,301,45,301,301,42,189.14285714285714
63,Running (To You),chike,301,30,301,301,50,44,301,189.71428571428572
64,Need You,Fitila,53,301,42,301,301,58,301,193.85714285714286
65,Berna,Flavour,301,301,301,52,301,48,56,194.28571428571428
66,Konnect,Maleek Berry,301,56,301,301,301,51,50,194.42857142857142
67,Chance,Juls,55,52,301,301,301,301,55,195.14285714285714
68,ALREADY,Beyoncé,60,51,52,301,301,301,301,195.28571428571428
69,Nana Nyame,Gyakie,52,301,301,301,21,301,301,225.42857142857142
70,Why (Afrobeat),DJ Flex,301,45,301,301,301,301,34,226.28571428571428
71,"Jam Now, Simmer Down",Blinky Bill,301,301,301,35,48,301,301,226.85714285714286
72,Jeje,Diamond Platnumz,301,301,301,39,301,301,48,227.42857142857142
73,Fine Wine (feat. King Promise & Joeboy),R2Bees,301,301,301,44,51,301,301,228.57142857142858
74,Ohema,Buju,48,301,50,301,301,301,301,229.0
75,NO LONGER BENEFICIAL,Simi,301,301,301,301,301,39,59,229.0
76,Confident,Savage,301,301,301,55,301,301,45,229.28571428571428
77,I Choose You,Yemi Alade,301,301,301,301,301,52,51,229.71428571428572
78,Sere,"Spinall, Fireboy DML",301,301,301,301,301,2,301,258.2857142857143
79,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Adekunle Gold, Omah Lay",301,301,301,301,301,10,301,259.42857142857144
80,Haunisumbui,Diamond Platnumz,301,301,301,301,301,41,301,263.85714285714283
81,Fine Fine,Korede Bello,301,301,47,301,301,301,301,264.7142857142857
82,Slow Down (feat. Tion Wayne),Darkoo,301,301,301,301,301,49,301,265.0
83,Meliza,DJ Flex,301,301,301,301,52,301,301,265.42857142857144
84,Everything,Ric Hassani,301,301,301,301,301,53,301,265.57142857142856
85,Akulaleki,Samthing Soweto,301,54,301,301,301,301,301,265.7142857142857
86,Luva Luva,Runtown,301,301,301,56,301,301,301,266.0
87,Sound,Diamond Platnumz,301,301,57,301,301,301,301,266.14285714285717
88,Chargie,Sean Tizzle,301,301,301,301,301,59,301,266.42857142857144
