rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Salvation,Ogranya,2,2,2,2,2,22,22,7.714285714285714
2,Island Pink (feat. PsychoYP),Phaemous,11,11,11,11,11,5,5,9.285714285714286
3,loving is harder,Johnny Drille,4,4,4,4,4,31,31,11.714285714285714
4,Pray,Victony,14,14,14,14,14,11,11,13.142857142857142
5,Sacrifices (feat. Tim Lyre),DAP The Contract,6,6,6,6,6,32,32,13.428571428571429
6,Early Momo,Vector,7,7,7,7,7,33,33,14.428571428571429
7,Selense,The Cavemen.,5,5,5,5,5,40,40,15.0
8,Bloody Samaritan,Ayra Starr,16,16,16,16,16,14,14,15.428571428571429
9,Fever,Suté Iwar,9,9,9,9,9,34,34,16.142857142857142
10,4AMIN (feat. SOLIS),Ayüü,10,10,10,10,10,35,35,17.142857142857142
11,Harmonies,Wavy The Creator,13,13,13,13,13,28,28,17.285714285714285
12,Radar,Remix - BwoiiDaas,20,20,20,20,20,17,17,19.142857142857142
13,Different Strain,Fasina,22,22,22,22,22,20,20,21.428571428571427
14,BDMN,Minz,27,27,27,27,27,8,8,21.571428571428573
15,TDK (feat. SirBastien),DAP The Contract,12,12,12,12,12,59,59,25.428571428571427
16,London,Tomi Agape,8,8,8,8,8,72,72,26.285714285714285
17,Chance,Juls,15,15,15,15,15,62,62,28.428571428571427
18,SPUNK,WurlD,25,25,25,25,25,37,37,28.428571428571427
19,Vogue,Wauve,36,36,36,36,36,15,15,30.0
20,Deep End,Adey,17,17,17,17,17,63,63,30.142857142857142
21,Don't Be Shy,Kida Kudz,18,18,18,18,18,64,64,31.142857142857142
22,1985,Juls,19,19,19,19,19,65,65,32.142857142857146
23,Gone Girl,Obongjayar,24,24,24,24,24,57,57,33.42857142857143
24,Caribbeana,Wondamagik,40,40,40,40,40,18,18,33.714285714285715
25,Nasa,Rvdical the Kid,21,21,21,21,21,66,66,33.857142857142854
26,Commas,Hoosh,30,30,30,30,30,49,49,35.42857142857143
27,sippycup,AGBNOTNICE,37,37,37,37,37,39,39,37.57142857142857
28,Searching,Lady Donli,26,26,26,26,26,67,67,37.714285714285715
29,Problem,Kida Kudz,39,39,39,39,39,36,36,38.142857142857146
