rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,SPUNK,WurlD,3,3,3,3,3,14,14,6.142857142857143
2,Real,Tim Lyre,2,2,2,2,2,17,17,6.285714285714286
3,Gone Girl,Obongjayar,4,4,4,4,4,13,13,6.571428571428571
4,Bloody Samaritan,Ayra Starr,9,9,9,9,9,3,3,7.285714285714286
5,Searching,Lady Donli,5,5,5,5,5,15,15,7.857142857142857
6,Pray,Victony,10,10,10,10,10,7,7,9.142857142857142
7,Supersonic (feat. Tay Iwar),Le Mav,6,6,6,6,6,18,18,9.428571428571429
8,BDMN,Minz,8,8,8,8,8,16,16,10.285714285714286
9,Deja vu,Moliy,11,11,11,11,11,21,21,13.857142857142858
10,Deep End,Adey,19,19,19,19,19,4,4,14.714285714285714
11,Slow Down,King Promise,12,12,12,12,12,24,24,15.428571428571429
12,Early Momo,Vector,13,13,13,13,13,25,25,16.428571428571427
13,Sweet Body,SuperSmashBroz,14,14,14,14,14,26,26,17.428571428571427
14,Vogue,Wauve,15,15,15,15,15,27,27,18.428571428571427
15,Different Strain,Fasina,22,22,22,22,22,10,10,18.571428571428573
16,Radar,Remix - BwoiiDaas,23,23,23,23,23,8,8,18.714285714285715
17,1985,Juls,24,24,24,24,24,6,6,18.857142857142858
18,Waiting Outside,Dj Nayiram,16,16,16,16,16,29,29,19.714285714285715
19,Chargie,Jay Cliff,20,20,20,20,20,22,22,20.571428571428573
20,Problem,Kida Kudz,17,17,17,17,17,30,30,20.714285714285715
21,Don't Be Shy,Kida Kudz,27,27,27,27,27,5,5,20.714285714285715
22,TDK (feat. SirBastien),DAP The Contract,26,26,26,26,26,11,11,21.714285714285715
23,Caribbeana,Wondamagik,18,18,18,18,18,31,31,21.714285714285715
24,Call Me Baby,Cheque,21,21,21,21,21,32,32,24.142857142857142
25,Cigarette,Turunesh,25,25,25,25,25,33,33,27.285714285714285
26,Bling (feat. Amaarae & Buju),Blaqbonez,36,36,36,36,36,12,12,29.142857142857142
27,three5zero,DETO BLACK,28,28,28,28,28,34,34,29.714285714285715
28,Guala,Teezee,29,29,29,29,29,35,35,30.714285714285715
29,Call Up,Ria Boss,30,30,30,30,30,36,36,31.714285714285715
30,Inside Out,Fiona Sleek,31,31,31,31,31,38,38,33.0
31,Soundgasm,Rema,33,33,33,33,33,39,39,34.714285714285715
32,Ma Pariwo,"DRB Lasgidi, Fresh L., Lady Donli",34,34,34,34,34,40,40,35.714285714285715
33,Only Human,Ukweli,35,35,35,35,35,41,41,36.714285714285715
34,Island Pink (feat. PsychoYP),Phaemous,37,37,37,37,37,42,42,38.42857142857143
35,4AMIN (feat. SOLIS),Ayüü,38,38,38,38,38,43,43,39.42857142857143
36,fools,Zubi,39,39,39,39,39,44,44,40.42857142857143
37,London,Tomi Agape,40,40,40,40,40,45,45,41.42857142857143
38,Hole in My Heart,Tarrah,41,41,41,41,41,46,46,42.42857142857143
39,Sacred Forest,Ogranya,42,42,42,42,42,47,47,43.42857142857143
40,We Move (Remix) (feat. Kwesta & DJ Capital),Malachi,43,43,43,43,43,48,48,44.42857142857143
41,Cameras,SuperJazzClub,44,44,44,44,44,49,49,45.42857142857143
42,Company,Higo,45,45,45,45,45,50,50,46.42857142857143
43,Euphoria,PsychoYP,46,46,46,46,46,51,51,47.42857142857143
44,BAD STAR,burningforestboy,47,47,47,47,47,52,52,48.42857142857143
45,Free Mind,Tems,48,48,48,48,48,53,53,49.42857142857143
46,VVS,Studio Magic,49,49,49,49,49,54,54,50.42857142857143
47,Fever,Suté Iwar,50,50,50,50,50,55,55,51.42857142857143
48,DKT,Oxlade,51,51,51,51,51,56,56,52.42857142857143
49,Fallin' Hard,The.wav,52,52,52,52,52,57,57,53.42857142857143
50,Walahi (feat. Tidé),D-Truce,53,53,53,53,53,58,58,54.42857142857143
51,Magic,Public Goods,54,54,54,54,54,59,59,55.42857142857143
52,Eyes But No Eyes,M3NSA,55,55,55,55,55,60,60,56.42857142857143
53,Lagos Bad Girls,Bils,56,56,56,56,56,61,61,57.42857142857143
54,Hurricane (ft. Buju Banton),Tomi Thomas,57,57,57,57,57,62,62,58.42857142857143
55,gentil,Zubi,58,58,58,58,58,63,63,59.42857142857143
56,Up,T'neeya,61,61,61,61,61,64,64,61.857142857142854
57,Broken,Victony,62,62,62,62,62,65,65,62.857142857142854
58,Trust Issues,Bankyondbeatz,63,63,63,63,63,66,66,63.857142857142854
59,Symbiosis,Ajebo Hustlers,64,64,64,64,64,67,67,64.85714285714286
60,so wrong,Dayonthetrack,65,65,65,65,65,68,68,65.85714285714286
61,Selense,The Cavemen.,66,66,66,66,66,69,69,66.85714285714286
62,PEAKING,Tay Iwar,67,67,67,67,67,70,70,67.85714285714286
63,How I Met Your Mother,Aussie Maze,68,68,68,68,68,71,71,68.85714285714286
64,Tycoon,Show Dem Camp,69,69,69,69,69,72,72,69.85714285714286
65,POPSHIT (feat. Somadina),SGaWD,70,70,70,70,70,73,73,70.85714285714286
66,Cash,Lady Donli,71,71,71,71,71,74,74,71.85714285714286
67,Fool's Love,Muzi,72,72,72,72,72,75,75,72.85714285714286
68,Indifferent,Mo$hpit Cindy,73,73,73,73,73,76,76,73.85714285714286
69,Prosecco,Th&o.,75,75,75,75,75,77,77,75.57142857142857
70,Again,Tomi Thomas,76,76,76,76,76,78,78,76.57142857142857
71,body count,Odunsi (The Engine),77,77,77,77,77,79,79,77.57142857142857
72,So Lovely,Buju,78,78,78,78,78,80,80,78.57142857142857
73,Table for Two,Bella Alubo,79,79,79,79,79,81,81,79.57142857142857
74,Brag,DETO BLACK,80,80,80,80,80,82,82,80.57142857142857
75,Dark Twisted Fantasy,T'neeya,81,81,81,81,81,83,83,81.57142857142857
76,Serenade,Begho,82,82,82,82,82,84,84,82.57142857142857
77,Wait,Kinsu,83,83,83,83,83,85,85,83.57142857142857
78,It's Okay to Cry,Yinka Bernie,84,84,84,84,84,86,86,84.57142857142857
79,Life of the Party,Yung D3mz,85,85,85,85,85,87,87,85.57142857142857
80,Peace of Mind,Preyé,86,86,86,86,86,88,88,86.57142857142857
81,Nasa,"Rvdical the Kid, Amaarae",1,1,1,1,1,301,301,86.71428571428571
82,jorja,Hoosh,87,87,87,87,87,89,89,87.57142857142857
83,Tonight,Yung D3mz,89,89,89,89,89,90,90,89.28571428571429
84,Yes I Do,Caleb Awiti,90,90,90,90,90,91,91,90.28571428571429
85,Money & Laughter,"Boj, Zamir",7,7,7,7,7,301,301,91.0
86,Star Friends,Salome,92,92,92,92,92,92,92,92.0
87,Sacrifices (feat. Tim Lyre),DAP The Contract,93,93,93,93,93,93,93,93.0
88,Mary,3rty,94,94,94,94,94,94,94,94.0
89,In My Bag,808vic,96,96,96,96,96,95,95,95.71428571428571
90,Salvation,Ogranya,97,97,97,97,97,96,96,96.71428571428571
91,FEEL A WAY,Amaarae,98,98,98,98,98,97,97,97.71428571428571
92,Chance,Juls,32,32,32,32,32,301,301,108.85714285714286
93,LUV HRTS,Zamir,59,59,59,59,59,301,301,128.14285714285714
94,Geneva,Ossaiofficial,60,60,60,60,60,301,301,128.85714285714286
95,Red Eyes,dndSection,74,74,74,74,74,301,301,138.85714285714286
96,Smooth Papa,WundaB,88,88,88,88,88,301,301,148.85714285714286
97,Runaway,Merry-Lynn,91,91,91,91,91,301,301,151.0
98,Passenger,Odeal,95,95,95,95,95,301,301,153.85714285714286
99,Whaz E Gonna Be,Wondamagik,99,99,99,99,99,301,301,156.71428571428572
100,Harmonies,"Wavy The Creator, WurlD",301,301,301,301,301,1,1,215.28571428571428
101,Chance,"Juls, Tay Iwar",301,301,301,301,301,2,2,215.57142857142858
102,Nasa,Rvdical the Kid,301,301,301,301,301,9,9,217.57142857142858
103,Money & Laughter,Boj,301,301,301,301,301,19,19,220.42857142857142
104,Commas,Hoosh,301,301,301,301,301,20,20,220.71428571428572
105,Amnesia,Zamir,301,301,301,301,301,23,23,221.57142857142858
106,sippycup,AGBNOTNICE,301,301,301,301,301,28,28,223.0
107,Free All The Baddies Dealing With Clowns,Khalifina,301,301,301,301,301,37,37,225.57142857142858
