rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,With My Hands,"Sinach, Micah Stampley",1,1,1,1,1,1,1,1.0
2,Ndenzel' Uncedo Hymn 377,Live - Joyous Celebration,2,2,2,2,2,2,2,2.0
3,Bulie,Preye Odede,3,3,3,3,3,3,3,3.0
4,Jesus Never Fails,MaryJane Nweke,4,4,4,4,4,4,4,4.0
5,The Great Shepherd,Dr Tumi,5,5,5,5,5,5,5,5.0
6,Make a Way,Live - Spirit Of Praise,6,6,6,6,6,6,6,6.0
7,The Lord Is My Sheperd,Kgotso,7,7,7,7,7,7,7,7.0
8,Days of Elijah,Live - Joyous Celebration,8,8,8,8,8,8,8,8.0
9,Way Maker,Sinach,9,9,9,9,9,9,9,9.0
10,We Raise a Sound,Nosa,10,10,10,10,10,10,10,10.0
11,Jesus Is Enough,Xolly Mncwango,11,11,11,11,11,11,11,11.0
12,Jehovah Is Your Name (Live),Ntokozo Mbambo,12,12,12,12,12,12,12,12.0
13,How to Love,Folabi Nuel,13,13,13,13,13,13,13,13.0
14,Love My Home,Sinach,14,14,14,14,14,14,14,14.0
15,OMG (feat. JJ Hairston),Tim Godfrey,15,15,15,15,15,15,15,15.0
16,No Void,Onos,16,16,16,16,16,16,16,16.0
17,Faithful,Kingdmusic,17,17,17,17,17,17,17,17.0
18,Adom Grace,Diana Hamilton,18,18,18,18,18,18,18,18.0
19,I Need To Worship,Kgotso,19,19,19,19,19,19,19,19.0
20,Ti Oluwa ni ile,Ade Jones,20,20,20,20,20,20,20,20.0
21,Itshokwadi,Live - Joyous Celebration,21,21,21,21,21,21,21,21.0
22,Big God,Joyous Celebration,22,22,22,22,22,22,22,22.0
23,Easy to Love,Folu,23,23,23,23,23,23,23,23.0
24,Atmosphere,Khaya Mthethwa,24,24,24,24,24,24,24,24.0
25,Amen,Ladysmith Black Mambazo,25,25,25,25,25,25,25,25.0
26,Olori Oko,Infinity,26,26,26,26,26,26,26,26.0
27,Open Up,Dunsin Oyekan,27,27,27,27,27,27,27,27.0
28,Praise Medley,Ronke Adesokan,28,28,28,28,28,28,28,28.0
29,Blessed,Akesse Brempong,29,29,29,29,29,29,29,29.0
30,Bow Down and Worship,Benjamin Dube,30,30,30,30,30,30,30,30.0
31,Most High,African Worship Medley/Live - Uche Agu,31,31,31,31,31,31,31,31.0
32,Strong Tower,Mercy Chinwo,32,32,32,32,32,32,32,32.0
33,Uzugcin'impilo Yam',Bucy Radebe,33,33,33,33,33,33,33,33.0
34,Fix My Eyes On You,Ada Ehi,34,34,34,34,34,34,34,34.0
35,Halleluyah,MzVee,35,35,35,35,35,35,35,35.0
36,Udumo,Live at Pont De Val - Dr Tumi,36,36,36,36,36,36,36,36.0
37,Child of Heaven,Remake - Kingdmusic,37,37,37,37,37,37,37,37.0
38,Always Win (Solo Version),Sinach,38,38,38,38,38,38,38,38.0
39,Nkosi Ndithembe Wena,Joey Mofoleng,39,39,39,39,39,39,39,39.0
40,Okay,Limoblaze,40,40,40,40,40,40,40,40.0
41,He's Alive,Rehmahz,41,41,41,41,41,41,41,41.0
42,I Believe (Live),HLE,42,42,42,42,42,42,42,42.0
43,Yibanathi,Vusi Nova,43,43,43,43,43,43,43,43.0
44,Xa Ndiyekelelwa,"Live - Spirit Of Praise, Thando",44,44,44,44,44,44,44,44.0
45,Yesu Wena UnguMhlobo,Live - Joyous Celebration,45,45,45,45,45,45,45,45.0
46,Ndikhokhele Bawo,Cape Town Youth Choir,46,46,46,46,46,46,46,46.0
47,Your Majesty,Muyiwa & Riversongz,47,47,47,47,47,47,47,47.0
48,Miracle Worker (feat. Nathaniel Bassey),Glowreeyah Braimah,48,48,48,48,48,48,48,48.0
49,Messiah,Kgotso,49,49,49,49,49,49,49,49.0
50,Haleluyah Mdumiseni (Live),Lebo Sekgobela,50,50,50,50,50,50,50,50.0
51,Mimo (feat. Sola Allyson),Fountain Of Praise,51,51,51,51,51,51,51,51.0
52,Yesu Mo,Joe Mettle,52,52,52,52,52,52,52,52.0
53,Made Whole,CRC Music,53,53,53,53,53,53,53,53.0
54,You Are Worthy,Tope Alabi,54,54,54,54,54,54,54,54.0
55,Love On The Cross,Dr Tumi,55,55,55,55,55,55,55,55.0
56,Ese Oluwa / Papa,Sonnie Badu,56,56,56,56,56,56,56,56.0
57,Eh Yaweh,Benjamin Dube,57,57,57,57,57,57,57,57.0
58,Dansaki,Lara George,58,58,58,58,58,58,58,58.0
59,Awesome God,Tembalami,59,59,59,59,59,59,59,59.0
60,Nothing Without You,Live At The Barnyard Theatre - Dr Tumi,60,60,60,60,60,60,60,60.0
61,You Make Us Whole,The Gathering Of Worshippers / Live At Loftus Stadium - Dr Tumi,61,61,61,61,61,61,61,61.0
62,Ma K'oja Mi Olugbala,Florocka,62,62,62,62,62,62,62,62.0
63,Breathe,Dunsin Oyekan,63,63,63,63,63,63,63,63.0
64,WETIN I GAIN,Frank Edwards,64,64,64,64,64,64,64,64.0
65,Nipe Macho,Christina Shusho,65,65,65,65,65,65,65,65.0
66,The Lord Reigneth,Florocka,66,66,66,66,66,66,66,66.0
67,Sengiyacela,Live - Joyous Celebration,67,67,67,67,67,67,67,67.0
68,Product of Grace,Flavour,68,68,68,68,68,68,68,68.0
69,Mighty God Remix (feat. Soweto Gospel Choir),Joepraize,69,69,69,69,69,69,69,69.0
70,Higher,Elvis Goodluck,70,70,70,70,70,70,70,70.0
